size,threads,cores,time
10000,2,1,242.532320
10000,2,1,242.173792
10000,2,1,241.924540
10000,2,1,242.049549
10000,2,1,242.666318
10000,4,2,61.934880
10000,4,2,62.049383
10000,4,2,61.952202
10000,4,2,62.027399
10000,4,2,61.958230
10000,6,3,40.747893
10000,6,3,40.885374
10000,6,3,40.833182
10000,6,3,40.878068
10000,6,3,40.904942
10000,8,4,30.695391
10000,8,4,30.790028
10000,8,4,30.593276
10000,8,4,30.735140
10000,8,4,30.644179
10000,10,5,24.670898
10000,10,5,24.765637
10000,10,5,24.758352
10000,10,5,24.726072
10000,10,5,24.794977
10000,12,6,20.608456
10000,12,6,20.481253
10000,12,6,20.611859
10000,12,6,20.597973
10000,12,6,20.580810
10000,14,7,17.812810
10000,14,7,17.715161
10000,14,7,17.806653
10000,14,7,17.745753
10000,14,7,17.728636
10000,16,8,15.540044
10000,16,8,15.681149
10000,16,8,15.563404
10000,16,8,15.648897
10000,16,8,15.656627
10000,18,9,13.673186
10000,18,9,13.977955
10000,18,9,13.845344
10000,18,9,13.900411
10000,18,9,13.938319
10000,20,10,12.603665
10000,20,10,12.562724
10000,20,10,12.514412
10000,20,10,12.542300
10000,20,10,12.572488
10000,22,11,11.564756
10000,22,11,11.637925
10000,22,11,11.654608
10000,22,11,11.524136
10000,22,11,11.524164
10000,24,12,10.459866
10000,24,12,10.425244
10000,24,12,10.466281
10000,24,12,10.440389
10000,24,12,10.526151
10000,26,13,9.734298
10000,26,13,9.645595
10000,26,13,9.702590
10000,26,13,9.719164
10000,26,13,9.724370
10000,28,14,9.064989
10000,28,14,9.093229
10000,28,14,8.998729
10000,28,14,9.015763
10000,28,14,9.005071
10000,30,15,8.472448
10000,30,15,8.476612
10000,30,15,8.465873
10000,30,15,8.472235
10000,30,15,8.546394
10000,32,16,7.940494
10000,32,16,7.908575
10000,32,16,8.047416
10000,32,16,7.926942
10000,32,16,7.903549
10000,34,17,7.539077
10000,34,17,7.460677
10000,34,17,7.403574
10000,34,17,7.532641
10000,34,17,7.475895
10000,36,18,6.958189
10000,36,18,6.957688
10000,36,18,6.940349
10000,36,18,6.935119
10000,36,18,6.976368
10000,38,19,6.543261
10000,38,19,6.562578
10000,38,19,6.540514
10000,38,19,6.539449
10000,38,19,6.576012
10000,40,20,6.237676
10000,40,20,6.204529
10000,40,20,6.222031
10000,40,20,6.201674
10000,40,20,6.204656
10000,42,21,5.908372
10000,42,21,5.990609
10000,42,21,5.891767
10000,42,21,5.898878
10000,42,21,6.020306
10000,44,22,5.559315
10000,44,22,5.552293
10000,44,22,5.677407
10000,44,22,5.543177
10000,44,22,5.577710
10000,46,23,5.384781
10000,46,23,5.276769
10000,46,23,5.289405
10000,46,23,5.411184
10000,46,23,5.298726
10000,48,24,5.063473
10000,48,24,5.202117
10000,48,24,5.082959
10000,48,24,5.059971
10000,48,24,5.187587
10000,50,25,4.878275
10000,50,25,4.864992
10000,50,25,4.995885
10000,50,25,4.876581
10000,50,25,4.887516
10000,52,26,4.823188
10000,52,26,4.672579
10000,52,26,4.694271
10000,52,26,4.813026
10000,52,26,4.697290
10000,54,27,4.529186
10000,54,27,4.649715
10000,54,27,4.524284
10000,54,27,4.511645
10000,54,27,4.509339
10000,56,28,4.397584
10000,56,28,4.352661
10000,56,28,4.383036
10000,56,28,4.508395
10000,56,28,4.375026
10000,58,29,4.199751
10000,58,29,4.257404
10000,58,29,4.220413
10000,58,29,4.230348
10000,58,29,4.245552
10000,60,30,4.096442
