size,cores,time
10000,1,121.172946
10000,1,121.831709
10000,1,121.337734
10000,1,121.524808
10000,1,121.462733
10000,2,60.641830
10000,2,60.673936
10000,2,60.659597
10000,2,60.804009
10000,2,60.652270
10000,3,40.509635
10000,3,40.491741
10000,3,40.488809
10000,3,40.487944
10000,3,40.480474
10000,4,30.507876
10000,4,30.435853
10000,4,30.433017
10000,4,30.436227
10000,4,30.440485
10000,5,24.457413
10000,5,24.452982
10000,5,24.447852
10000,5,24.455471
10000,5,24.451153
10000,6,20.420520
10000,6,20.411895
10000,6,20.474624
10000,6,20.457769
10000,6,20.411505
10000,7,17.592192
10000,7,17.543617
10000,7,17.532689
10000,7,17.542722
10000,7,17.541875
10000,8,15.485470
10000,8,15.513741
10000,8,15.542897
10000,8,15.517133
10000,8,15.536197
10000,9,13.685504
10000,9,13.685977
10000,9,13.681062
10000,9,13.679735
10000,9,13.683146
10000,10,12.333532
10000,10,12.336918
10000,10,12.335553
10000,10,12.334249
10000,10,12.338681
10000,11,11.239152
10000,11,11.268175
10000,11,11.244404
10000,11,11.242125
10000,11,11.238516
10000,12,10.331014
10000,12,10.324491
10000,12,10.328489
10000,12,10.331548
10000,12,10.330096
10000,13,9.580703
10000,13,9.562362
10000,13,9.561563
10000,13,9.557499
10000,13,9.566506
10000,14,8.897608
10000,14,8.894706
10000,14,9.010773
10000,14,8.904442
10000,14,8.895278
10000,15,8.320115
10000,15,8.307652
10000,15,8.308645
10000,15,8.307200
10000,15,8.323123
10000,16,7.818850
10000,16,8.094224
10000,16,7.798866
10000,16,7.844295
10000,16,7.824234
10000,17,7.384325
10000,17,7.370481
10000,17,7.380524
10000,17,7.374055
10000,17,7.403582
10000,18,6.967185
10000,18,6.982784
10000,18,6.980293
10000,18,6.970608
10000,18,6.989928
10000,19,6.620171
10000,19,6.654328
10000,19,6.624240
10000,19,6.624249
10000,19,6.637072
10000,20,6.310547
10000,20,6.307969
10000,20,6.306482
10000,20,6.343766
10000,20,6.314665
10000,21,6.022713
10000,21,6.023978
10000,21,6.024610
10000,21,6.038942
10000,21,6.031889
10000,22,5.758846
10000,22,5.756763
10000,22,5.760510
10000,22,5.793078
10000,22,5.768260
10000,23,5.512909
10000,23,5.511447
10000,23,5.512984
10000,23,5.511869
10000,23,5.515901
10000,24,5.293810
10000,24,5.313956
10000,24,5.300279
10000,24,5.315892
10000,24,5.303716
10000,25,5.097517
10000,25,5.096783
10000,25,5.097729
10000,25,5.093123
10000,25,5.117380
10000,26,4.914304
10000,26,4.914695
10000,26,4.922688
10000,26,4.912278
10000,26,4.927780
10000,27,4.737097
10000,27,4.737494
10000,27,4.737496
10000,27,4.740222
10000,27,4.746716
10000,28,4.595272
10000,28,4.584981
10000,28,4.580929
10000,28,4.595141
10000,28,4.612502
10000,29,4.435876
10000,29,4.429572
10000,29,4.440566
10000,29,4.437628
10000,29,4.433197
10000,30,4.318996
10000,30,4.291573
10000,30,4.308772
10000,30,4.328223
10000,30,4.294453
10000,31,4.154914
10000,31,4.172874
10000,31,4.159082
10000,31,4.159457
10000,31,4.158542
10000,32,4.037456
10000,32,4.027808
10000,32,4.030695
10000,32,4.034515
10000,32,4.031115
10000,33,3.937391
10000,33,3.940260
10000,33,3.930348
10000,33,3.942808
10000,33,3.928565
10000,34,3.844248
10000,34,3.842436
10000,34,3.832492
10000,34,3.829405
10000,34,3.831889
10000,35,3.724801
10000,35,3.721485
10000,35,3.728088
10000,35,3.723315
10000,35,3.726091
10000,36,3.628961
10000,36,3.621934
10000,36,3.623318
10000,36,3.650395
10000,36,3.623610
10000,37,3.537327
10000,37,3.545336
10000,37,3.537430
10000,37,3.537953
10000,37,3.535071
10000,38,3.453859
10000,38,3.444004
10000,38,3.522225
10000,38,3.449692
10000,38,3.452541
10000,39,3.364374
10000,39,3.371460
10000,39,3.385395
10000,39,3.368348
10000,39,3.371644
10000,40,3.296868
10000,40,3.291601
10000,40,3.291262
10000,40,3.287598
10000,40,3.432686
10000,41,3.214707
10000,41,3.211909
10000,41,3.214250
10000,41,3.222971
10000,41,3.215292
10000,42,3.294424
10000,42,3.150125
10000,42,3.148064
10000,42,3.158318
10000,42,3.149661
10000,43,3.073024
10000,43,3.232251
10000,43,3.079716
10000,43,3.069850
10000,43,3.106165
10000,44,3.019108
10000,44,3.026922
10000,44,3.161298
10000,44,3.037362
10000,44,3.028893
10000,45,2.979616
10000,45,2.965061
10000,45,2.960583
10000,45,2.968447
10000,45,2.966458
10000,46,2.911989
10000,46,2.932756
10000,46,2.894350
10000,46,2.903731
10000,46,2.905651
10000,47,2.840170
10000,47,2.849671
10000,47,2.842209
10000,47,2.837206
10000,47,2.847354
10000,48,2.791387
10000,48,2.781186
10000,48,2.783268
10000,48,2.789689
10000,48,2.785581
10000,49,2.767670
10000,49,2.748398
10000,49,2.759673
10000,49,2.755756
10000,49,2.747977
10000,50,2.711502
10000,50,2.741007
10000,50,2.724553
10000,50,2.699117
10000,50,2.685298
10000,51,2.639835
10000,51,2.636174
10000,51,2.640206
10000,51,2.659609
10000,51,2.648228
10000,52,2.608413
10000,52,2.609711
10000,52,2.601446
10000,52,2.619574
10000,52,2.603072
10000,53,2.555058
10000,53,2.558048
10000,53,2.554053
10000,53,2.595065
10000,53,2.560716
10000,54,2.517355
10000,54,2.508166
10000,54,2.514954
10000,54,2.510573
10000,54,2.513968
10000,55,2.492378
10000,55,2.469383
10000,55,2.472384
10000,55,2.459854
10000,55,2.462674
10000,56,2.428246
10000,56,2.434701
10000,56,2.427647
10000,56,2.426310
10000,56,2.433035
10000,57,2.399408
10000,57,2.385276
10000,57,2.409161
10000,57,2.408409
10000,57,2.399458
10000,58,2.359796
10000,58,2.349054
10000,58,2.359798
10000,58,2.348356
10000,58,2.352039
10000,59,2.320115
10000,59,2.315581
10000,59,2.325214
10000,59,2.333003
10000,59,2.322576
10000,60,2.298838
10000,60,2.284428
10000,60,2.278229
10000,60,2.280291
10000,60,2.280550
10000,61,2.257840
10000,61,2.242968
10000,61,2.247309
10000,61,2.276218
10000,61,2.264461
10000,62,2.240235
10000,62,2.220181
10000,62,2.234803
10000,62,2.418697
10000,62,2.218984
10000,63,2.198673
10000,63,2.191403
10000,63,2.190255
10000,63,2.199387
10000,63,2.191851
10000,64,2.153632
10000,64,2.159286
10000,64,2.151530
10000,64,2.151350
10000,64,2.154735
