size,cores,time
10000,1,121.536633
10000,1,121.413942
10000,1,121.194292
10000,1,121.258018
10000,1,121.565211
10000,1,121.267773
10000,1,121.269908
10000,1,121.562962
10000,1,121.228581
10000,1,121.536501
10000,2,31.014771
10000,2,30.999318
10000,2,30.996045
10000,2,31.012672
10000,2,31.017872
10000,2,31.002773
10000,2,31.005387
10000,2,31.028313
10000,2,30.992015
10000,2,30.999716
10000,3,20.281739
10000,3,20.337118
10000,3,20.273554
10000,3,20.331231
10000,3,20.274834
10000,3,20.346460
10000,3,20.270630
10000,3,20.291332
10000,3,20.274540
10000,3,20.316275
10000,4,15.218674
10000,4,15.186751
10000,4,15.181334
10000,4,15.198472
10000,4,15.197689
10000,4,15.202469
10000,4,15.268046
10000,4,15.190999
10000,4,15.227522
10000,4,15.244127
10000,5,12.220913
10000,5,12.151981
10000,5,12.151740
10000,5,12.153328
10000,5,12.188848
10000,5,12.157435
10000,5,12.154690
10000,5,12.197617
10000,5,12.244615
10000,5,12.190653
10000,6,10.123483
10000,6,10.147914
10000,6,10.142120
10000,6,10.181040
10000,6,10.168437
10000,6,10.155768
10000,6,10.110053
10000,6,10.142614
10000,6,10.190382
10000,6,10.166019
10000,7,8.767143
10000,7,8.752047
10000,7,8.752479
10000,7,8.780972
10000,7,8.705995
10000,7,8.758911
10000,7,8.768030
10000,7,8.686298
10000,7,8.685583
10000,7,8.731537
10000,8,7.652503
10000,8,7.648887
10000,8,7.693008
10000,8,7.637901
10000,8,7.639499
10000,8,7.686598
10000,8,7.689473
10000,8,7.695663
10000,8,7.671073
10000,8,7.655295
10000,9,6.740235
10000,9,6.769026
10000,9,6.799935
10000,9,6.796203
10000,9,6.717185
10000,9,6.724908
10000,9,6.727408
10000,9,6.754787
10000,9,6.760025
10000,9,6.763392
10000,10,6.152944
10000,10,6.142813
10000,10,6.042982
10000,10,6.049700
10000,10,6.048174
10000,10,6.039308
10000,10,6.043270
10000,10,6.053400
10000,10,6.050414
10000,10,6.046903
10000,11,5.590150
10000,11,5.586456
10000,11,5.504386
10000,11,5.598148
10000,11,5.620312
10000,11,5.623878
10000,11,5.614205
10000,11,5.499554
10000,11,5.594479
10000,11,5.611669
10000,12,5.043382
10000,12,5.144985
10000,12,5.138398
10000,12,5.040859
10000,12,5.040422
10000,12,5.130549
10000,12,5.135670
10000,12,5.042600
10000,12,5.198619
10000,12,5.171428
10000,13,4.794523
10000,13,4.676501
10000,13,4.787990
10000,13,4.677555
10000,13,4.673274
10000,13,4.669228
10000,13,4.799821
10000,13,4.789998
10000,13,4.778361
10000,13,4.751310
10000,14,4.348423
10000,14,4.464767
10000,14,4.338455
10000,14,4.335917
10000,14,4.347715
10000,14,4.467055
10000,14,4.434789
10000,14,4.341883
10000,14,4.428768
10000,14,4.422738
10000,15,4.087485
10000,15,4.070563
10000,15,4.064314
10000,15,4.077987
10000,15,4.098032
10000,15,4.067540
10000,15,4.082097
10000,15,4.076270
10000,15,4.066252
10000,15,4.116622
10000,16,3.850336
10000,16,3.821549
10000,16,3.843325
10000,16,3.845135
10000,16,3.842389
10000,16,3.846688
10000,16,3.833835
10000,16,3.820026
10000,16,3.833756
10000,16,3.830215
10000,17,3.631574
10000,17,3.669389
10000,17,3.644606
10000,17,3.631649
10000,17,3.622514
10000,17,3.616287
10000,17,3.633697
10000,17,3.630117
10000,17,3.622390
10000,17,3.630427
10000,18,3.436894
10000,18,3.451978
10000,18,3.422783
10000,18,3.434173
10000,18,3.424168
10000,18,3.439482
10000,18,3.436676
10000,18,3.462986
10000,18,3.457071
10000,18,3.423630
10000,19,3.273890
10000,19,3.248471
10000,19,3.401731
10000,19,3.257177
10000,19,3.269138
10000,19,3.254068
10000,19,3.261247
10000,19,3.265897
10000,19,3.262756
10000,19,3.377721
10000,20,3.098627
10000,20,3.115437
10000,20,3.101743
10000,20,3.236243
10000,20,3.094966
10000,20,3.101555
10000,20,3.102310
10000,20,3.134103
10000,20,3.101772
10000,20,3.105488
10000,21,3.085395
10000,21,2.970364
10000,21,2.979129
10000,21,2.967060
10000,21,3.076808
10000,21,2.980357
10000,21,2.992069
10000,21,3.010630
10000,21,3.059049
10000,21,2.965017
10000,22,2.844920
10000,22,2.840020
10000,22,2.924326
10000,22,2.846655
10000,22,2.856581
10000,22,2.852313
10000,22,2.975065
10000,22,2.840425
10000,22,2.848483
10000,22,2.847945
10000,23,2.899945
10000,23,2.743594
10000,23,2.753344
10000,23,2.745202
10000,23,2.860464
10000,23,2.741249
10000,23,2.739474
10000,23,2.769889
10000,23,2.862557
10000,23,2.720286
10000,24,2.621092
10000,24,2.637441
10000,24,2.784513
10000,24,2.620887
10000,24,2.626865
10000,24,2.628219
10000,24,2.735089
10000,24,2.606035
10000,24,2.637820
10000,24,2.632438
10000,25,2.692969
10000,25,2.524800
10000,25,2.536271
10000,25,2.538068
10000,25,2.656978
10000,25,2.532588
10000,25,2.537995
10000,25,2.515364
10000,25,2.515992
10000,25,2.669562
10000,26,2.451949
10000,26,2.447057
10000,26,2.432704
10000,26,2.558903
10000,26,2.446488
10000,26,2.449072
10000,26,2.452828
10000,26,2.571194
10000,26,2.445160
10000,26,2.454749
10000,27,2.356622
10000,27,2.478030
10000,27,2.364758
10000,27,2.351266
10000,27,2.358148
10000,27,2.474434
10000,27,2.347360
10000,27,2.364961
10000,27,2.351628
10000,27,2.477025
10000,28,2.283652
10000,28,2.331803
10000,28,2.288182
10000,28,2.263553
10000,28,2.409509
10000,28,2.295009
10000,28,2.287120
10000,28,2.327473
10000,28,2.414795
10000,28,2.322182
10000,29,2.212382
10000,29,2.223176
10000,29,2.343919
10000,29,2.205183
10000,29,2.238878
10000,29,2.216858
10000,29,2.350827
10000,29,2.232477
10000,29,2.230227
10000,29,2.218442
10000,30,2.272785
10000,30,2.168497
10000,30,2.190662
