size,cores,time
10000,1,121.138116
10000,1,121.820755
10000,1,121.350482
10000,1,121.153121
10000,1,121.179590
10000,2,30.947406
10000,2,30.943146
10000,2,30.953934
10000,2,30.950630
10000,2,30.957321
10000,3,20.299895
10000,3,20.244726
10000,3,20.245316
10000,3,20.250376
10000,3,20.328898
10000,4,15.216601
10000,4,15.163908
10000,4,15.168244
10000,4,15.175494
10000,4,15.184878
10000,5,12.156642
10000,5,12.163280
10000,5,12.146372
10000,5,12.138995
10000,5,12.158641
10000,6,10.126794
10000,6,10.125121
10000,6,10.119121
10000,6,10.097869
10000,6,10.114879
10000,7,8.657851
10000,7,8.647914
10000,7,8.663447
10000,7,8.643949
10000,7,8.663761
10000,8,7.649925
10000,8,7.636108
10000,8,7.623462
10000,8,7.617230
10000,8,7.629931
10000,9,6.717504
10000,9,6.720942
10000,9,6.732252
10000,9,6.725788
10000,9,6.727724
10000,10,6.050977
10000,10,6.036597
10000,10,6.074992
10000,10,6.047096
10000,10,6.042002
10000,11,5.485141
10000,11,5.486112
10000,11,5.497204
10000,11,5.488844
10000,11,5.495062
10000,12,5.031874
10000,12,5.029862
10000,12,5.029157
10000,12,5.012442
10000,12,5.027282
10000,13,4.651419
10000,13,4.649840
10000,13,4.680297
10000,13,4.651007
10000,13,4.651921
10000,14,4.329021
10000,14,4.342294
10000,14,4.327781
10000,14,4.331799
10000,14,4.332261
10000,15,4.065478
10000,15,4.053716
10000,15,4.062818
10000,15,4.040544
10000,15,4.059347
10000,16,3.815762
10000,16,3.827151
10000,16,3.806226
10000,16,3.833006
10000,16,3.816266
10000,17,3.608525
10000,17,3.606923
10000,17,3.625571
10000,17,3.606981
10000,17,3.610375
10000,18,3.411259
10000,18,3.408100
10000,18,3.426049
10000,18,3.415403
10000,18,3.426018
10000,19,3.246558
10000,19,3.366890
10000,19,3.234465
10000,19,3.241900
10000,19,3.253111
10000,20,3.199222
10000,20,3.102564
10000,20,3.096063
10000,20,3.128301
10000,20,3.203055
10000,21,2.938803
10000,21,2.985009
10000,21,2.957140
10000,21,2.966122
10000,21,3.072830
10000,22,2.835590
10000,22,2.834241
10000,22,2.837891
10000,22,2.948176
10000,22,2.837842
10000,23,2.724259
10000,23,2.719286
10000,23,2.721522
10000,23,2.843476
10000,23,2.721344
10000,24,2.621082
10000,24,2.652893
10000,24,2.736648
10000,24,2.601005
10000,24,2.617743
