size,cores,sockets,time
25000,64,1,125.035381
25000,64,1,125.806914
25000,64,1,125.149208
25000,64,1,125.243201
25000,64,1,125.484741
25000,64,1,125.681219
25000,64,1,125.375827
25000,64,1,125.194935
25000,64,1,125.146814
25000,64,1,125.121270
25000,128,2,34.586960
25000,128,2,34.269245
25000,128,2,34.321505
25000,128,2,34.324682
25000,128,2,34.627890
25000,128,2,34.232276
25000,128,2,34.389541
25000,128,2,34.418618
25000,128,2,34.501217
25000,128,2,34.477978
25000,192,3,53.269386
25000,192,3,54.292660
25000,192,3,53.198492
25000,192,3,53.454455
25000,192,3,53.423120
25000,192,3,53.120977
25000,192,3,52.483487
25000,192,3,53.164064
25000,192,3,53.422656
25000,192,3,53.363627
25000,256,4,43.443469
25000,256,4,43.324174
25000,256,4,43.266142
25000,256,4,43.484685
25000,256,4,43.426688
25000,256,4,43.305156
25000,256,4,43.706852
25000,256,4,43.390148
25000,256,4,43.340734
25000,256,4,43.572448
25000,320,5,55.727756
25000,320,5,55.813912
25000,320,5,56.042007
25000,320,5,55.330949
25000,320,5,56.339551
25000,320,5,56.216016
25000,320,5,56.006038
25000,320,5,55.788671
25000,320,5,56.396942
25000,320,5,56.188398
25000,384,6,51.431910
25000,384,6,51.333763
25000,384,6,51.102847
25000,384,6,51.169152
25000,384,6,51.378449
25000,384,6,51.185557
25000,384,6,51.243747
25000,384,6,51.367338
25000,384,6,51.197480
25000,384,6,51.355516
