size,cores,time
10000,1,121.099136
10000,1,121.273602
10000,1,121.098381
10000,1,121.103898
10000,1,121.132850
10000,2,61.298256
10000,2,61.196546
10000,2,61.122109
10000,2,61.237870
10000,2,61.410906
10000,3,40.851576
10000,3,40.926027
10000,3,40.902565
10000,3,40.875491
10000,3,41.005103
10000,4,30.729275
10000,4,30.686924
10000,4,30.650995
10000,4,30.682344
10000,4,30.686166
10000,5,24.498977
10000,5,24.540870
10000,5,24.497081
10000,5,24.588284
10000,5,24.556678
10000,6,20.457846
10000,6,20.449611
10000,6,20.458820
10000,6,20.519367
10000,6,20.498683
10000,7,17.577724
10000,7,17.559899
10000,7,17.586118
10000,7,17.587640
10000,7,17.564286
10000,8,15.436987
10000,8,15.451238
10000,8,15.440192
10000,8,15.453937
10000,8,15.437450
10000,9,13.724059
10000,9,13.726611
10000,9,13.736286
10000,9,13.707365
10000,9,13.820390
10000,10,12.369165
10000,10,12.387479
10000,10,12.385673
10000,10,12.370623
10000,10,12.390233
10000,11,11.299733
10000,11,11.295533
10000,11,11.262518
10000,11,11.280570
10000,11,11.296608
10000,12,10.403776
10000,12,10.354067
10000,12,10.365753
10000,12,10.360862
10000,12,10.363345
10000,13,9.596068
10000,13,9.612696
10000,13,9.584881
10000,13,9.615584
10000,13,9.582143
10000,14,8.917305
10000,14,8.915501
10000,14,8.904030
10000,14,8.906851
10000,14,8.914771
10000,15,8.327784
10000,15,8.341651
10000,15,8.334786
10000,15,8.354764
10000,15,8.351298
10000,16,7.820910
10000,16,7.820104
10000,16,7.837397
10000,16,7.819203
10000,16,7.820867
10000,17,7.386012
10000,17,7.387008
10000,17,7.391413
10000,17,7.409052
10000,17,7.389347
10000,18,6.983990
10000,18,6.987607
10000,18,6.996411
10000,18,6.979810
10000,18,6.981088
10000,19,6.649581
10000,19,6.626939
10000,19,6.627532
10000,19,6.625056
10000,19,6.633011
10000,20,6.307017
10000,20,6.306451
10000,20,6.297831
10000,20,6.300391
10000,20,6.298703
10000,21,6.023548
10000,21,6.026109
10000,21,6.030609
10000,21,6.075756
10000,21,6.022912
10000,22,5.743715
10000,22,5.756264
10000,22,5.951151
10000,22,5.761399
10000,22,5.754820
10000,23,5.511195
10000,23,5.514948
10000,23,5.511310
10000,23,5.513992
10000,23,5.510156
10000,24,5.308360
10000,24,5.298100
10000,24,5.295233
10000,24,5.298723
10000,24,5.295014
10000,25,5.091487
10000,25,5.085047
10000,25,5.089843
10000,25,5.090674
10000,25,5.092855
10000,26,4.913436
10000,26,4.914079
10000,26,4.909719
10000,26,5.098979
10000,26,4.913527
10000,27,4.735815
10000,27,4.734956
10000,27,4.733557
10000,27,4.752428
10000,27,4.733465
10000,28,4.581986
10000,28,4.568860
10000,28,4.578676
10000,28,4.581191
10000,28,4.578505
10000,29,4.422859
10000,29,4.435505
10000,29,4.432331
10000,29,4.425120
10000,29,4.421885
10000,30,4.290351
10000,30,4.289696
10000,30,4.303549
10000,30,4.293319
10000,30,4.291914
10000,31,4.150465
10000,31,4.144976
10000,31,4.146377
10000,31,4.147635
10000,31,4.148992
10000,32,4.034192
10000,32,4.024811
10000,32,4.029905
10000,32,4.026882
10000,32,4.027149
10000,33,3.914688
10000,33,3.928213
10000,33,3.917187
10000,33,3.927013
10000,33,3.917354
10000,34,3.814300
10000,34,3.822032
10000,34,3.823223
10000,34,3.818770
10000,34,3.813346
10000,35,3.707248
10000,35,3.703422
10000,35,3.711770
10000,35,3.707627
10000,35,3.712942
10000,36,3.614020
10000,36,3.605017
10000,36,3.603947
10000,36,3.613920
10000,36,3.611538
10000,37,3.541043
10000,37,3.526947
10000,37,3.522398
10000,37,3.524422
10000,37,3.535972
10000,38,3.430143
10000,38,3.429466
10000,38,3.438472
10000,38,3.427898
10000,38,3.434070
10000,39,3.364733
10000,39,3.349132
10000,39,3.358154
10000,39,3.362128
10000,39,3.363897
10000,40,3.274827
10000,40,3.272471
10000,40,3.267820
10000,40,3.274884
10000,40,3.275301
10000,41,3.194351
10000,41,3.200964
10000,41,3.196748
10000,41,3.192952
10000,41,3.195492
10000,42,3.156251
10000,42,3.131792
10000,42,3.144724
10000,42,3.128107
10000,42,3.130212
10000,43,3.077261
