size,cores*16,CCXs,time
1000,64,1,0.293474
1000,64,1,0.319754
1000,64,1,0.321517
1000,64,1,0.321275
1000,64,1,0.321050
2000,128,2,0.345474
2000,128,2,0.346810
2000,128,2,0.348151
2000,128,2,0.347263
2000,128,2,0.348324
3000,192,3,0.504899
3000,192,3,0.506632
3000,192,3,0.501606
3000,192,3,0.507339
3000,192,3,0.498868
4000,256,4,0.660187
4000,256,4,0.698345
4000,256,4,0.688342
4000,256,4,0.683882
4000,256,4,0.687733
5000,320,5,0.849994
5000,320,5,0.827670
5000,320,5,0.825344
5000,320,5,0.826594
5000,320,5,0.824841
6000,384,6,1.013065
6000,384,6,1.033734
6000,384,6,1.018738
6000,384,6,1.021097
6000,384,6,1.011981
7000,448,7,1.227469
7000,448,7,1.228330
7000,448,7,1.196541
7000,448,7,1.200415
7000,448,7,1.231126
8000,512,8,1.409816
8000,512,8,1.419550
8000,512,8,1.404141
8000,512,8,1.396589
8000,512,8,1.394960
9000,576,9,1.559033
9000,576,9,1.567987
9000,576,9,1.559500
9000,576,9,1.576557
9000,576,9,1.608559
10000,640,10,1.764665
10000,640,10,1.771418
10000,640,10,1.781944
10000,640,10,1.766476
10000,640,10,1.774835
11000,704,11,1.991770
11000,704,11,2.013547
11000,704,11,1.984105
11000,704,11,1.977266
11000,704,11,1.980124
12000,768,12,2.192319
12000,768,12,2.233409
12000,768,12,2.199744
12000,768,12,2.226201
12000,768,12,2.240743
13000,832,13,2.404781
13000,832,13,2.413924
13000,832,13,2.432776
13000,832,13,2.445947
13000,832,13,2.435073
14000,896,14,2.647902
14000,896,14,2.671111
14000,896,14,2.672987
14000,896,14,2.651616
14000,896,14,2.682599
15000,960,15,2.909301
15000,960,15,2.952077
15000,960,15,2.891413
15000,960,15,2.912082
15000,960,15,2.882259
16000,1024,16,3.100337
16000,1024,16,3.139406
16000,1024,16,3.132453
16000,1024,16,3.110073
16000,1024,16,3.187726
17000,1088,17,5.824085
17000,1088,17,5.754716
17000,1088,17,5.797916
17000,1088,17,5.762704
17000,1088,17,5.755790
18000,1152,18,10.554401
18000,1152,18,10.537044
18000,1152,18,10.522878
18000,1152,18,10.976237
18000,1152,18,10.622286
19000,1216,19,13.404703
19000,1216,19,13.440934
19000,1216,19,13.330754
19000,1216,19,13.413275
19000,1216,19,13.421073
20000,1280,20,17.819900
20000,1280,20,18.266623
20000,1280,20,17.999275
20000,1280,20,18.028179
20000,1280,20,17.892184
21000,1344,21,22.405526
21000,1344,21,22.505473
21000,1344,21,22.365746
21000,1344,21,22.458028
21000,1344,21,22.212100
22000,1408,22,27.245270
22000,1408,22,28.224786
22000,1408,22,27.763761
22000,1408,22,27.724383
22000,1408,22,27.909435
23000,1472,23,32.830960
23000,1472,23,33.540699
23000,1472,23,33.247992
23000,1472,23,32.989948
23000,1472,23,32.924149
24000,1536,24,39.185392
24000,1536,24,40.020958
24000,1536,24,40.149934
24000,1536,24,39.181486
24000,1536,24,39.562997
25000,1600,25,44.832895
25000,1600,25,47.040462
25000,1600,25,45.730143
25000,1600,25,45.278743
25000,1600,25,45.422332
26000,1664,26,51.847455
26000,1664,26,54.298466
26000,1664,26,54.266305
26000,1664,26,53.145647
26000,1664,26,52.115306
27000,1728,27,59.379634
27000,1728,27,61.117520
27000,1728,27,60.961853
27000,1728,27,59.467319
27000,1728,27,59.516414
28000,1792,28,67.051784
28000,1792,28,70.557423
28000,1792,28,68.012133
28000,1792,28,68.259505
28000,1792,28,67.645143
29000,1856,29,76.683097
29000,1856,29,78.285482
29000,1856,29,75.420561
29000,1856,29,75.871295
29000,1856,29,77.610384
30000,1920,30,84.676363
30000,1920,30,88.053038
30000,1920,30,86.377420
30000,1920,30,87.986362
30000,1920,30,87.335934
31000,1984,31,93.353802
31000,1984,31,97.107332
31000,1984,31,93.780586
31000,1984,31,94.475085
31000,1984,31,96.839315
32000,2048,32,104.834281
32000,2048,32,107.294610
32000,2048,32,105.018931
32000,2048,32,105.072363
32000,2048,32,105.754033
