size,cores,time
200,1,0.043306
200,1,0.045108
200,1,0.045141
200,1,0.044397
200,1,0.044966
400,2,0.046695
400,2,0.046769
400,2,0.058379
400,2,0.047103
400,2,0.046657
600,3,0.067702
600,3,0.068670
600,3,0.068339
600,3,0.080528
600,3,0.068287
800,4,0.091894
800,4,0.090734
800,4,0.090279
800,4,0.090725
800,4,0.110646
1000,5,0.118600
1000,5,0.114173
1000,5,0.124242
1000,5,0.118833
1000,5,0.115467
1200,6,0.145104
1200,6,0.134574
1200,6,0.145464
1200,6,0.135380
1200,6,0.141269
1400,7,0.163929
1400,7,0.172035
1400,7,0.167355
1400,7,0.165368
1400,7,0.168034
1600,8,0.196449
1600,8,0.222969
1600,8,0.216108
1600,8,0.199208
1600,8,0.213232
1800,9,0.237834
1800,9,0.233231
1800,9,0.237823
1800,9,0.236829
1800,9,0.238330
2000,10,0.258502
2000,10,0.265615
2000,10,0.241225
2000,10,0.240468
2000,10,0.240419
2200,11,0.248837
2200,11,0.254236
2200,11,0.248894
2200,11,0.255425
2200,11,0.267722
2400,12,0.299798
2400,12,0.281095
2400,12,0.297139
2400,12,0.298750
2400,12,0.295740
2600,13,0.316266
2600,13,0.313229
2600,13,0.317471
2600,13,0.321451
2600,13,0.300470
2800,14,0.331292
2800,14,0.327085
2800,14,0.333972
2800,14,0.323376
2800,14,0.367839
3000,15,0.374393
3000,15,0.367584
3000,15,0.383270
3000,15,0.373823
3000,15,0.376159
3200,16,0.403968
3200,16,0.410456
3200,16,0.412180
3200,16,0.395586
3200,16,0.406193
3400,17,0.444066
3400,17,0.434055
3400,17,0.424430
3400,17,0.428715
3400,17,0.430463
3600,18,0.449603
3600,18,0.455090
3600,18,0.459183
3600,18,0.441710
3600,18,0.447182
3800,19,0.470882
3800,19,0.478207
3800,19,0.483525
3800,19,0.496747
3800,19,0.464448
4000,20,0.506150
4000,20,0.507958
4000,20,0.488837
4000,20,0.502725
4000,20,0.498195
4200,21,0.536125
4200,21,0.517182
4200,21,0.531378
4200,21,0.529434
4200,21,0.531551
4400,22,0.551250
4400,22,0.569579
4400,22,0.558534
4400,22,0.547158
4400,22,0.559363
4600,23,0.582595
4600,23,0.583433
4600,23,0.587595
4600,23,0.570024
4600,23,0.585673
4800,24,0.720481
4800,24,0.607162
4800,24,0.618794
4800,24,0.615104
4800,24,0.609587
5000,25,0.630607
5000,25,0.631092
5000,25,0.645743
5000,25,0.625738
5000,25,0.648128
5200,26,0.658980
5200,26,0.664357
5200,26,0.671370
5200,26,0.687444
5200,26,0.666001
5400,27,0.700524
5400,27,0.714251
5400,27,0.694282
5400,27,0.703591
5400,27,0.701256
5600,28,0.729081
5600,28,0.742663
5600,28,0.714733
5600,28,0.736385
5600,28,0.731887
5800,29,0.739145
5800,29,0.756109
5800,29,0.746986
5800,29,0.748383
5800,29,0.742622
6000,30,0.784086
6000,30,1.001323
6000,30,0.785999
6000,30,0.782431
6000,30,0.772323
6200,31,0.971596
6200,31,0.804859
6200,31,0.811703
6200,31,0.826082
6200,31,0.817529
6400,32,0.837607
6400,32,0.843968
6400,32,0.828769
6400,32,0.843806
6400,32,0.875457
6600,33,0.871176
6600,33,0.874102
6600,33,0.878323
6600,33,0.855373
6600,33,0.898842
6800,34,0.914169
6800,34,0.898272
6800,34,0.909070
6800,34,0.925387
6800,34,0.919141
7000,35,0.914745
7000,35,0.927338
7000,35,0.914033
7000,35,0.917616
7000,35,0.911933
7200,36,0.962526
7200,36,0.972916
7200,36,0.981513
7200,36,0.964854
7200,36,0.993144
7400,37,1.002957
7400,37,0.997723
7400,37,1.038535
7400,37,0.982427
7400,37,0.980192
7600,38,1.010439
7600,38,1.024911
7600,38,1.037861
7600,38,1.003624
7600,38,1.010872
7800,39,1.050456
7800,39,1.076103
7800,39,1.048391
7800,39,1.070529
7800,39,1.070523
8000,40,1.090339
8000,40,1.100800
8000,40,1.095435
8000,40,1.078775
8000,40,1.086555
8200,41,1.110764
8200,41,1.096849
8200,41,1.097798
8200,41,1.079998
8200,41,1.097465
8400,42,1.127779
8400,42,1.150016
8400,42,1.189760
8400,42,1.108492
8400,42,1.124507
8600,43,1.157844
8600,43,1.273866
8600,43,1.150128
8600,43,1.165123
8600,43,1.155585
8800,44,1.322768
8800,44,1.205665
8800,44,1.174219
8800,44,1.202197
8800,44,1.232691
9000,45,1.234190
9000,45,1.228261
9000,45,1.258460
9000,45,1.223789
9000,45,1.256307
9200,46,1.243738
9200,46,1.268303
9200,46,1.266565
9200,46,1.280301
9200,46,1.301653
9400,47,1.264932
9400,47,1.351676
9400,47,1.283917
9400,47,1.313958
9400,47,1.304093
9600,48,1.340050
9600,48,1.366710
9600,48,1.389843
9600,48,1.336532
9600,48,1.325723
9800,49,1.399190
9800,49,1.406879
9800,49,1.403013
9800,49,1.425809
9800,49,1.458381
10000,50,1.492961
10000,50,1.493851
10000,50,1.432046
10000,50,1.480637
10000,50,1.453678
10200,51,1.510219
10200,51,1.544856
10200,51,1.481100
10200,51,1.519177
10200,51,1.492181
10400,52,1.510505
10400,52,1.523528
10400,52,1.549585
10400,52,1.630962
10400,52,1.488533
10600,53,1.578536
10600,53,1.503922
10600,53,1.594314
10600,53,1.568854
10600,53,1.565126
10800,54,1.600444
10800,54,1.644954
10800,54,1.581815
10800,54,1.687359
10800,54,1.612928
11000,55,1.673933
11000,55,1.715183
11000,55,1.834568
11000,55,1.707746
11000,55,1.673630
11200,56,1.965020
11200,56,1.717209
11200,56,1.684385
11200,56,1.834055
11200,56,1.694482
11400,57,1.709920
11400,57,1.806209
