size,cores,sockets,time
4000,64,1,0.375997
4000,64,1,0.379256
4000,64,1,0.379415
4000,64,1,0.377605
4000,64,1,0.384891
8000,128,2,0.499516
8000,128,2,0.514045
8000,128,2,0.512299
8000,128,2,0.507664
8000,128,2,0.509220
12000,192,3,2.219902
12000,192,3,2.329549
12000,192,3,2.236783
12000,192,3,2.269847
12000,192,3,2.239356
16000,256,4,3.262756
16000,256,4,3.248010
16000,256,4,3.173529
16000,256,4,3.224620
16000,256,4,3.211720
20000,320,5,5.474350
20000,320,5,5.498152
20000,320,5,5.880083
20000,320,5,5.740903
20000,320,5,5.597087
24000,384,6,7.677780
24000,384,6,7.879422
24000,384,6,7.822326
24000,384,6,7.753383
24000,384,6,7.688528
