cores,m,k,n,time,GFLOPS
1,10000,10000,10000,43.029965,46.479238
1,10000,10000,10000,42.742104,46.792268
1,10000,10000,10000,42.573085,46.978038
1,10000,10000,10000,42.739826,46.794762
1,10000,10000,10000,42.700900,46.837420
2,10000,10000,10000,22.533661,88.756107
2,10000,10000,10000,22.448936,89.091083
2,10000,10000,10000,22.568609,88.618666
2,10000,10000,10000,22.675520,88.200843
2,10000,10000,10000,22.651716,88.293531
3,10000,10000,10000,15.100465,132.446250
3,10000,10000,10000,15.121556,132.261523
3,10000,10000,10000,15.152896,131.987975
3,10000,10000,10000,15.085599,132.576774
3,10000,10000,10000,15.103726,132.417657
4,10000,10000,10000,11.244681,177.861872
4,10000,10000,10000,11.203909,178.509123
4,10000,10000,10000,11.203526,178.515221
4,10000,10000,10000,11.244659,177.862225
4,10000,10000,10000,11.251440,177.755020
5,10000,10000,10000,8.906139,224.564210
5,10000,10000,10000,8.874832,225.356377
5,10000,10000,10000,8.911767,224.422392
5,10000,10000,10000,8.861002,225.708114
5,10000,10000,10000,8.888604,225.007219
6,10000,10000,10000,7.525219,265.772982
6,10000,10000,10000,7.501989,266.595960
6,10000,10000,10000,7.531191,265.562258
6,10000,10000,10000,7.544296,265.100949
6,10000,10000,10000,7.637708,261.858672
7,10000,10000,10000,6.402214,312.391946
7,10000,10000,10000,6.390857,312.947083
7,10000,10000,10000,6.392210,312.880815
7,10000,10000,10000,6.378198,313.568182
7,10000,10000,10000,6.404635,312.273860
8,10000,10000,10000,5.588275,357.892212
8,10000,10000,10000,5.586398,358.012463
8,10000,10000,10000,5.649912,353.987827
8,10000,10000,10000,5.577789,358.565022
8,10000,10000,10000,5.581014,358.357788
9,10000,10000,10000,5.101134,392.069652
9,10000,10000,10000,5.063628,394.973709
9,10000,10000,10000,5.066237,394.770328
9,10000,10000,10000,5.108073,391.537071
9,10000,10000,10000,5.051690,395.907132
10,10000,10000,10000,4.471009,447.326333
10,10000,10000,10000,4.473849,447.042329
10,10000,10000,10000,4.482703,446.159374
10,10000,10000,10000,4.480153,446.413346
10,10000,10000,10000,4.460183,448.412094
11,10000,10000,10000,4.180915,478.364159
11,10000,10000,10000,4.169046,479.726086
11,10000,10000,10000,4.179291,478.550069
11,10000,10000,10000,4.186614,477.713025
11,10000,10000,10000,4.201670,476.001251
12,10000,10000,10000,3.841351,520.650105
12,10000,10000,10000,3.749372,533.422632
12,10000,10000,10000,3.778543,529.304589
12,10000,10000,10000,3.788482,527.915908
12,10000,10000,10000,3.770794,530.392317
13,10000,10000,10000,3.560572,561.707446
13,10000,10000,10000,3.547937,563.707888
13,10000,10000,10000,3.524166,567.510084
13,10000,10000,10000,3.526943,567.063243
13,10000,10000,10000,3.564727,561.052812
14,10000,10000,10000,3.377174,592.211092
14,10000,10000,10000,3.388651,590.205426
14,10000,10000,10000,3.375864,592.440881
14,10000,10000,10000,3.376877,592.263228
14,10000,10000,10000,3.375017,592.589617
15,10000,10000,10000,3.204766,624.070437
15,10000,10000,10000,3.182007,628.534134
15,10000,10000,10000,3.192334,626.500838
15,10000,10000,10000,3.211801,622.703586
15,10000,10000,10000,3.202952,624.423960
16,10000,10000,10000,2.899216,689.841609
16,10000,10000,10000,2.911902,686.836361
16,10000,10000,10000,2.915669,685.948850
16,10000,10000,10000,2.875172,695.610453
16,10000,10000,10000,2.904362,688.619369
17,10000,10000,10000,2.837090,704.947794
17,10000,10000,10000,2.868973,697.113683
17,10000,10000,10000,2.830852,706.501206
17,10000,10000,10000,2.801843,713.815756
17,10000,10000,10000,2.826133,707.680748
18,10000,10000,10000,2.732430,731.949296
18,10000,10000,10000,2.870178,696.820920
18,10000,10000,10000,2.729688,732.684426
18,10000,10000,10000,2.736968,730.735688
18,10000,10000,10000,2.744829,728.642836
19,10000,10000,10000,2.639661,757.672999
19,10000,10000,10000,2.653115,753.830971
19,10000,10000,10000,2.708386,738.447078
19,10000,10000,10000,2.724445,734.094536
19,10000,10000,10000,2.709614,738.112442
20,10000,10000,10000,2.329356,858.606408
20,10000,10000,10000,2.325653,859.973383
20,10000,10000,10000,2.356146,848.843663
20,10000,10000,10000,2.393695,835.528223
20,10000,10000,10000,2.374859,842.155310
21,10000,10000,10000,2.300175,869.499038
21,10000,10000,10000,2.375070,842.080555
21,10000,10000,10000,2.287378,874.363504
21,10000,10000,10000,2.285653,875.023433
21,10000,10000,10000,2.324445,860.420571
22,10000,10000,10000,2.168886,922.132256
22,10000,10000,10000,2.135280,936.645329
22,10000,10000,10000,2.138153,935.386912
22,10000,10000,10000,2.206971,906.219515
22,10000,10000,10000,2.135515,936.542341
23,10000,10000,10000,2.068423,966.920365
23,10000,10000,10000,2.059321,971.194058
23,10000,10000,10000,2.134407,937.028308
23,10000,10000,10000,2.053806,973.802016
23,10000,10000,10000,2.052091,974.615795
24,10000,10000,10000,1.954528,1023.264948
24,10000,10000,10000,1.933572,1034.355311
24,10000,10000,10000,1.947609,1026.900056
24,10000,10000,10000,1.949642,1025.829312
24,10000,10000,10000,1.943965,1028.825254
25,10000,10000,10000,1.944137,1028.734285
25,10000,10000,10000,1.854974,1078.182233
25,10000,10000,10000,1.884232,1061.440496
25,10000,10000,10000,1.855703,1077.758896
25,10000,10000,10000,1.890261,1058.054815
26,10000,10000,10000,1.799635,1111.336543
26,10000,10000,10000,1.783713,1121.256454
26,10000,10000,10000,1.807294,1106.626891
26,10000,10000,10000,1.806029,1107.402097
26,10000,10000,10000,1.787116,1119.121517
27,10000,10000,10000,1.964506,1018.067500
27,10000,10000,10000,1.759293,1136.820116
27,10000,10000,10000,1.950247,1025.511363
27,10000,10000,10000,1.827226,1094.555451
27,10000,10000,10000,1.787782,1118.704777
28,10000,10000,10000,1.792524,1115.745162
28,10000,10000,10000,1.776445,1125.843743
28,10000,10000,10000,1.787876,1118.645910
28,10000,10000,10000,1.785899,1119.883951
28,10000,10000,10000,1.947394,1027.013394
29,10000,10000,10000,1.720220,1162.642143
29,10000,10000,10000,1.718468,1163.827333
29,10000,10000,10000,1.697419,1178.259597
29,10000,10000,10000,1.722739,1160.941927
29,10000,10000,10000,1.767074,1131.814480
30,10000,10000,10000,1.740329,1149.208131
30,10000,10000,10000,1.762600,1134.687508
30,10000,10000,10000,1.734185,1153.279763
