cores,m,k,n,time,GFLOPS
1,10000,10000,10000,20.757243,96.351912
1,10000,10000,10000,20.943838,95.493481
1,10000,10000,10000,21.325180,93.785843
1,10000,10000,10000,20.747921,96.395202
1,10000,10000,10000,22.023358,90.812671
2,10000,10000,10000,11.216636,178.306585
2,10000,10000,10000,11.196250,178.631235
2,10000,10000,10000,11.425884,175.041166
2,10000,10000,10000,11.133445,179.638915
2,10000,10000,10000,11.184370,178.820983
3,10000,10000,10000,7.370506,271.351803
3,10000,10000,10000,7.326072,272.997586
3,10000,10000,10000,7.361958,271.666842
3,10000,10000,10000,7.492134,266.946631
3,10000,10000,10000,7.486699,267.140433
4,10000,10000,10000,5.412213,369.534606
4,10000,10000,10000,5.537107,361.199428
4,10000,10000,10000,5.619156,355.925350
4,10000,10000,10000,5.479011,365.029354
4,10000,10000,10000,5.387656,371.218929
5,10000,10000,10000,4.379366,456.687080
5,10000,10000,10000,4.483712,446.058961
5,10000,10000,10000,4.451360,449.300877
5,10000,10000,10000,4.374058,457.241343
5,10000,10000,10000,4.396001,454.958922
6,10000,10000,10000,3.772513,530.150577
6,10000,10000,10000,3.780088,529.088276
6,10000,10000,10000,3.778018,529.378078
6,10000,10000,10000,3.770940,530.371685
6,10000,10000,10000,3.808252,525.175320
7,10000,10000,10000,3.219755,621.165242
7,10000,10000,10000,3.244638,616.401568
7,10000,10000,10000,3.251790,615.045932
7,10000,10000,10000,3.209736,623.104112
7,10000,10000,10000,3.241814,616.938556
8,10000,10000,10000,2.838625,704.566411
8,10000,10000,10000,2.812753,711.047105
8,10000,10000,10000,2.809240,711.936267
8,10000,10000,10000,2.859482,699.427370
8,10000,10000,10000,2.827359,707.373949
9,10000,10000,10000,2.583383,774.178681
9,10000,10000,10000,2.508087,797.420564
9,10000,10000,10000,2.556391,782.353081
9,10000,10000,10000,2.478043,807.088343
9,10000,10000,10000,2.561460,780.804651
10,10000,10000,10000,2.254175,887.242535
10,10000,10000,10000,2.251398,888.336829
10,10000,10000,10000,2.239053,893.234582
10,10000,10000,10000,2.254647,887.056919
10,10000,10000,10000,2.232547,895.837652
11,10000,10000,10000,2.081639,960.781379
11,10000,10000,10000,2.159950,925.947429
11,10000,10000,10000,2.125572,940.923202
11,10000,10000,10000,2.121432,942.759366
11,10000,10000,10000,2.135251,936.657964
12,10000,10000,10000,1.855832,1077.683813
12,10000,10000,10000,1.848285,1082.084412
12,10000,10000,10000,1.927196,1037.777345
12,10000,10000,10000,1.903813,1050.523378
12,10000,10000,10000,1.917698,1042.917142
13,10000,10000,10000,1.745559,1145.764540
13,10000,10000,10000,1.769646,1130.169479
13,10000,10000,10000,1.713406,1167.265797
13,10000,10000,10000,1.728820,1156.858524
13,10000,10000,10000,1.763362,1134.197093
14,10000,10000,10000,1.687891,1184.910756
14,10000,10000,10000,1.627945,1228.542456
14,10000,10000,10000,1.677021,1192.590707
14,10000,10000,10000,1.685038,1186.916508
14,10000,10000,10000,1.638702,1220.477909
15,10000,10000,10000,1.582138,1264.111843
15,10000,10000,10000,1.604350,1246.610923
15,10000,10000,10000,1.582756,1263.618445
15,10000,10000,10000,1.585328,1261.568378
15,10000,10000,10000,1.556698,1284.770332
16,10000,10000,10000,1.450655,1378.687093
16,10000,10000,10000,1.400696,1427.861664
16,10000,10000,10000,1.426418,1402.113075
16,10000,10000,10000,1.456935,1372.745044
16,10000,10000,10000,1.436973,1391.814516
17,10000,10000,10000,1.354287,1476.791438
17,10000,10000,10000,1.360680,1469.852994
17,10000,10000,10000,1.371348,1458.418877
17,10000,10000,10000,1.368137,1461.842358
17,10000,10000,10000,1.380408,1448.847143
18,10000,10000,10000,1.292287,1547.643329
18,10000,10000,10000,1.343075,1489.120246
18,10000,10000,10000,1.344673,1487.350064
18,10000,10000,10000,1.298366,1540.397998
18,10000,10000,10000,1.315353,1520.504483
19,10000,10000,10000,1.329571,1504.244144
19,10000,10000,10000,1.279152,1563.535369
19,10000,10000,10000,1.255605,1592.857694
19,10000,10000,10000,1.314981,1520.933981
19,10000,10000,10000,1.297476,1541.454543
20,10000,10000,10000,1.187325,1684.458623
20,10000,10000,10000,1.220158,1639.132353
20,10000,10000,10000,1.219932,1639.435006
20,10000,10000,10000,1.223928,1634.083593
20,10000,10000,10000,1.170816,1708.210186
21,10000,10000,10000,1.216114,1644.582081
21,10000,10000,10000,1.166382,1714.703870
21,10000,10000,10000,1.194106,1674.893316
21,10000,10000,10000,1.175153,1701.906394
21,10000,10000,10000,1.166342,1714.762939
22,10000,10000,10000,1.117088,1790.369119
22,10000,10000,10000,1.172644,1705.547381
22,10000,10000,10000,1.131052,1768.265293
22,10000,10000,10000,1.163457,1719.015478
22,10000,10000,10000,1.123309,1780.454359
23,10000,10000,10000,1.094608,1827.138945
23,10000,10000,10000,1.106525,1807.459487
23,10000,10000,10000,1.114668,1794.256309
23,10000,10000,10000,1.105435,1809.242533
23,10000,10000,10000,1.011948,1976.386562
24,10000,10000,10000,1.011388,1977.481035
24,10000,10000,10000,1.006913,1986.269623
24,10000,10000,10000,1.068807,1871.245126
24,10000,10000,10000,0.972199,2057.192149
24,10000,10000,10000,1.000778,1998.445741
25,10000,10000,10000,1.129750,1770.303327
25,10000,10000,10000,0.934075,2141.155427
25,10000,10000,10000,0.943135,2120.588178
25,10000,10000,10000,0.974447,2052.445443
25,10000,10000,10000,0.952340,2100.090703
26,10000,10000,10000,1.010770,1978.690452
26,10000,10000,10000,0.933289,2142.958970
26,10000,10000,10000,0.957277,2089.259590
26,10000,10000,10000,0.939206,2129.458577
26,10000,10000,10000,0.949255,2106.914644
27,10000,10000,10000,0.927178,2157.082261
27,10000,10000,10000,0.930520,2149.335929
27,10000,10000,10000,0.941970,2123.209231
27,10000,10000,10000,0.976038,2049.101370
27,10000,10000,10000,0.939237,2129.386960
28,10000,10000,10000,0.950542,2104.063151
28,10000,10000,10000,0.973852,2053.699156
28,10000,10000,10000,0.952886,2098.887277
28,10000,10000,10000,0.980902,2038.939863
28,10000,10000,10000,0.970404,2060.998068
29,10000,10000,10000,0.906314,2206.741881
29,10000,10000,10000,0.916739,2181.646311
29,10000,10000,10000,0.920989,2171.579212
29,10000,10000,10000,0.949867,2105.558452
29,10000,10000,10000,0.922899,2167.085452
30,10000,10000,10000,0.948957,2107.577478
30,10000,10000,10000,0.925936,2159.976257
30,10000,10000,10000,0.947652,2110.479878
30,10000,10000,10000,0.948736,2108.066962
30,10000,10000,10000,0.937244,2133.916825
31,10000,10000,10000,0.908615,2201.153292
31,10000,10000,10000,0.901683,2218.074922
31,10000,10000,10000,0.932597,2144.548160
31,10000,10000,10000,0.925423,2161.172969
31,10000,10000,10000,0.926183,2159.400891
32,10000,10000,10000,0.807657,2476.298021
32,10000,10000,10000,0.750923,2663.388135
32,10000,10000,10000,0.736502,2715.540509
32,10000,10000,10000,0.748421,2672.294519
32,10000,10000,10000,0.872852,2291.338752
33,10000,10000,10000,0.783882,2551.403317
33,10000,10000,10000,0.775267,2579.756666
33,10000,10000,10000,0.818639,2443.078390
33,10000,10000,10000,0.796501,2510.983500
33,10000,10000,10000,0.793800,2519.526513
34,10000,10000,10000,0.790294,2530.702354
34,10000,10000,10000,0.760372,2630.291264
34,10000,10000,10000,0.775303,2579.635385
34,10000,10000,10000,0.779914,2564.386918
34,10000,10000,10000,0.755962,2645.634969
35,10000,10000,10000,0.763352,2620.022332
35,10000,10000,10000,0.921228,2171.014694
35,10000,10000,10000,0.799623,2501.178074
35,10000,10000,10000,0.781231,2560.060786
35,10000,10000,10000,0.765244,2613.545504
36,10000,10000,10000,0.752323,2658.432972
36,10000,10000,10000,0.743724,2689.169577
