cores,m,k,n,time,GFLOPS
1,10000,10000,10000,14.555506,137.405051
1,10000,10000,10000,14.535027,137.598645
1,10000,10000,10000,14.678317,136.255407
1,10000,10000,10000,14.544824,137.505963
1,10000,10000,10000,14.545163,137.502757
1,10000,10000,10000,14.525501,137.688880
1,10000,10000,10000,14.521732,137.724618
1,10000,10000,10000,14.674375,136.292002
1,10000,10000,10000,14.526138,137.682841
1,10000,10000,10000,14.562463,137.339400
2,10000,10000,10000,7.577507,263.939042
2,10000,10000,10000,7.580167,263.846440
2,10000,10000,10000,7.584953,263.679931
2,10000,10000,10000,7.580914,263.820422
2,10000,10000,10000,7.587615,263.587454
2,10000,10000,10000,7.582161,263.777027
2,10000,10000,10000,7.584050,263.711349
2,10000,10000,10000,7.644469,261.627081
2,10000,10000,10000,7.605446,262.969445
2,10000,10000,10000,7.581003,263.817348
3,10000,10000,10000,4.944575,404.483715
3,10000,10000,10000,4.953258,403.774625
3,10000,10000,10000,4.945218,404.431072
3,10000,10000,10000,4.954167,403.700547
3,10000,10000,10000,4.944490,404.490668
3,10000,10000,10000,4.949424,404.087393
3,10000,10000,10000,4.947189,404.269971
3,10000,10000,10000,4.946902,404.293401
3,10000,10000,10000,4.953388,403.764009
3,10000,10000,10000,4.947500,404.244600
4,10000,10000,10000,3.710321,539.036905
4,10000,10000,10000,3.707223,539.487442
4,10000,10000,10000,3.709935,539.093043
4,10000,10000,10000,3.712540,538.714708
4,10000,10000,10000,3.713488,538.577270
4,10000,10000,10000,3.712330,538.745152
4,10000,10000,10000,3.713438,538.584506
4,10000,10000,10000,3.712691,538.692845
4,10000,10000,10000,3.712387,538.736948
4,10000,10000,10000,3.757436,532.277798
5,10000,10000,10000,3.133468,638.270450
5,10000,10000,10000,3.137854,637.378202
5,10000,10000,10000,3.136126,637.729481
5,10000,10000,10000,3.135846,637.786490
5,10000,10000,10000,3.142794,636.376424
5,10000,10000,10000,3.138937,637.158328
5,10000,10000,10000,3.139255,637.093761
5,10000,10000,10000,3.135291,637.899281
5,10000,10000,10000,3.132330,638.502403
5,10000,10000,10000,3.133851,638.192479
6,10000,10000,10000,2.478171,807.046670
6,10000,10000,10000,2.471612,809.188548
6,10000,10000,10000,2.475394,807.952110
6,10000,10000,10000,2.479731,806.539053
6,10000,10000,10000,2.479756,806.530816
6,10000,10000,10000,2.483952,805.168633
6,10000,10000,10000,2.486568,804.321493
6,10000,10000,10000,2.479791,806.519571
6,10000,10000,10000,2.474242,808.328444
6,10000,10000,10000,2.474515,808.239341
7,10000,10000,10000,2.210384,904.820259
7,10000,10000,10000,2.207814,905.873338
7,10000,10000,10000,2.207498,906.002971
7,10000,10000,10000,2.205751,906.720481
7,10000,10000,10000,2.205176,906.956977
7,10000,10000,10000,2.219873,900.952472
7,10000,10000,10000,2.212676,903.882799
7,10000,10000,10000,2.209900,905.018285
7,10000,10000,10000,2.206829,906.277851
7,10000,10000,10000,2.211561,904.338554
8,10000,10000,10000,1.900278,1052.477709
8,10000,10000,10000,1.907571,1048.453961
8,10000,10000,10000,1.894857,1055.488871
8,10000,10000,10000,1.891343,1057.449897
8,10000,10000,10000,1.895273,1055.256942
8,10000,10000,10000,1.897583,1053.972237
8,10000,10000,10000,1.893200,1056.412267
8,10000,10000,10000,1.892491,1056.808372
8,10000,10000,10000,1.894981,1055.419769
8,10000,10000,10000,1.893912,1056.015214
9,10000,10000,10000,1.710478,1169.264075
9,10000,10000,10000,1.707529,1171.283423
9,10000,10000,10000,1.709441,1169.973110
9,10000,10000,10000,1.716036,1165.476725
9,10000,10000,10000,1.710165,1169.477506
9,10000,10000,10000,1.706521,1171.975120
9,10000,10000,10000,1.707313,1171.431579
9,10000,10000,10000,1.708184,1170.834369
9,10000,10000,10000,1.706723,1171.836620
9,10000,10000,10000,1.702228,1174.930503
10,10000,10000,10000,1.522237,1313.856153
10,10000,10000,10000,1.521524,1314.471787
10,10000,10000,10000,1.523726,1312.572078
10,10000,10000,10000,1.540391,1298.371701
10,10000,10000,10000,1.521974,1314.083186
10,10000,10000,10000,1.530940,1306.387176
10,10000,10000,10000,1.528340,1308.609147
10,10000,10000,10000,1.521351,1314.621240
10,10000,10000,10000,1.523457,1312.803422
10,10000,10000,10000,1.527781,1309.088420
11,10000,10000,10000,1.383425,1445.686938
11,10000,10000,10000,1.388892,1439.996382
11,10000,10000,10000,1.382668,1446.479216
11,10000,10000,10000,1.386844,1442.122816
11,10000,10000,10000,1.380002,1449.272935
11,10000,10000,10000,1.381165,1448.053138
11,10000,10000,10000,1.383940,1445.149374
11,10000,10000,10000,1.384807,1444.244574
11,10000,10000,10000,1.379427,1449.877090
11,10000,10000,10000,1.377810,1451.579200
12,10000,10000,10000,1.265448,1580.467615
12,10000,10000,10000,1.272896,1571.219781
12,10000,10000,10000,1.273632,1570.312754
12,10000,10000,10000,1.268257,1576.967667
12,10000,10000,10000,1.277269,1565.841188
12,10000,10000,10000,1.268977,1576.072141
12,10000,10000,10000,1.266011,1579.764649
12,10000,10000,10000,1.275466,1568.054517
12,10000,10000,10000,1.263965,1582.322851
12,10000,10000,10000,1.265410,1580.515518
