m,k,n,time,GFLOPS
2000,2000,2000,0.038773,412.658730
2000,2000,2000,0.051626,309.921045
2000,2000,2000,0.049817,321.175354
2000,2000,2000,0.049345,324.247802
2000,2000,2000,0.042034,380.640700
2000,2000,2000,0.051092,313.158967
2000,2000,2000,0.044199,361.997576
2000,2000,2000,0.042233,378.854214
2000,2000,2000,0.045943,348.254880
2000,2000,2000,0.049123,325.714054
3000,3000,3000,0.094903,569.004120
3000,3000,3000,0.090381,597.473391
3000,3000,3000,0.090301,597.998631
3000,3000,3000,0.095564,565.068164
3000,3000,3000,0.092408,584.363751
3000,3000,3000,0.091157,592.382085
3000,3000,3000,0.088331,611.336038
3000,3000,3000,0.089811,601.261192
3000,3000,3000,0.091502,590.152976
3000,3000,3000,0.090324,597.850985
4000,4000,4000,0.158561,807.259778
4000,4000,4000,0.157342,813.512669
4000,4000,4000,0.160455,797.731352
4000,4000,4000,0.160069,799.653920
4000,4000,4000,0.159626,801.874808
4000,4000,4000,0.159851,800.747147
4000,4000,4000,0.159696,801.521940
4000,4000,4000,0.161781,791.195043
4000,4000,4000,0.161922,790.504065
4000,4000,4000,0.159780,801.103044
5000,5000,5000,0.267726,933.790280
5000,5000,5000,0.256653,974.078638
5000,5000,5000,0.263896,947.343758
5000,5000,5000,0.269265,928.452231
5000,5000,5000,0.266316,938.734316
5000,5000,5000,0.262819,951.225321
5000,5000,5000,0.263848,947.514134
5000,5000,5000,0.262887,950.978988
5000,5000,5000,0.264678,944.543101
5000,5000,5000,0.268922,929.638517
6000,6000,6000,0.392920,1099.461088
6000,6000,6000,0.421950,1023.818167
6000,6000,6000,0.391630,1103.082450
6000,6000,6000,0.419360,1030.140526
6000,6000,6000,0.433021,997.641734
6000,6000,6000,0.437239,988.017513
6000,6000,6000,0.404623,1067.660073
6000,6000,6000,0.424454,1017.777846
6000,6000,6000,0.407273,1060.713505
6000,6000,6000,0.420542,1027.247001
7000,7000,7000,0.567043,1209.785265
7000,7000,7000,0.593776,1155.317986
7000,7000,7000,0.574119,1194.873372
7000,7000,7000,0.576799,1189.321541
7000,7000,7000,0.571888,1199.536469
7000,7000,7000,0.580382,1181.980604
7000,7000,7000,0.572305,1198.662028
7000,7000,7000,0.576479,1189.981684
7000,7000,7000,0.571464,1200.426214
7000,7000,7000,0.585965,1170.718030
8000,8000,8000,0.748795,1367.530546
8000,8000,8000,0.766434,1336.057668
8000,8000,8000,0.759091,1348.982187
8000,8000,8000,0.767193,1334.736209
8000,8000,8000,0.757806,1351.268914
8000,8000,8000,0.777632,1316.817418
8000,8000,8000,0.763309,1341.527688
8000,8000,8000,0.770546,1328.927970
8000,8000,8000,0.759557,1348.154194
8000,8000,8000,0.778412,1315.498625
9000,9000,9000,1.018085,1432.100774
9000,9000,9000,1.078671,1351.663326
9000,9000,9000,1.051275,1386.887230
9000,9000,9000,1.057728,1378.425732
9000,9000,9000,1.046500,1393.215422
9000,9000,9000,1.051680,1386.353329
9000,9000,9000,1.052832,1384.836736
9000,9000,9000,1.049757,1388.892306
9000,9000,9000,1.053008,1384.605403
9000,9000,9000,1.052217,1385.645747
10000,10000,10000,1.334499,1498.690053
10000,10000,10000,1.318030,1517.415820
10000,10000,10000,1.321182,1513.795814
10000,10000,10000,1.333243,1500.101309
10000,10000,10000,1.326315,1507.936851
10000,10000,10000,1.325328,1509.060587
10000,10000,10000,1.358962,1471.711688
10000,10000,10000,1.344303,1487.759395
10000,10000,10000,1.355034,1475.978015
10000,10000,10000,1.330260,1503.465444
11000,11000,11000,1.664637,1599.147268
11000,11000,11000,1.652975,1610.429200
11000,11000,11000,1.712650,1554.316286
11000,11000,11000,1.677448,1586.934422
11000,11000,11000,1.705007,1561.283771
11000,11000,11000,1.686142,1578.751624
11000,11000,11000,1.647443,1615.837212
11000,11000,11000,1.706624,1559.804557
11000,11000,11000,1.686280,1578.622616
