m,k,n,time,GFLOPS
2000,2000,2000,0.024872,643.282387
2000,2000,2000,0.023415,683.317579
2000,2000,2000,0.023904,669.357764
2000,2000,2000,0.023905,669.317499
2000,2000,2000,0.024587,650.738169
2000,2000,2000,0.023554,679.284316
2000,2000,2000,0.024624,649.762157
2000,2000,2000,0.023923,668.799580
2000,2000,2000,0.024249,659.823309
2000,2000,2000,0.025020,639.477726
3000,3000,3000,0.073512,734.576086
3000,3000,3000,0.073411,735.586259
3000,3000,3000,0.073836,731.353225
3000,3000,3000,0.073110,738.616342
3000,3000,3000,0.073434,735.350390
3000,3000,3000,0.074744,722.470309
3000,3000,3000,0.073296,736.738985
3000,3000,3000,0.101862,530.126713
3000,3000,3000,0.073596,733.735011
3000,3000,3000,0.073980,729.929000
4000,4000,4000,0.164528,777.983235
4000,4000,4000,0.163201,784.308112
4000,4000,4000,0.164006,780.459718
4000,4000,4000,0.166527,768.643838
4000,4000,4000,0.165865,771.712991
4000,4000,4000,0.164584,777.718369
4000,4000,4000,0.167118,765.924938
4000,4000,4000,0.164682,777.254077
4000,4000,4000,0.167680,763.359134
4000,4000,4000,0.164983,775.839561
5000,5000,5000,0.325192,768.775697
5000,5000,5000,0.337451,740.847697
5000,5000,5000,0.325421,768.235930
5000,5000,5000,0.336797,742.286998
5000,5000,5000,0.325494,768.062662
5000,5000,5000,0.324291,770.911957
5000,5000,5000,0.324365,770.736703
5000,5000,5000,0.325993,766.888134
5000,5000,5000,0.324424,770.595777
5000,5000,5000,0.325249,768.642417
6000,6000,6000,0.543450,794.920893
6000,6000,6000,0.538799,801.783002
6000,6000,6000,0.538834,801.731129
6000,6000,6000,0.540868,798.715715
6000,6000,6000,0.541759,797.402116
6000,6000,6000,0.539073,801.375371
6000,6000,6000,0.540456,799.325140
6000,6000,6000,0.540424,799.372426
6000,6000,6000,0.543963,794.171324
6000,6000,6000,0.539617,800.567245
7000,7000,7000,0.868180,790.158341
7000,7000,7000,0.866455,791.731714
7000,7000,7000,0.869067,789.351988
7000,7000,7000,0.866200,791.965156
7000,7000,7000,0.868722,789.666084
7000,7000,7000,0.865459,792.642854
7000,7000,7000,0.868719,789.668694
7000,7000,7000,0.866316,791.858751
7000,7000,7000,0.866280,791.891903
7000,7000,7000,0.866582,791.615674
8000,8000,8000,1.283942,797.543870
8000,8000,8000,1.351204,757.842662
8000,8000,8000,1.282136,798.666981
8000,8000,8000,1.280511,799.680538
8000,8000,8000,1.281413,799.117556
8000,8000,8000,1.283554,797.784720
8000,8000,8000,1.281716,798.929035
8000,8000,8000,1.282720,798.303814
8000,8000,8000,1.280263,799.835533
8000,8000,8000,1.281361,799.150093
9000,9000,9000,1.803587,808.388851
9000,9000,9000,1.800557,809.749635
9000,9000,9000,1.804597,807.936621
9000,9000,9000,1.800659,809.703377
9000,9000,9000,1.798764,810.556616
9000,9000,9000,1.803293,808.520808
9000,9000,9000,1.806339,807.157513
9000,9000,9000,1.799236,810.344046
9000,9000,9000,1.800884,809.602372
9000,9000,9000,1.802156,809.031126
10000,10000,10000,2.491372,802.770542
10000,10000,10000,2.485757,804.583959
10000,10000,10000,2.477918,807.129254
10000,10000,10000,2.484886,804.865989
10000,10000,10000,2.482650,805.590952
10000,10000,10000,2.482407,805.669521
10000,10000,10000,2.476806,807.491450
10000,10000,10000,2.546850,785.283905
10000,10000,10000,2.479473,806.622881
10000,10000,10000,2.477362,807.310375
11000,11000,11000,3.322284,801.256063
11000,11000,11000,3.309118,804.443898
11000,11000,11000,3.322271,801.259221
11000,11000,11000,3.363221,791.503147
