m,k,n,time,GFLOPS
2000,2000,2000,0.023235,688.612222
2000,2000,2000,0.027850,574.504221
2000,2000,2000,0.025564,625.883718
2000,2000,2000,0.026356,607.063433
2000,2000,2000,0.026866,595.542181
2000,2000,2000,0.026284,608.724722
2000,2000,2000,0.025351,631.146554
2000,2000,2000,0.024825,644.504753
2000,2000,2000,0.025450,628.684558
2000,2000,2000,0.027537,581.034377
3000,3000,3000,0.055141,979.305089
3000,3000,3000,0.054151,997.209218
3000,3000,3000,0.056517,955.467094
3000,3000,3000,0.053809,1003.540957
3000,3000,3000,0.054313,994.242452
3000,3000,3000,0.053155,1015.894287
3000,3000,3000,0.055374,975.192775
3000,3000,3000,0.050165,1076.453709
3000,3000,3000,0.053697,1005.649103
3000,3000,3000,0.055959,964.985070
4000,4000,4000,0.090895,1408.211550
4000,4000,4000,0.087426,1464.100574
4000,4000,4000,0.104799,1221.380899
4000,4000,4000,0.095055,1346.586791
4000,4000,4000,0.107073,1195.450642
4000,4000,4000,0.090417,1415.662404
4000,4000,4000,0.090527,1413.936335
4000,4000,4000,0.091175,1403.888715
4000,4000,4000,0.086321,1482.839069
4000,4000,4000,0.097319,1315.262625
5000,5000,5000,0.146538,1706.045681
5000,5000,5000,0.137701,1815.530141
5000,5000,5000,0.146812,1702.859608
5000,5000,5000,0.138218,1808.732788
5000,5000,5000,0.134952,1852.509657
5000,5000,5000,0.125679,1989.195533
5000,5000,5000,0.144559,1729.392481
5000,5000,5000,0.143541,1741.663073
5000,5000,5000,0.146434,1707.256590
5000,5000,5000,0.145527,1717.892869
6000,6000,6000,0.198872,2172.249281
6000,6000,6000,0.182678,2364.814956
6000,6000,6000,0.194647,2219.403899
6000,6000,6000,0.192498,2244.175290
6000,6000,6000,0.194242,2224.033597
6000,6000,6000,0.187671,2301.900887
6000,6000,6000,0.193968,2227.167841
6000,6000,6000,0.193539,2232.113217
6000,6000,6000,0.183486,2354.398121
6000,6000,6000,0.185141,2333.354760
7000,7000,7000,0.258751,2651.197678
7000,7000,7000,0.257926,2659.681119
7000,7000,7000,0.267045,2568.853695
7000,7000,7000,0.267587,2563.655587
7000,7000,7000,0.258721,2651.507516
7000,7000,7000,0.266890,2570.349174
7000,7000,7000,0.268655,2553.461823
7000,7000,7000,0.268460,2555.315665
7000,7000,7000,0.268098,2558.763009
7000,7000,7000,0.256798,2671.355958
8000,8000,8000,0.350721,2919.699363
8000,8000,8000,0.341437,2999.084796
8000,8000,8000,0.348860,2935.278337
8000,8000,8000,0.350263,2923.517663
8000,8000,8000,0.347832,2943.951773
8000,8000,8000,0.344608,2971.496394
8000,8000,8000,0.350536,2921.241831
8000,8000,8000,0.341203,3001.150290
8000,8000,8000,0.347700,2945.066596
8000,8000,8000,0.351846,2910.364408
9000,9000,9000,0.448878,3248.101993
9000,9000,9000,0.449289,3245.125770
9000,9000,9000,0.450273,3238.035613
9000,9000,9000,0.455857,3198.372857
9000,9000,9000,0.460611,3165.363761
9000,9000,9000,0.452940,3218.970345
9000,9000,9000,0.454552,3207.556161
9000,9000,9000,0.461100,3162.006208
9000,9000,9000,0.448448,3251.214631
9000,9000,9000,0.461819,3157.078902
10000,10000,10000,0.582030,3436.247881
10000,10000,10000,0.586459,3410.300874
10000,10000,10000,0.580484,3445.400746
10000,10000,10000,0.588011,3401.295694
10000,10000,10000,0.583203,3429.338752
10000,10000,10000,0.586203,3411.789270
10000,10000,10000,0.582774,3431.861870
10000,10000,10000,0.588154,3400.472049
10000,10000,10000,0.598793,3340.055077
10000,10000,10000,0.582386,3434.148079
11000,11000,11000,0.805063,3306.575314
11000,11000,11000,0.778739,3418.344694
11000,11000,11000,0.790082,3369.269653
11000,11000,11000,0.806899,3299.048061
11000,11000,11000,0.798714,3332.857318
11000,11000,11000,0.804966,3306.973282
11000,11000,11000,0.787853,3378.804850
11000,11000,11000,0.797138,3339.444797
11000,11000,11000,0.802858,3315.653456
11000,11000,11000,0.789722,3370.805659
12000,12000,12000,0.924345,3738.862106
