m,k,n,time,GFLOPS
2000,2000,2000,0.014139,1131.624317
2000,2000,2000,0.013190,1213.034848
2000,2000,2000,0.013515,1183.843934
2000,2000,2000,0.013507,1184.560264
2000,2000,2000,0.013348,1198.641131
2000,2000,2000,0.014088,1135.754862
2000,2000,2000,0.013167,1215.114259
2000,2000,2000,0.013235,1208.919316
2000,2000,2000,0.014284,1120.121164
2000,2000,2000,0.014347,1115.253270
3000,3000,3000,0.037902,1424.740009
3000,3000,3000,0.037705,1432.178700
3000,3000,3000,0.038831,1390.651060
3000,3000,3000,0.037875,1425.754244
3000,3000,3000,0.037591,1436.512798
3000,3000,3000,0.039941,1351.995782
3000,3000,3000,0.037800,1428.589343
3000,3000,3000,0.037780,1429.315505
3000,3000,3000,0.037707,1432.077252
3000,3000,3000,0.038074,1418.297887
4000,4000,4000,0.082919,1543.668693
4000,4000,4000,0.083810,1527.261480
4000,4000,4000,0.083011,1541.959656
4000,4000,4000,0.082837,1545.210468
4000,4000,4000,0.086713,1476.129572
4000,4000,4000,0.083193,1538.596036
4000,4000,4000,0.083108,1540.162400
4000,4000,4000,0.082759,1546.652476
4000,4000,4000,0.083488,1533.152886
4000,4000,4000,0.082765,1546.552163
5000,5000,5000,0.164849,1516.541145
5000,5000,5000,0.167001,1496.994164
5000,5000,5000,0.164718,1517.745397
5000,5000,5000,0.163477,1529.268667
5000,5000,5000,0.163594,1528.176347
5000,5000,5000,0.163610,1528.024875
5000,5000,5000,0.165668,1509.044084
5000,5000,5000,0.164638,1518.481684
5000,5000,5000,0.163766,1526.567101
5000,5000,5000,0.164251,1522.061786
6000,6000,6000,0.277860,1554.742024
6000,6000,6000,0.277912,1554.447402
6000,6000,6000,0.279921,1543.290554
6000,6000,6000,0.276920,1560.019688
6000,6000,6000,0.277296,1557.902430
6000,6000,6000,0.276954,1559.824862
6000,6000,6000,0.278536,1550.965552
6000,6000,6000,0.277438,1557.102052
6000,6000,6000,0.277118,1558.903488
6000,6000,6000,0.277959,1554.187246
7000,7000,7000,0.429531,1597.089234
7000,7000,7000,0.429501,1597.200739
7000,7000,7000,0.429244,1598.158832
7000,7000,7000,0.429547,1597.029953
7000,7000,7000,0.429588,1596.877766
7000,7000,7000,0.429590,1596.871157
7000,7000,7000,0.428970,1599.179501
7000,7000,7000,0.429893,1595.747292
7000,7000,7000,0.430997,1591.660006
7000,7000,7000,0.429032,1598.948077
8000,8000,8000,0.634337,1614.282735
8000,8000,8000,0.628815,1628.460096
8000,8000,8000,0.632396,1619.239531
8000,8000,8000,0.635457,1611.437677
8000,8000,8000,0.631739,1620.922772
8000,8000,8000,0.635464,1611.420507
8000,8000,8000,0.632357,1619.338523
8000,8000,8000,0.631370,1621.868859
8000,8000,8000,0.631874,1620.576795
8000,8000,8000,0.633053,1617.557426
9000,9000,9000,0.890966,1636.425701
9000,9000,9000,0.895407,1628.309020
9000,9000,9000,0.888640,1640.709652
9000,9000,9000,0.892669,1633.303579
9000,9000,9000,0.894760,1629.486558
9000,9000,9000,0.891355,1635.711527
9000,9000,9000,0.890013,1638.178131
9000,9000,9000,0.894112,1630.667929
9000,9000,9000,0.891585,1635.289567
9000,9000,9000,0.894982,1629.082370
10000,10000,10000,1.277125,1566.017504
