cores,m,k,n,time,GFLOPS
1,10000,10000,10000,41.653268,48.015440
1,10000,10000,10000,41.631498,48.040549
1,10000,10000,10000,41.443911,48.257994
1,10000,10000,10000,41.747054,47.907572
1,10000,10000,10000,41.601579,48.075099
2,10000,10000,10000,21.502848,93.010935
2,10000,10000,10000,23.014441,86.901959
2,10000,10000,10000,23.380643,85.540845
2,10000,10000,10000,21.556817,92.778074
2,10000,10000,10000,21.523456,92.921882
3,10000,10000,10000,14.426617,138.632643
3,10000,10000,10000,15.223406,131.376648
3,10000,10000,10000,14.359295,139.282605
3,10000,10000,10000,14.661665,136.410158
3,10000,10000,10000,14.245144,140.398720
4,10000,10000,10000,11.201823,178.542360
4,10000,10000,10000,11.457069,174.564713
4,10000,10000,10000,11.222670,178.210710
4,10000,10000,10000,11.164922,179.132468
4,10000,10000,10000,11.208858,178.430315
5,10000,10000,10000,8.667715,230.741313
5,10000,10000,10000,8.691240,230.116767
5,10000,10000,10000,8.615515,232.139346
5,10000,10000,10000,8.801332,227.238343
5,10000,10000,10000,8.615878,232.129571
6,10000,10000,10000,7.718311,259.124051
6,10000,10000,10000,7.618712,262.511575
6,10000,10000,10000,7.443466,268.692019
6,10000,10000,10000,7.460712,268.070921
6,10000,10000,10000,7.514344,266.157638
7,10000,10000,10000,6.391818,312.900044
7,10000,10000,10000,6.213052,321.902992
7,10000,10000,10000,6.223517,321.361725
7,10000,10000,10000,6.218589,321.616344
7,10000,10000,10000,6.226541,321.205642
8,10000,10000,10000,5.453401,366.743630
8,10000,10000,10000,5.430075,368.319048
8,10000,10000,10000,5.513055,362.775279
8,10000,10000,10000,5.421174,368.923746
8,10000,10000,10000,5.424268,368.713369
9,10000,10000,10000,4.885853,409.345079
9,10000,10000,10000,4.965438,402.784178
9,10000,10000,10000,4.881500,409.710091
9,10000,10000,10000,4.896456,408.458716
9,10000,10000,10000,4.883148,409.571850
10,10000,10000,10000,4.578598,436.814939
10,10000,10000,10000,4.644093,430.654640
10,10000,10000,10000,4.641815,430.865990
10,10000,10000,10000,4.568927,437.739564
10,10000,10000,10000,4.572379,437.409066
11,10000,10000,10000,4.106863,486.989733
11,10000,10000,10000,4.142675,482.779808
11,10000,10000,10000,4.123961,484.970642
11,10000,10000,10000,4.108285,486.821134
11,10000,10000,10000,4.084404,489.667515
12,10000,10000,10000,3.780911,528.973068
12,10000,10000,10000,3.696399,541.067162
12,10000,10000,10000,3.708942,539.237386
12,10000,10000,10000,3.722068,537.335766
12,10000,10000,10000,3.726116,536.751979
13,10000,10000,10000,3.731136,536.029820
13,10000,10000,10000,3.695996,541.126085
13,10000,10000,10000,3.708159,539.351240
13,10000,10000,10000,3.711264,538.899916
13,10000,10000,10000,3.730412,536.133785
14,10000,10000,10000,3.276865,610.339436
14,10000,10000,10000,3.271350,611.368475
14,10000,10000,10000,3.278753,609.987983
14,10000,10000,10000,3.264145,612.717873
14,10000,10000,10000,3.284547,608.911904
15,10000,10000,10000,2.957093,676.339997
15,10000,10000,10000,3.164956,631.920283
15,10000,10000,10000,2.971542,673.051272
15,10000,10000,10000,3.001981,666.226654
15,10000,10000,10000,3.063038,652.946444
16,10000,10000,10000,2.769249,722.217432
16,10000,10000,10000,2.759320,724.816340
16,10000,10000,10000,2.756353,725.596470
16,10000,10000,10000,2.824483,708.094126
16,10000,10000,10000,2.773270,721.170247
17,10000,10000,10000,2.779115,719.653632
17,10000,10000,10000,2.757076,725.406185
17,10000,10000,10000,2.766464,722.944414
17,10000,10000,10000,2.772689,721.321390
17,10000,10000,10000,2.763363,723.755738
18,10000,10000,10000,2.493079,802.220835
18,10000,10000,10000,2.482922,805.502654
18,10000,10000,10000,2.586641,773.203508
18,10000,10000,10000,2.489225,803.462834
18,10000,10000,10000,2.478359,806.985432
19,10000,10000,10000,2.484745,804.911429
19,10000,10000,10000,2.486200,804.440497
19,10000,10000,10000,2.469279,809.952982
19,10000,10000,10000,2.550559,784.141846
19,10000,10000,10000,2.490839,802.942252
20,10000,10000,10000,2.236163,894.389248
20,10000,10000,10000,2.236667,894.187840
20,10000,10000,10000,2.235543,894.637110
20,10000,10000,10000,2.300106,869.525251
20,10000,10000,10000,2.231799,896.138047
21,10000,10000,10000,2.167645,922.660403
21,10000,10000,10000,2.168254,922.401327
21,10000,10000,10000,2.168996,922.085744
21,10000,10000,10000,2.247485,889.883595
21,10000,10000,10000,2.175150,919.476746
22,10000,10000,10000,2.124638,941.336807
22,10000,10000,10000,2.087422,958.119829
22,10000,10000,10000,2.088599,957.579741
22,10000,10000,10000,2.128459,939.647101
22,10000,10000,10000,2.097778,953.389641
23,10000,10000,10000,2.081200,960.984111
23,10000,10000,10000,2.100204,952.288393
23,10000,10000,10000,2.138088,935.415295
23,10000,10000,10000,2.090542,956.689741
23,10000,10000,10000,2.099553,952.583741
24,10000,10000,10000,1.850974,1080.512358
24,10000,10000,10000,1.847515,1082.535221
24,10000,10000,10000,1.835733,1089.482857
24,10000,10000,10000,1.858215,1076.301709
24,10000,10000,10000,1.836255,1089.173568
25,10000,10000,10000,1.806933,1106.847642
25,10000,10000,10000,1.782716,1121.883977
25,10000,10000,10000,1.790230,1117.174812
25,10000,10000,10000,1.784326,1120.871269
