cores,m,k,n,time,GFLOPS
1,10000,10000,10000,20.608902,97.045441
1,10000,10000,10000,20.581080,97.176632
1,10000,10000,10000,20.692604,96.652889
1,10000,10000,10000,20.576681,97.197404
1,10000,10000,10000,20.575444,97.203247
2,10000,10000,10000,10.539473,189.762816
2,10000,10000,10000,10.508712,190.318274
2,10000,10000,10000,10.522763,190.064154
2,10000,10000,10000,10.568935,189.233818
2,10000,10000,10000,10.504408,190.396255
3,10000,10000,10000,7.024717,284.708994
3,10000,10000,10000,7.033141,284.367958
3,10000,10000,10000,6.977961,286.616679
3,10000,10000,10000,7.020385,284.884657
3,10000,10000,10000,7.060958,283.247665
4,10000,10000,10000,5.469631,365.655394
4,10000,10000,10000,5.379974,371.749026
4,10000,10000,10000,5.451715,366.857041
4,10000,10000,10000,5.436992,367.850462
4,10000,10000,10000,5.464145,366.022521
5,10000,10000,10000,4.352336,459.523356
5,10000,10000,10000,4.297160,465.423654
5,10000,10000,10000,4.293285,465.843738
5,10000,10000,10000,4.311721,463.851877
5,10000,10000,10000,4.347271,460.058686
6,10000,10000,10000,3.661930,546.160040
6,10000,10000,10000,3.646985,548.398181
6,10000,10000,10000,3.756811,532.366430
6,10000,10000,10000,3.662384,546.092423
6,10000,10000,10000,3.647781,548.278594
7,10000,10000,10000,3.119155,641.199308
7,10000,10000,10000,3.126175,639.759540
7,10000,10000,10000,3.122717,640.467983
7,10000,10000,10000,3.116631,641.718560
7,10000,10000,10000,3.127378,639.513257
8,10000,10000,10000,2.720785,735.082066
8,10000,10000,10000,2.721335,734.933449
8,10000,10000,10000,2.714141,736.881500
8,10000,10000,10000,2.713260,737.120691
8,10000,10000,10000,2.705687,739.183678
9,10000,10000,10000,2.439035,819.996283
9,10000,10000,10000,2.442347,818.884410
9,10000,10000,10000,2.437189,820.617400
9,10000,10000,10000,2.445707,817.759489
9,10000,10000,10000,2.446115,817.623001
10,10000,10000,10000,2.200589,908.847776
10,10000,10000,10000,2.293702,871.952969
10,10000,10000,10000,2.304244,867.963516
10,10000,10000,10000,2.201167,908.608992
10,10000,10000,10000,2.331773,857.716457
11,10000,10000,10000,1.997137,1001.433670
11,10000,10000,10000,2.000884,999.558056
11,10000,10000,10000,2.007040,996.492397
11,10000,10000,10000,2.036005,982.315875
11,10000,10000,10000,1.996778,1001.613766
12,10000,10000,10000,1.887256,1059.739490
12,10000,10000,10000,1.817313,1100.525599
12,10000,10000,10000,1.800073,1111.066217
12,10000,10000,10000,1.880763,1063.398148
12,10000,10000,10000,1.802356,1109.658614
13,10000,10000,10000,1.802267,1109.713774
13,10000,10000,10000,1.874618,1066.884278
13,10000,10000,10000,1.805818,1107.531165
13,10000,10000,10000,1.799273,1111.559823
13,10000,10000,10000,1.804873,1108.111188
14,10000,10000,10000,1.573534,1271.024246
14,10000,10000,10000,1.580205,1265.658811
14,10000,10000,10000,1.619531,1234.925614
14,10000,10000,10000,1.610410,1241.919599
14,10000,10000,10000,1.584060,1262.578322
