m,k,n,time,GFLOPS
2000,2000,2000,0.030153,530.620501
2000,2000,2000,0.031156,513.541858
2000,2000,2000,0.032200,496.896293
2000,2000,2000,0.027696,577.698832
2000,2000,2000,0.028522,560.977678
2000,2000,2000,0.032356,494.493536
2000,2000,2000,0.029506,542.263399
2000,2000,2000,0.030298,528.094007
2000,2000,2000,0.027694,577.741303
2000,2000,2000,0.028770,556.131596
3000,3000,3000,0.059888,901.688396
3000,3000,3000,0.060088,898.683803
3000,3000,3000,0.059383,909.355204
3000,3000,3000,0.061478,878.365063
3000,3000,3000,0.061333,880.443688
3000,3000,3000,0.060176,897.367438
3000,3000,3000,0.058098,929.466201
3000,3000,3000,0.058390,924.816400
3000,3000,3000,0.062823,859.554221
3000,3000,3000,0.059345,909.927522
4000,4000,4000,0.099705,1283.787855
4000,4000,4000,0.103171,1240.664400
4000,4000,4000,0.092120,1389.493973
4000,4000,4000,0.098379,1301.092862
4000,4000,4000,0.095966,1333.802526
4000,4000,4000,0.099725,1283.533285
4000,4000,4000,0.098704,1296.805260
4000,4000,4000,0.097900,1307.459553
4000,4000,4000,0.097129,1317.834393
4000,4000,4000,0.099230,1289.933559
5000,5000,5000,0.142576,1753.448282
5000,5000,5000,0.154190,1621.371692
5000,5000,5000,0.154191,1621.370966
5000,5000,5000,0.151861,1646.238363
5000,5000,5000,0.160218,1560.374701
5000,5000,5000,0.154517,1617.946009
5000,5000,5000,0.159619,1566.233853
5000,5000,5000,0.154481,1618.317008
5000,5000,5000,0.153919,1624.225935
5000,5000,5000,0.154279,1620.445259
6000,6000,6000,0.237378,1819.881247
6000,6000,6000,0.219962,1963.978748
6000,6000,6000,0.239837,1801.226583
6000,6000,6000,0.234436,1842.719112
6000,6000,6000,0.235396,1835.206915
6000,6000,6000,0.237262,1820.773424
6000,6000,6000,0.234925,1838.883670
6000,6000,6000,0.231754,1864.048279
6000,6000,6000,0.237416,1819.588331
6000,6000,6000,0.220486,1959.306457
7000,7000,7000,0.372040,1843.885415
7000,7000,7000,0.359428,1908.589545
7000,7000,7000,0.370695,1850.579177
7000,7000,7000,0.363693,1886.206265
7000,7000,7000,0.366558,1871.464184
7000,7000,7000,0.352944,1943.652274
7000,7000,7000,0.360100,1905.025800
7000,7000,7000,0.368015,1864.052661
7000,7000,7000,0.372056,1843.806016
7000,7000,7000,0.359178,1909.916138
8000,8000,8000,0.562656,1819.940753
8000,8000,8000,0.550617,1859.731421
8000,8000,8000,0.544740,1879.795186
8000,8000,8000,0.549435,1863.734036
8000,8000,8000,0.560976,1825.389485
8000,8000,8000,0.547758,1869.439127
8000,8000,8000,0.557402,1837.093696
8000,8000,8000,0.550001,1861.814939
8000,8000,8000,0.566441,1807.779600
8000,8000,8000,0.558217,1834.411510
9000,9000,9000,0.748757,1947.225920
9000,9000,9000,0.751628,1939.788497
9000,9000,9000,0.740486,1968.978269
9000,9000,9000,0.752167,1938.399079
9000,9000,9000,0.761455,1914.755560
9000,9000,9000,0.743865,1960.033010
