m,n,k,time,GFLOPS
2000,2000,2000,0.022650,706.415052
2000,2000,2000,0.022446,712.806228
2000,2000,2000,0.023341,685.498481
2000,2000,2000,0.022783,702.275425
2000,2000,2000,0.022675,705.637559
2000,2000,2000,0.022079,724.672996
2000,2000,2000,0.023901,669.421616
2000,2000,2000,0.021822,733.190441
2000,2000,2000,0.023952,668.013995
2000,2000,2000,0.021804,733.801223
3000,3000,3000,0.035413,1524.852254
3000,3000,3000,0.033762,1599.416485
3000,3000,3000,0.034651,1558.388533
3000,3000,3000,0.035453,1523.133736
3000,3000,3000,0.034716,1555.459386
3000,3000,3000,0.036410,1483.092783
3000,3000,3000,0.034448,1567.569655
3000,3000,3000,0.034327,1573.100128
3000,3000,3000,0.034186,1579.616304
3000,3000,3000,0.034461,1566.991862
4000,4000,4000,0.052924,2418.582575
4000,4000,4000,0.067101,1907.571201
4000,4000,4000,0.054628,2343.103844
4000,4000,4000,0.053859,2376.573491
4000,4000,4000,0.055365,2311.927539
4000,4000,4000,0.055059,2324.792807
4000,4000,4000,0.053723,2382.601588
4000,4000,4000,0.061764,2072.420709
4000,4000,4000,0.056765,2254.917389
4000,4000,4000,0.054906,2331.240286
5000,5000,5000,0.095254,2624.574566
5000,5000,5000,0.092649,2698.341949
5000,5000,5000,0.083490,2994.352830
5000,5000,5000,0.079952,3126.873818
5000,5000,5000,0.094524,2644.823276
5000,5000,5000,0.095119,2628.298637
5000,5000,5000,0.091753,2724.697403
5000,5000,5000,0.087827,2846.491125
5000,5000,5000,0.092146,2713.084401
5000,5000,5000,0.090334,2767.494169
6000,6000,6000,0.131625,3282.050010
6000,6000,6000,0.116665,3702.925499
6000,6000,6000,0.116711,3701.439079
6000,6000,6000,0.131336,3289.262595
6000,6000,6000,0.118167,3655.834618
6000,6000,6000,0.125068,3454.133497
6000,6000,6000,0.117168,3687.017043
6000,6000,6000,0.116989,3692.651866
6000,6000,6000,0.127388,3391.218902
6000,6000,6000,0.130107,3320.350302
7000,7000,7000,0.164249,4176.587839
7000,7000,7000,0.180368,3803.344639
7000,7000,7000,0.167480,4096.001486
7000,7000,7000,0.182346,3762.070185
7000,7000,7000,0.170606,4020.968471
7000,7000,7000,0.167927,4085.096612
7000,7000,7000,0.177575,3863.162526
7000,7000,7000,0.185433,3699.449257
7000,7000,7000,0.166409,4122.381909
7000,7000,7000,0.176477,3887.199588
8000,8000,8000,0.233158,4391.868310
8000,8000,8000,0.250508,4087.695683
8000,8000,8000,0.232340,4407.334136
8000,8000,8000,0.230672,4439.194750
8000,8000,8000,0.242813,4217.232392
8000,8000,8000,0.244377,4190.243881
8000,8000,8000,0.248891,4114.259049
8000,8000,8000,0.230674,4439.158128
8000,8000,8000,0.237898,4304.370821
8000,8000,8000,0.243641,4202.897090
9000,9000,9000,0.333104,4377.007875
9000,9000,9000,0.340087,4287.140510
9000,9000,9000,0.338419,4308.272130
9000,9000,9000,0.329967,4418.624136
9000,9000,9000,0.337220,4323.581886
9000,9000,9000,0.332232,4388.501042
9000,9000,9000,0.343622,4243.029719
9000,9000,9000,0.349136,4176.028300
9000,9000,9000,0.331668,4395.968828
9000,9000,9000,0.344810,4228.417035
10000,10000,10000,0.460412,4343.931063
10000,10000,10000,0.461474,4333.943317
10000,10000,10000,0.455924,4386.699348
10000,10000,10000,0.457513,4371.457196
10000,10000,10000,0.449286,4451.507483
10000,10000,10000,0.460436,4343.704931
10000,10000,10000,0.464274,4307.798213
10000,10000,10000,0.460696,4341.258056
10000,10000,10000,0.451412,4430.542338
10000,10000,10000,0.475420,4206.806719
11000,11000,11000,0.613100,4341.869855
11000,11000,11000,0.598273,4449.470448
11000,11000,11000,0.636127,4184.700961
11000,11000,11000,0.621342,4284.275687
11000,11000,11000,0.609764,4365.625269
11000,11000,11000,0.606043,4392.425143
11000,11000,11000,0.625113,4258.431970
11000,11000,11000,0.614756,4330.176026
11000,11000,11000,0.618577,4303.428845
11000,11000,11000,0.618953,4300.812855
12000,12000,12000,0.746017,4632.599989
12000,12000,12000,0.760118,4546.661912
12000,12000,12000,0.773275,4469.301150
12000,12000,12000,0.783602,4410.404184
12000,12000,12000,0.760684,4543.279302
12000,12000,12000,0.779603,4433.023992
12000,12000,12000,0.764726,4519.267556
12000,12000,12000,0.774179,4464.086211
12000,12000,12000,0.751697,4597.598601
12000,12000,12000,0.755233,4576.072728
13000,13000,13000,0.946328,4643.212689
13000,13000,13000,1.011042,4346.010363
13000,13000,13000,0.948094,4634.563942
13000,13000,13000,0.962848,4563.546670
13000,13000,13000,0.935058,4699.176068
13000,13000,13000,0.933240,4708.327855
13000,13000,13000,0.948839,4630.921647
13000,13000,13000,0.965321,4551.855363
13000,13000,13000,0.927793,4735.969486
13000,13000,13000,0.951117,4619.830816
14000,14000,14000,1.164174,4714.069931
14000,14000,14000,1.143412,4799.670579
14000,14000,14000,1.142016,4805.536130
14000,14000,14000,1.184957,4631.392520
14000,14000,14000,1.148548,4778.206835
14000,14000,14000,1.164137,4714.222383
14000,14000,14000,1.155716,4748.572204
14000,14000,14000,1.153492,4757.726101
14000,14000,14000,1.161757,4723.879955
14000,14000,14000,1.148582,4778.067526
15000,15000,15000,1.382650,4881.927944
15000,15000,15000,1.389167,4859.027518
15000,15000,15000,1.391330,4851.472517
15000,15000,15000,1.390733,4853.557241
15000,15000,15000,1.403597,4809.071055
15000,15000,15000,1.433931,4707.340276
15000,15000,15000,1.392483,4847.457455
15000,15000,15000,1.413414,4775.671471
15000,15000,15000,1.418254,4759.372601
15000,15000,15000,1.389480,4857.933404
16000,16000,16000,1.665894,4917.478970
16000,16000,16000,1.661883,4929.348785
16000,16000,16000,1.676812,4885.460836
16000,16000,16000,1.689822,4847.846833
16000,16000,16000,1.664147,4922.643186
16000,16000,16000,1.692790,4839.349239
16000,16000,16000,1.673841,4894.133936
16000,16000,16000,1.665440,4918.820636
16000,16000,16000,1.678436,4880.734899
16000,16000,16000,1.665342,4919.108899
17000,17000,17000,2.190837,4485.043332
17000,17000,17000,2.222488,4421.171059
17000,17000,17000,2.210456,4445.236279
17000,17000,17000,2.227338,4411.544679
17000,17000,17000,2.240227,4386.162147
17000,17000,17000,2.181114,4505.037429
17000,17000,17000,2.266196,4335.899420
17000,17000,17000,2.184020,4499.042293
17000,17000,17000,2.199685,4467.002907
17000,17000,17000,2.163717,4541.258887
18000,18000,18000,2.342482,4979.333767
18000,18000,18000,2.379777,4901.300321
18000,18000,18000,2.343200,4977.808113
18000,18000,18000,2.472572,4717.354221
18000,18000,18000,2.665757,4375.492398
18000,18000,18000,2.367786,4926.120316
18000,18000,18000,2.470049,4722.173388
18000,18000,18000,2.342706,4978.858817
18000,18000,18000,2.376824,4907.389879
18000,18000,18000,2.668035,4371.757211
19000,19000,19000,2.711971,5058.313626
19000,19000,19000,2.794239,4909.386428
19000,19000,19000,2.735905,5014.062642
19000,19000,19000,2.750033,4988.304136
19000,19000,19000,2.710157,5061.699120
19000,19000,19000,2.697005,5086.383131
19000,19000,19000,2.738965,5008.460905
19000,19000,19000,2.707622,5066.438191
19000,19000,19000,2.724505,5035.043126
19000,19000,19000,2.699038,5082.551162
20000,20000,20000,3.217801,4972.339991
20000,20000,20000,3.186830,5020.662463
20000,20000,20000,3.180903,5030.018515
20000,20000,20000,3.178190,5034.311650
20000,20000,20000,3.200123,4999.807609
20000,20000,20000,3.181703,5028.753869
20000,20000,20000,3.215894,4975.288007
20000,20000,20000,3.181500,5029.074515
20000,20000,20000,3.187574,5019.491479
20000,20000,20000,3.170660,5046.268246
