cores,m,k,n,time,GFLOPS
1,10000,10000,10000,42.468641,47.093571
1,10000,10000,10000,42.330348,47.247426
1,10000,10000,10000,42.469032,47.093139
1,10000,10000,10000,42.230900,47.358688
1,10000,10000,10000,42.496626,47.062559
2,10000,10000,10000,22.329654,89.566995
2,10000,10000,10000,22.376223,89.380590
2,10000,10000,10000,22.360207,89.444609
2,10000,10000,10000,22.349727,89.486553
2,10000,10000,10000,22.214383,90.031759
3,10000,10000,10000,15.027001,133.093760
3,10000,10000,10000,14.933301,133.928862
3,10000,10000,10000,14.994497,133.382263
3,10000,10000,10000,15.033574,133.035568
3,10000,10000,10000,15.005182,133.287286
4,10000,10000,10000,11.128473,179.719177
4,10000,10000,10000,11.114201,179.949956
4,10000,10000,10000,11.112720,179.973947
4,10000,10000,10000,11.138941,179.550277
4,10000,10000,10000,11.132140,179.659974
5,10000,10000,10000,8.881490,225.187449
5,10000,10000,10000,8.934604,223.848754
5,10000,10000,10000,8.997655,222.280142
5,10000,10000,10000,8.873884,225.380452
5,10000,10000,10000,8.862012,225.682374
6,10000,10000,10000,7.535465,265.411632
6,10000,10000,10000,7.498200,266.730667
6,10000,10000,10000,7.487534,267.110650
6,10000,10000,10000,7.528501,265.657132
6,10000,10000,10000,7.478168,267.445198
7,10000,10000,10000,6.446142,310.263093
7,10000,10000,10000,6.423607,311.351528
7,10000,10000,10000,6.418730,311.588113
7,10000,10000,10000,6.431151,310.986319
7,10000,10000,10000,6.435319,310.784928
8,10000,10000,10000,5.569253,359.114586
8,10000,10000,10000,5.548302,360.470614
8,10000,10000,10000,5.615220,356.174798
8,10000,10000,10000,5.567706,359.214376
8,10000,10000,10000,5.580735,358.375722
9,10000,10000,10000,4.852228,412.181764
9,10000,10000,10000,4.988905,400.889601
9,10000,10000,10000,4.984851,401.215579
9,10000,10000,10000,4.998612,400.111040
9,10000,10000,10000,5.049191,396.103057
10,10000,10000,10000,4.497207,444.720506
10,10000,10000,10000,4.502784,444.169671
10,10000,10000,10000,4.502602,444.187649
10,10000,10000,10000,4.510470,443.412814
10,10000,10000,10000,4.489932,445.441003
11,10000,10000,10000,4.199371,476.261805
11,10000,10000,10000,4.185272,477.866214
11,10000,10000,10000,4.201975,475.966670
11,10000,10000,10000,4.181580,478.288109
11,10000,10000,10000,4.183721,478.043296
12,10000,10000,10000,3.770491,530.434837
12,10000,10000,10000,3.774031,529.937402
12,10000,10000,10000,3.768055,530.777866
12,10000,10000,10000,3.640602,549.359739
12,10000,10000,10000,3.765663,531.114971
13,10000,10000,10000,3.480035,574.706823
13,10000,10000,10000,3.490351,573.008329
13,10000,10000,10000,3.487377,573.496884
13,10000,10000,10000,3.476817,575.238707
13,10000,10000,10000,3.499568,571.499048
14,10000,10000,10000,3.371623,593.186082
14,10000,10000,10000,3.375607,592.486117
14,10000,10000,10000,3.366877,594.022356
14,10000,10000,10000,3.360325,595.180603
14,10000,10000,10000,3.349917,597.029742
15,10000,10000,10000,3.173329,630.252886
15,10000,10000,10000,3.163561,632.198940
15,10000,10000,10000,3.143186,636.296957
15,10000,10000,10000,3.166317,631.648639
15,10000,10000,10000,3.165768,631.758204
16,10000,10000,10000,2.877243,695.109965
16,10000,10000,10000,2.879488,694.567923
16,10000,10000,10000,2.886820,692.803756
16,10000,10000,10000,2.872956,696.147028
16,10000,10000,10000,2.868192,697.303419
17,10000,10000,10000,2.860759,699.115065
17,10000,10000,10000,2.813479,710.863685
17,10000,10000,10000,2.843289,703.410831
17,10000,10000,10000,2.839561,704.334136
17,10000,10000,10000,2.811888,711.265889
18,10000,10000,10000,2.671980,748.508606
18,10000,10000,10000,2.671438,748.660534
18,10000,10000,10000,2.651743,754.220830
18,10000,10000,10000,2.672766,748.288428
18,10000,10000,10000,2.669177,749.294511
19,10000,10000,10000,2.617820,763.994449
19,10000,10000,10000,2.621851,762.819724
19,10000,10000,10000,2.617604,764.057625
19,10000,10000,10000,2.569433,778.381948
19,10000,10000,10000,2.585231,773.625133
20,10000,10000,10000,2.384088,838.895077
20,10000,10000,10000,2.353875,849.662775
20,10000,10000,10000,2.354113,849.577029
20,10000,10000,10000,2.374562,842.260490
20,10000,10000,10000,2.367299,844.844684
21,10000,10000,10000,2.395912,834.755255
21,10000,10000,10000,2.406672,831.022963
21,10000,10000,10000,2.433224,821.954881
21,10000,10000,10000,2.398353,833.905669
21,10000,10000,10000,2.405069,831.577127
22,10000,10000,10000,2.304387,867.909779
22,10000,10000,10000,2.321298,861.586913
22,10000,10000,10000,2.278333,877.834786
22,10000,10000,10000,2.292587,872.376895
22,10000,10000,10000,2.377255,841.306588
23,10000,10000,10000,2.196308,910.618961
23,10000,10000,10000,2.186734,914.606071
23,10000,10000,10000,2.192178,912.334859
23,10000,10000,10000,2.217204,902.036986
23,10000,10000,10000,2.192997,911.993813
24,10000,10000,10000,2.121341,942.800066
24,10000,10000,10000,2.109043,948.297273
24,10000,10000,10000,2.116376,945.011586
24,10000,10000,10000,2.097110,953.693402
24,10000,10000,10000,2.092555,955.769246
25,10000,10000,10000,2.011016,994.522368
25,10000,10000,10000,2.015756,992.183659
25,10000,10000,10000,2.004450,997.779900
25,10000,10000,10000,1.974245,1013.045747
25,10000,10000,10000,2.000642,999.679143
26,10000,10000,10000,1.999484,1000.258107
26,10000,10000,10000,1.983500,1008.318734
26,10000,10000,10000,1.968618,1015.941346
26,10000,10000,10000,1.966281,1017.148661
26,10000,10000,10000,1.984569,1007.775262
27,10000,10000,10000,1.982968,1008.589197
27,10000,10000,10000,1.996738,1001.633471
27,10000,10000,10000,1.979885,1010.159844
27,10000,10000,10000,1.975764,1012.266441
27,10000,10000,10000,1.978042,1011.100771
28,10000,10000,10000,1.935493,1033.328378
28,10000,10000,10000,1.920880,1041.189464
28,10000,10000,10000,1.970351,1015.047518
28,10000,10000,10000,1.942469,1029.617385
28,10000,10000,10000,1.950930,1025.151990
29,10000,10000,10000,1.875340,1066.473374
29,10000,10000,10000,1.865762,1071.948160
29,10000,10000,10000,1.862591,1073.773108
29,10000,10000,10000,1.867725,1070.821672
29,10000,10000,10000,1.878395,1064.738674
30,10000,10000,10000,1.917273,1043.148272
30,10000,10000,10000,1.912002,1046.024237
30,10000,10000,10000,1.905204,1049.756312
30,10000,10000,10000,1.904317,1050.245480
30,10000,10000,10000,1.866741,1071.385649
31,10000,10000,10000,1.847193,1082.723797
31,10000,10000,10000,1.832932,1091.147829
31,10000,10000,10000,1.821156,1098.203273
31,10000,10000,10000,1.815246,1101.779030
31,10000,10000,10000,1.820912,1098.350453
32,10000,10000,10000,1.779093,1124.168363
32,10000,10000,10000,1.806812,1106.922144
32,10000,10000,10000,1.739781,1149.570224
32,10000,10000,10000,1.846789,1082.960882
32,10000,10000,10000,1.807925,1106.240306
33,10000,10000,10000,1.708681,1170.493534
33,10000,10000,10000,1.745656,1145.701254
33,10000,10000,10000,1.742545,1147.746398
33,10000,10000,10000,1.764395,1133.533099
