cores,m,k,n,time,GFLOPS
1,10000,10000,10000,28.902454,69.198275
1,10000,10000,10000,29.068220,68.803662
1,10000,10000,10000,29.047701,68.852265
1,10000,10000,10000,28.903542,69.195671
1,10000,10000,10000,28.902497,69.198174
1,10000,10000,10000,28.905153,69.191815
1,10000,10000,10000,28.904858,69.192520
1,10000,10000,10000,28.904111,69.194310
1,10000,10000,10000,28.904385,69.193654
1,10000,10000,10000,28.908834,69.183005
2,10000,10000,10000,16.980081,117.785069
2,10000,10000,10000,16.196861,123.480717
2,10000,10000,10000,16.032921,124.743330
2,10000,10000,10000,16.109799,124.148045
2,10000,10000,10000,15.947508,125.411441
2,10000,10000,10000,16.360184,122.248013
2,10000,10000,10000,16.467977,121.447829
2,10000,10000,10000,15.909708,125.709409
2,10000,10000,10000,16.552822,120.825322
2,10000,10000,10000,16.051619,124.598027
3,10000,10000,10000,10.789810,185.360069
3,10000,10000,10000,10.590993,188.839713
3,10000,10000,10000,10.497092,190.528953
3,10000,10000,10000,10.315285,193.887032
3,10000,10000,10000,10.321577,193.768833
3,10000,10000,10000,10.315307,193.886627
3,10000,10000,10000,10.370601,192.852859
3,10000,10000,10000,10.496016,190.548494
3,10000,10000,10000,10.445337,191.472999
3,10000,10000,10000,10.918874,183.169065
4,10000,10000,10000,7.906558,252.954561
4,10000,10000,10000,7.863251,254.347716
4,10000,10000,10000,7.835784,255.239289
4,10000,10000,10000,7.924289,252.388583
4,10000,10000,10000,7.928458,252.255854
4,10000,10000,10000,7.929338,252.227866
4,10000,10000,10000,8.022827,249.288687
4,10000,10000,10000,7.846828,254.880046
4,10000,10000,10000,7.925200,252.359568
4,10000,10000,10000,7.834201,255.290857
5,10000,10000,10000,6.352356,314.843817
5,10000,10000,10000,6.325919,316.159573
5,10000,10000,10000,6.209965,322.063010
5,10000,10000,10000,6.165512,324.385069
5,10000,10000,10000,6.205749,322.281798
5,10000,10000,10000,6.225618,321.253257
5,10000,10000,10000,6.214950,321.804686
5,10000,10000,10000,6.173651,323.957403
5,10000,10000,10000,6.174786,323.897881
5,10000,10000,10000,6.188876,323.160463
6,10000,10000,10000,5.205372,384.218465
6,10000,10000,10000,5.247064,381.165546
6,10000,10000,10000,5.206207,384.156808
6,10000,10000,10000,5.046536,396.311460
6,10000,10000,10000,5.079548,393.735850
6,10000,10000,10000,5.252008,380.806730
6,10000,10000,10000,5.158660,387.697562
6,10000,10000,10000,4.985923,401.129337
6,10000,10000,10000,5.182502,385.913991
6,10000,10000,10000,4.992966,400.563541
7,10000,10000,10000,4.311104,463.918294
7,10000,10000,10000,4.310960,463.933776
7,10000,10000,10000,4.408440,453.675206
7,10000,10000,10000,4.322376,462.708466
7,10000,10000,10000,4.299215,465.201159
7,10000,10000,10000,4.319471,463.019680
7,10000,10000,10000,4.294897,465.668855
7,10000,10000,10000,4.328747,462.027434
7,10000,10000,10000,4.367419,457.936355
7,10000,10000,10000,4.305008,464.575191
8,10000,10000,10000,3.789521,527.771207
8,10000,10000,10000,3.806703,525.388993
8,10000,10000,10000,3.764430,531.288933
8,10000,10000,10000,3.795341,526.961854
8,10000,10000,10000,3.779178,529.215595
8,10000,10000,10000,3.879750,515.497107
8,10000,10000,10000,3.827052,522.595438
8,10000,10000,10000,3.761844,531.654107
8,10000,10000,10000,3.780552,529.023286
8,10000,10000,10000,3.783398,528.625312
9,10000,10000,10000,3.372208,593.083164
9,10000,10000,10000,3.363721,594.579697
9,10000,10000,10000,3.358228,595.552240
9,10000,10000,10000,3.396916,588.769416
9,10000,10000,10000,3.402415,587.817826
9,10000,10000,10000,3.390067,589.958755
9,10000,10000,10000,3.363597,594.601470
9,10000,10000,10000,3.380024,591.711725
9,10000,10000,10000,3.362508,594.794140
9,10000,10000,10000,3.387865,590.342296
10,10000,10000,10000,3.058828,653.845152
10,10000,10000,10000,3.049204,655.908799
10,10000,10000,10000,3.066035,652.308184
10,10000,10000,10000,3.047129,656.355574
10,10000,10000,10000,3.074930,650.421396
10,10000,10000,10000,3.075048,650.396354
10,10000,10000,10000,3.064390,652.658508
10,10000,10000,10000,3.046123,656.572336
10,10000,10000,10000,3.034843,659.012656
10,10000,10000,10000,3.044059,657.017389
11,10000,10000,10000,2.746347,728.240102
11,10000,10000,10000,2.743173,729.082585
11,10000,10000,10000,2.739516,730.056036
11,10000,10000,10000,2.751549,726.863289
11,10000,10000,10000,2.760156,724.596707
11,10000,10000,10000,2.750994,727.009954
11,10000,10000,10000,2.756736,725.495715
11,10000,10000,10000,2.745196,728.545517
11,10000,10000,10000,2.751125,726.975263
11,10000,10000,10000,2.738311,730.377309
12,10000,10000,10000,2.576270,776.316243
12,10000,10000,10000,2.557593,781.985311
12,10000,10000,10000,2.572550,777.438781
12,10000,10000,10000,2.545762,785.619494
12,10000,10000,10000,2.590943,771.919770
12,10000,10000,10000,2.561753,780.715337
12,10000,10000,10000,2.565288,779.639409
12,10000,10000,10000,2.577556,775.928692
12,10000,10000,10000,2.597291,770.033017
12,10000,10000,10000,2.545129,785.814840
