cores,m,k,n,time,GFLOPS
1,10000,10000,10000,20.774238,96.273087
1,10000,10000,10000,20.923798,95.584943
1,10000,10000,10000,20.833069,96.001218
1,10000,10000,10000,20.762172,96.329033
1,10000,10000,10000,20.788959,96.204914
2,10000,10000,10000,10.800723,185.172787
2,10000,10000,10000,10.808046,185.047321
2,10000,10000,10000,10.911066,183.300140
2,10000,10000,10000,10.915954,183.218060
2,10000,10000,10000,10.857692,184.201202
3,10000,10000,10000,7.211713,277.326635
3,10000,10000,10000,7.265650,275.267871
3,10000,10000,10000,7.254945,275.674040
3,10000,10000,10000,7.252124,275.781260
3,10000,10000,10000,7.264378,275.316058
4,10000,10000,10000,5.422227,368.852155
4,10000,10000,10000,5.407810,369.835461
4,10000,10000,10000,5.375549,372.055031
4,10000,10000,10000,5.402779,370.179841
4,10000,10000,10000,5.397833,370.519034
5,10000,10000,10000,4.348997,459.876138
5,10000,10000,10000,4.344779,460.322649
5,10000,10000,10000,4.514223,443.044163
5,10000,10000,10000,4.331694,461.713163
5,10000,10000,10000,4.334265,461.439255
6,10000,10000,10000,3.680937,543.339844
6,10000,10000,10000,3.677991,543.775095
6,10000,10000,10000,3.684635,542.794641
6,10000,10000,10000,3.677355,543.869183
6,10000,10000,10000,3.669888,544.975783
7,10000,10000,10000,3.170026,630.909674
7,10000,10000,10000,3.156046,633.704398
7,10000,10000,10000,3.158707,633.170526
7,10000,10000,10000,3.159008,633.110137
7,10000,10000,10000,3.163500,632.211095
8,10000,10000,10000,2.757811,725.212940
8,10000,10000,10000,2.757767,725.224380
8,10000,10000,10000,2.746830,728.111969
8,10000,10000,10000,2.744013,728.859518
8,10000,10000,10000,2.751569,726.858070
9,10000,10000,10000,2.465180,811.299797
9,10000,10000,10000,2.455873,814.374436
9,10000,10000,10000,2.453834,815.050968
9,10000,10000,10000,2.446302,817.560578
9,10000,10000,10000,2.422426,825.618472
10,10000,10000,10000,2.197846,909.982007
10,10000,10000,10000,2.259204,885.267504
10,10000,10000,10000,2.182459,916.397630
10,10000,10000,10000,2.215215,902.846796
10,10000,10000,10000,2.204873,907.081647
11,10000,10000,10000,2.044610,978.181668
11,10000,10000,10000,2.058802,971.438829
11,10000,10000,10000,2.042231,979.321324
11,10000,10000,10000,2.050478,975.382405
11,10000,10000,10000,2.040857,979.980257
12,10000,10000,10000,1.846803,1082.952352
12,10000,10000,10000,1.852587,1079.571149
12,10000,10000,10000,1.857535,1076.695676
12,10000,10000,10000,1.811000,1104.361992
12,10000,10000,10000,1.848340,1082.052272
13,10000,10000,10000,1.723657,1160.323803
13,10000,10000,10000,1.719607,1163.056529
13,10000,10000,10000,1.725082,1159.364940
13,10000,10000,10000,1.718913,1163.526184
13,10000,10000,10000,1.720874,1162.199885
14,10000,10000,10000,1.639083,1220.194118
14,10000,10000,10000,1.630079,1226.934280
14,10000,10000,10000,1.653865,1209.288469
14,10000,10000,10000,1.634229,1223.818805
14,10000,10000,10000,1.657758,1206.448689
15,10000,10000,10000,1.551758,1288.860920
15,10000,10000,10000,1.573610,1270.963065
15,10000,10000,10000,1.512926,1321.941823
15,10000,10000,10000,1.554715,1286.409645
15,10000,10000,10000,1.556994,1284.526331
16,10000,10000,10000,1.397975,1430.640360
16,10000,10000,10000,1.364255,1466.001144
16,10000,10000,10000,1.406917,1421.548385
16,10000,10000,10000,1.388595,1440.304539
16,10000,10000,10000,1.405134,1423.351721
17,10000,10000,10000,1.385215,1443.818902
17,10000,10000,10000,1.370434,1459.392062
17,10000,10000,10000,1.368236,1461.736041
17,10000,10000,10000,1.342038,1490.270906
17,10000,10000,10000,1.384107,1444.975393
18,10000,10000,10000,1.275131,1568.466416
18,10000,10000,10000,1.277060,1566.097224
18,10000,10000,10000,1.260415,1586.779582
18,10000,10000,10000,1.301827,1536.302178
18,10000,10000,10000,1.237448,1616.229210
19,10000,10000,10000,1.278171,1564.735317
19,10000,10000,10000,1.307687,1529.418365
19,10000,10000,10000,1.275937,1567.476053
19,10000,10000,10000,1.281747,1560.369926
19,10000,10000,10000,1.278286,1564.595015
20,10000,10000,10000,1.184322,1688.729855
20,10000,10000,10000,1.172592,1705.623808
20,10000,10000,10000,1.138015,1757.445579
20,10000,10000,10000,1.151387,1737.036125
20,10000,10000,10000,1.203888,1661.284742
21,10000,10000,10000,1.157592,1727.723780
21,10000,10000,10000,1.173305,1704.586859
21,10000,10000,10000,1.211297,1651.122403
21,10000,10000,10000,1.124651,1778.329937
21,10000,10000,10000,1.188709,1682.497361
22,10000,10000,10000,1.153471,1733.897515
22,10000,10000,10000,1.175372,1701.589436
22,10000,10000,10000,1.187446,1684.286469
22,10000,10000,10000,1.188538,1682.740178
22,10000,10000,10000,1.173392,1704.459807
23,10000,10000,10000,1.115495,1792.925358
23,10000,10000,10000,1.096958,1823.223873
23,10000,10000,10000,1.118293,1788.440316
23,10000,10000,10000,1.080096,1851.687455
23,10000,10000,10000,1.118188,1788.607721
24,10000,10000,10000,1.019668,1961.422389
24,10000,10000,10000,1.097015,1823.128579
24,10000,10000,10000,1.088946,1836.637767
24,10000,10000,10000,1.045898,1912.232304
24,10000,10000,10000,1.069983,1869.189292
25,10000,10000,10000,1.049775,1905.170370
25,10000,10000,10000,1.048838,1906.872558
25,10000,10000,10000,1.036735,1929.132392
25,10000,10000,10000,1.044781,1914.276224
25,10000,10000,10000,1.075468,1859.656361
26,10000,10000,10000,0.941436,2124.415129
26,10000,10000,10000,0.958244,2087.152133
26,10000,10000,10000,0.960608,2082.014323
26,10000,10000,10000,0.998698,2002.607511
26,10000,10000,10000,1.097393,1822.501214
27,10000,10000,10000,1.050823,1903.269475
27,10000,10000,10000,1.067980,1872.694033
27,10000,10000,10000,0.980767,2039.219526
27,10000,10000,10000,1.004734,1990.577331
27,10000,10000,10000,0.977609,2045.808458
28,10000,10000,10000,0.991387,2017.375858
28,10000,10000,10000,0.991482,2017.181397
28,10000,10000,10000,0.998698,2002.606787
28,10000,10000,10000,0.958094,2087.477176
28,10000,10000,10000,1.094214,1827.796030
29,10000,10000,10000,0.944470,2117.590838
29,10000,10000,10000,0.945288,2115.757849
29,10000,10000,10000,0.961730,2079.585870
29,10000,10000,10000,0.953891,2096.676673
29,10000,10000,10000,0.905659,2208.335573
30,10000,10000,10000,0.945872,2114.450467
