cores,m,k,n,time,GFLOPS
1,10000,10000,10000,14.609620,136.896096
1,10000,10000,10000,14.608607,136.905597
1,10000,10000,10000,14.610534,136.887533
1,10000,10000,10000,14.610683,136.886140
1,10000,10000,10000,14.617039,136.826614
1,10000,10000,10000,14.651013,136.509335
1,10000,10000,10000,14.624146,136.760127
1,10000,10000,10000,14.599777,136.988395
1,10000,10000,10000,14.722240,135.848891
1,10000,10000,10000,14.608988,136.902020
2,10000,10000,10000,8.282951,241.459828
2,10000,10000,10000,8.316912,240.473861
2,10000,10000,10000,8.229768,243.020209
2,10000,10000,10000,8.266916,241.928193
2,10000,10000,10000,8.242738,242.637815
2,10000,10000,10000,8.253604,242.318399
2,10000,10000,10000,8.230561,242.996813
2,10000,10000,10000,8.319238,240.406625
2,10000,10000,10000,8.271503,241.794037
2,10000,10000,10000,8.234755,242.873036
3,10000,10000,10000,5.225373,382.747831
3,10000,10000,10000,5.229934,382.413992
3,10000,10000,10000,5.233207,382.174848
3,10000,10000,10000,5.233035,382.187381
3,10000,10000,10000,5.250953,380.883217
3,10000,10000,10000,5.229510,382.444986
3,10000,10000,10000,5.231106,382.328325
3,10000,10000,10000,5.229306,382.459942
3,10000,10000,10000,5.239546,381.712428
3,10000,10000,10000,5.243250,381.442810
4,10000,10000,10000,3.924450,509.625532
4,10000,10000,10000,3.919286,510.296975
4,10000,10000,10000,3.933923,508.398344
4,10000,10000,10000,3.943447,507.170441
4,10000,10000,10000,3.936692,508.040791
4,10000,10000,10000,3.939774,507.643386
4,10000,10000,10000,3.923097,509.801307
4,10000,10000,10000,3.927438,509.237769
4,10000,10000,10000,3.937474,507.939877
4,10000,10000,10000,3.933049,508.511369
5,10000,10000,10000,3.135763,637.803282
5,10000,10000,10000,3.139376,637.069311
5,10000,10000,10000,3.142585,636.418704
5,10000,10000,10000,3.141420,636.654822
5,10000,10000,10000,3.137262,637.498596
5,10000,10000,10000,3.137619,637.426049
5,10000,10000,10000,3.142408,636.454530
5,10000,10000,10000,3.141085,636.722570
5,10000,10000,10000,3.141416,636.655602
5,10000,10000,10000,3.139187,637.107693
6,10000,10000,10000,2.601364,768.827341
6,10000,10000,10000,2.610084,766.258868
6,10000,10000,10000,2.608163,766.823183
6,10000,10000,10000,2.607329,767.068602
6,10000,10000,10000,2.598612,769.641513
6,10000,10000,10000,2.602106,768.608302
6,10000,10000,10000,2.610607,766.105491
6,10000,10000,10000,2.604426,767.923610
6,10000,10000,10000,2.605211,767.692169
6,10000,10000,10000,2.601091,768.908072
7,10000,10000,10000,2.260486,884.765668
7,10000,10000,10000,2.266280,882.503368
7,10000,10000,10000,2.262102,884.133520
7,10000,10000,10000,2.260819,884.635112
7,10000,10000,10000,2.261788,884.256248
7,10000,10000,10000,2.258278,885.630600
7,10000,10000,10000,2.260183,884.883990
7,10000,10000,10000,2.261443,884.391184
7,10000,10000,10000,2.259627,885.101808
7,10000,10000,10000,2.260900,884.603343
8,10000,10000,10000,1.898160,1053.651728
8,10000,10000,10000,1.902858,1051.050430
8,10000,10000,10000,1.898626,1053.393214
8,10000,10000,10000,1.894526,1055.672864
8,10000,10000,10000,1.898513,1053.456030
8,10000,10000,10000,1.898779,1053.308463
8,10000,10000,10000,1.899195,1053.077620
8,10000,10000,10000,1.898995,1053.188676
8,10000,10000,10000,1.898951,1053.212941
8,10000,10000,10000,1.897156,1054.209444
9,10000,10000,10000,1.708433,1170.663130
9,10000,10000,10000,1.717313,1164.610242
9,10000,10000,10000,1.709801,1169.726945
9,10000,10000,10000,1.710766,1169.066970
9,10000,10000,10000,1.709058,1170.235031
9,10000,10000,10000,1.707682,1171.178098
9,10000,10000,10000,1.709019,1170.261803
9,10000,10000,10000,1.713928,1166.910199
9,10000,10000,10000,1.707812,1171.089214
9,10000,10000,10000,1.709715,1169.785857
10,10000,10000,10000,1.540974,1297.880223
10,10000,10000,10000,1.534910,1303.007991
10,10000,10000,10000,1.533818,1303.935977
10,10000,10000,10000,1.539200,1299.376029
10,10000,10000,10000,1.542265,1296.793687
10,10000,10000,10000,1.538375,1300.072775
10,10000,10000,10000,1.528115,1308.801809
10,10000,10000,10000,1.538336,1300.105870
10,10000,10000,10000,1.543039,1296.143517
10,10000,10000,10000,1.538720,1299.781802
11,10000,10000,10000,1.390165,1438.677990
11,10000,10000,10000,1.391685,1437.106658
11,10000,10000,10000,1.395141,1433.547344
11,10000,10000,10000,1.400231,1428.335270
11,10000,10000,10000,1.394316,1434.395052
11,10000,10000,10000,1.395297,1433.386421
11,10000,10000,10000,1.397435,1431.193706
11,10000,10000,10000,1.399975,1428.596894
11,10000,10000,10000,1.391640,1437.152970
11,10000,10000,10000,1.391339,1437.464372
12,10000,10000,10000,1.294045,1545.540793
12,10000,10000,10000,1.298947,1539.708144
12,10000,10000,10000,1.295391,1543.935529
12,10000,10000,10000,1.295019,1544.378431
12,10000,10000,10000,1.303492,1534.339967
12,10000,10000,10000,1.303745,1534.042289
12,10000,10000,10000,1.299310,1539.278832
12,10000,10000,10000,1.299843,1538.647138
12,10000,10000,10000,1.298547,1540.183124
12,10000,10000,10000,1.304676,1532.947412
