m,k,n,time,GFLOPS
2000,2000,2000,0.039848,401.523138
2000,2000,2000,0.035724,447.875594
2000,2000,2000,0.035478,450.977836
2000,2000,2000,0.032968,485.312782
2000,2000,2000,0.032329,494.913373
2000,2000,2000,0.031483,508.204695
2000,2000,2000,0.035102,455.813704
2000,2000,2000,0.036058,443.729165
2000,2000,2000,0.037632,425.167266
2000,2000,2000,0.036084,443.415732
3000,3000,3000,0.061234,881.868461
3000,3000,3000,0.082634,653.483421
3000,3000,3000,0.082019,658.385855
3000,3000,3000,0.073511,734.583690
3000,3000,3000,0.085144,634.217038
3000,3000,3000,0.082358,655.675792
3000,3000,3000,0.085585,630.952445
3000,3000,3000,0.082094,657.779113
3000,3000,3000,0.075223,717.861099
3000,3000,3000,0.062161,868.706177
4000,4000,4000,0.145392,880.378266
4000,4000,4000,0.145668,878.712984
4000,4000,4000,0.118534,1079.855682
4000,4000,4000,0.135768,942.781820
4000,4000,4000,0.139312,918.798360
4000,4000,4000,0.135120,947.308868
4000,4000,4000,0.133506,958.758990
4000,4000,4000,0.143968,889.086945
4000,4000,4000,0.137623,930.079744
4000,4000,4000,0.130631,979.860333
5000,5000,5000,0.242043,1032.873099
5000,5000,5000,0.243760,1025.599223
5000,5000,5000,0.243730,1025.727090
5000,5000,5000,0.252566,989.838947
5000,5000,5000,0.254012,984.204378
5000,5000,5000,0.250933,996.281916
5000,5000,5000,0.255572,978.196344
5000,5000,5000,0.240603,1039.055749
5000,5000,5000,0.257708,970.090820
5000,5000,5000,0.254390,982.741765
6000,6000,6000,0.374676,1152.996312
6000,6000,6000,0.379305,1138.926491
6000,6000,6000,0.369523,1169.074245
6000,6000,6000,0.384651,1123.095181
6000,6000,6000,0.384266,1124.220257
6000,6000,6000,0.368934,1170.941633
6000,6000,6000,0.377879,1143.223325
6000,6000,6000,0.386023,1119.104305
6000,6000,6000,0.368523,1172.246421
6000,6000,6000,0.383921,1125.230262
7000,7000,7000,0.533843,1285.021276
7000,7000,7000,0.533674,1285.428756
7000,7000,7000,0.564140,1216.009508
7000,7000,7000,0.559675,1225.710273
7000,7000,7000,0.505131,1358.063103
7000,7000,7000,0.539226,1272.194110
7000,7000,7000,0.552909,1240.710613
7000,7000,7000,0.562304,1219.979716
7000,7000,7000,0.555389,1235.170071
7000,7000,7000,0.543648,1261.845434
8000,8000,8000,0.728438,1405.746921
8000,8000,8000,0.760291,1346.853342
8000,8000,8000,0.783094,1307.632994
8000,8000,8000,0.748299,1368.436985
8000,8000,8000,0.778802,1314.840789
8000,8000,8000,0.750666,1364.122667
8000,8000,8000,0.722199,1417.890843
8000,8000,8000,0.788459,1298.735806
8000,8000,8000,0.783653,1306.700017
8000,8000,8000,0.744691,1375.067866
9000,9000,9000,1.057428,1378.817528
9000,9000,9000,1.092778,1334.214615
9000,9000,9000,1.107135,1316.912076
9000,9000,9000,1.040255,1401.579526
9000,9000,9000,0.987809,1475.993281
9000,9000,9000,1.107061,1317.001175
9000,9000,9000,1.098301,1327.504443
9000,9000,9000,1.115605,1306.913746
9000,9000,9000,1.059688,1375.876027
9000,9000,9000,1.125465,1295.464652
10000,10000,10000,1.395227,1433.458949
10000,10000,10000,1.441783,1387.170868
10000,10000,10000,1.429660,1398.933822
10000,10000,10000,1.453020,1376.443883
10000,10000,10000,1.440608,1388.302736
10000,10000,10000,1.455137,1374.440851
10000,10000,10000,1.450232,1379.090115
10000,10000,10000,1.410040,1418.399128
10000,10000,10000,1.414389,1414.038532
10000,10000,10000,1.337899,1494.881612
11000,11000,11000,1.735783,1533.601730
11000,11000,11000,1.744729,1525.738311
11000,11000,11000,1.697448,1568.236725
11000,11000,11000,1.719862,1547.798864
11000,11000,11000,1.703852,1562.342619
