m,k,n,time,GFLOPS
2000,2000,2000,0.052577,304.317503
2000,2000,2000,0.026914,594.480001
2000,2000,2000,0.027780,575.954753
2000,2000,2000,0.028004,571.340524
2000,2000,2000,0.027643,578.810765
2000,2000,2000,0.027328,585.481679
2000,2000,2000,0.027297,586.148240
2000,2000,2000,0.027620,579.282085
2000,2000,2000,0.027846,574.581939
2000,2000,2000,0.026603,601.434233
3000,3000,3000,0.078831,685.012494
3000,3000,3000,0.078585,687.151825
3000,3000,3000,0.078510,687.813571
3000,3000,3000,0.078715,686.020072
3000,3000,3000,0.078530,687.639651
3000,3000,3000,0.078858,684.777458
3000,3000,3000,0.078432,688.494729
3000,3000,3000,0.078514,687.776287
3000,3000,3000,0.078686,686.271338
3000,3000,3000,0.078976,683.751714
4000,4000,4000,0.175751,728.304441
4000,4000,4000,0.179771,712.017913
4000,4000,4000,0.169401,755.603131
4000,4000,4000,0.170138,752.330877
4000,4000,4000,0.171729,745.362002
4000,4000,4000,0.173647,737.125757
4000,4000,4000,0.174375,734.048744
4000,4000,4000,0.168790,758.338787
4000,4000,4000,0.168580,759.281656
4000,4000,4000,0.170776,749.520747
5000,5000,5000,0.330082,757.387503
5000,5000,5000,0.330281,756.932090
5000,5000,5000,0.331667,753.769071
5000,5000,5000,0.330446,756.553157
5000,5000,5000,0.330437,756.574946
5000,5000,5000,0.330756,755.844708
5000,5000,5000,0.330146,757.241575
5000,5000,5000,0.329672,758.330055
5000,5000,5000,0.331925,753.182937
5000,5000,5000,0.330807,755.726995
6000,6000,6000,0.551505,783.311155
6000,6000,6000,0.553738,780.152338
6000,6000,6000,0.557313,775.147969
6000,6000,6000,0.552939,781.280315
6000,6000,6000,0.557033,775.537981
6000,6000,6000,0.551468,783.363117
6000,6000,6000,0.557054,775.508396
6000,6000,6000,0.553753,780.131504
6000,6000,6000,0.556620,776.113383
6000,6000,6000,0.552206,782.316901
7000,7000,7000,0.894294,767.085739
7000,7000,7000,0.887764,772.727804
7000,7000,7000,0.894598,766.824660
7000,7000,7000,0.884251,775.797948
7000,7000,7000,0.887828,772.672142
7000,7000,7000,0.891513,769.478317
7000,7000,7000,0.889285,771.406000
7000,7000,7000,0.889702,771.044615
7000,7000,7000,0.901975,760.553279
7000,7000,7000,0.890238,770.580268
8000,8000,8000,1.343137,762.394352
8000,8000,8000,1.340185,764.073407
8000,8000,8000,1.346430,760.529601
8000,8000,8000,1.339260,764.601117
8000,8000,8000,1.334452,767.355964
8000,8000,8000,1.356593,754.832331
8000,8000,8000,1.347816,759.747418
8000,8000,8000,1.371404,746.680292
8000,8000,8000,1.340637,763.815865
8000,8000,8000,1.377833,743.196053
9000,9000,9000,1.902726,766.269218
9000,9000,9000,1.881787,774.795397
9000,9000,9000,1.883469,774.103413
9000,9000,9000,1.889791,771.513798
9000,9000,9000,1.900248,767.268416
9000,9000,9000,1.890860,771.077585
9000,9000,9000,1.891680,770.743334
9000,9000,9000,1.894219,769.710366
9000,9000,9000,1.881195,775.039194
9000,9000,9000,1.888396,772.083971
10000,10000,10000,2.560486,781.101650
10000,10000,10000,2.565468,779.584996
10000,10000,10000,2.571060,777.889382
10000,10000,10000,2.550154,784.266330
10000,10000,10000,2.569791,778.273523
10000,10000,10000,2.550898,784.037551
10000,10000,10000,2.572991,777.305572
10000,10000,10000,2.561676,780.738960
10000,10000,10000,2.571614,777.721594
10000,10000,10000,2.539667,787.504820
11000,11000,11000,3.511207,758.143827
11000,11000,11000,3.612819,736.820701
11000,11000,11000,3.649822,729.350543
11000,11000,11000,3.669087,725.521186
11000,11000,11000,3.503639,759.781476
11000,11000,11000,3.489226,762.919983
11000,11000,11000,3.621901,734.973081
11000,11000,11000,3.480672,764.794811
11000,11000,11000,3.490925,762.548616
11000,11000,11000,3.511705,758.036385
12000,12000,12000,4.643534,744.260729
12000,12000,12000,5.078043,680.577198
12000,12000,12000,4.510629,766.190176
12000,12000,12000,4.446986,777.155568
12000,12000,12000,4.613604,749.089068
12000,12000,12000,4.488709,769.931771
12000,12000,12000,4.459068,775.049935
12000,12000,12000,4.480589,771.327194
12000,12000,12000,4.556567,758.465755
12000,12000,12000,4.460601,774.783552
13000,13000,13000,5.620600,781.767083
13000,13000,13000,5.756247,763.344562
13000,13000,13000,5.746310,764.664581
13000,13000,13000,5.843566,751.938055
13000,13000,13000,5.916070,742.722833
13000,13000,13000,5.729719,766.878740
13000,13000,13000,5.971359,735.845943
13000,13000,13000,5.711908,769.270030
13000,13000,13000,5.950471,738.428988
13000,13000,13000,5.933661,740.520880
14000,14000,14000,7.540206,727.831577
14000,14000,14000,7.267080,755.186372
14000,14000,14000,7.198692,762.360713
14000,14000,14000,7.317553,749.977496
14000,14000,14000,7.281827,753.657026
14000,14000,14000,7.463694,735.292701
14000,14000,14000,7.411808,740.440138
14000,14000,14000,7.228071,759.262058
14000,14000,14000,7.643092,718.034041
14000,14000,14000,7.131613,769.531343
15000,15000,15000,9.253444,729.458121
15000,15000,15000,8.622289,782.854735
15000,15000,15000,8.911356,757.460485
15000,15000,15000,9.643723,699.937127
15000,15000,15000,8.999328,750.056030
15000,15000,15000,8.900610,758.374981
15000,15000,15000,8.649451,780.396336
15000,15000,15000,8.860502,761.807868
15000,15000,15000,8.842148,763.389185
15000,15000,15000,8.819051,765.388472
16000,16000,16000,10.659505,768.515988
16000,16000,16000,11.051457,741.259754
16000,16000,16000,10.526679,778.213112
16000,16000,16000,10.657372,768.669818
16000,16000,16000,11.278139,726.360977
16000,16000,16000,12.635252,648.344800
16000,16000,16000,11.810484,693.621020
16000,16000,16000,10.619973,771.376738
16000,16000,16000,10.870800,753.578388
16000,16000,16000,11.580246,707.411567
17000,17000,17000,13.892446,707.290856
17000,17000,17000,12.766321,769.681390
17000,17000,17000,13.334215,736.901287
17000,17000,17000,12.919596,760.550119
17000,17000,17000,13.510509,727.285710
17000,17000,17000,12.620234,778.590942
17000,17000,17000,13.970829,703.322638
17000,17000,17000,12.825754,766.114811
17000,17000,17000,12.711175,773.020609
17000,17000,17000,13.157188,746.816112
18000,18000,18000,14.918051,781.871591
18000,18000,18000,16.505032,706.693591
18000,18000,18000,15.569050,749.178683
18000,18000,18000,17.686989,659.467819
18000,18000,18000,17.010284,685.702844
18000,18000,18000,17.826138,654.320070
18000,18000,18000,14.842758,785.837765
18000,18000,18000,17.673037,659.988424
18000,18000,18000,16.611950,702.145155
18000,18000,18000,14.862869,784.774465
19000,19000,19000,20.844762,658.102971
19000,19000,19000,20.800812,659.493490
19000,19000,19000,20.742476,661.348243
19000,19000,19000,20.828813,658.606911
19000,19000,19000,20.711504,662.337223
19000,19000,19000,20.147907,680.864751
19000,19000,19000,18.779864,730.463219
19000,19000,19000,19.737923,695.007259
19000,19000,19000,21.096517,650.249531
19000,19000,19000,17.621467,778.482285
20000,20000,20000,20.810297,768.850152
20000,20000,20000,21.340202,749.758609
20000,20000,20000,21.853488,732.148561
20000,20000,20000,20.761611,770.653113
20000,20000,20000,21.187705,755.154933
20000,20000,20000,22.381349,714.880954
20000,20000,20000,21.745078,735.798705
20000,20000,20000,21.404203,747.516747
20000,20000,20000,22.242293,719.350285
20000,20000,20000,23.799705,672.277245
