m,k,n,time,GFLOPS
2000,2000,2000,0.048191,332.010128
2000,2000,2000,0.026630,600.829001
2000,2000,2000,0.024049,665.301634
2000,2000,2000,0.021529,743.170219
2000,2000,2000,0.022564,709.085333
2000,2000,2000,0.025674,623.189610
2000,2000,2000,0.027214,587.938450
2000,2000,2000,0.022767,702.773716
2000,2000,2000,0.026083,613.417997
2000,2000,2000,0.023008,695.409416
3000,3000,3000,0.053644,1006.628030
3000,3000,3000,0.049372,1093.744829
3000,3000,3000,0.052427,1030.001227
3000,3000,3000,0.049002,1102.005080
3000,3000,3000,0.054232,995.729537
3000,3000,3000,0.054688,987.416510
3000,3000,3000,0.053244,1014.199545
3000,3000,3000,0.052247,1033.559050
3000,3000,3000,0.048624,1110.564946
3000,3000,3000,0.051863,1041.195598
4000,4000,4000,0.069868,1832.030616
4000,4000,4000,0.091706,1395.760876
4000,4000,4000,0.082140,1558.315432
4000,4000,4000,0.092138,1389.218949
4000,4000,4000,0.083048,1541.283180
4000,4000,4000,0.080304,1593.936844
4000,4000,4000,0.082697,1547.825773
4000,4000,4000,0.084068,1522.569264
4000,4000,4000,0.094110,1360.109353
4000,4000,4000,0.080898,1582.247363
5000,5000,5000,0.124684,2005.067865
5000,5000,5000,0.135526,1844.669692
5000,5000,5000,0.128879,1939.806696
5000,5000,5000,0.134798,1854.621186
5000,5000,5000,0.136559,1830.706969
5000,5000,5000,0.127066,1967.486437
5000,5000,5000,0.128337,1948.002013
5000,5000,5000,0.135134,1850.016854
5000,5000,5000,0.124219,2012.571747
5000,5000,5000,0.127752,1956.910460
6000,6000,6000,0.194112,2225.517304
6000,6000,6000,0.187952,2298.460123
6000,6000,6000,0.198870,2172.271105
6000,6000,6000,0.185297,2331.393136
6000,6000,6000,0.196892,2194.096858
6000,6000,6000,0.192120,2248.597180
6000,6000,6000,0.196045,2203.580903
6000,6000,6000,0.186491,2316.462854
6000,6000,6000,0.198669,2174.474761
6000,6000,6000,0.204068,2116.941215
7000,7000,7000,0.262185,2616.474688
7000,7000,7000,0.271532,2526.406146
7000,7000,7000,0.269164,2548.631313
7000,7000,7000,0.272859,2514.115457
7000,7000,7000,0.280491,2445.712064
7000,7000,7000,0.288110,2381.032327
7000,7000,7000,0.274893,2495.512525
7000,7000,7000,0.283679,2418.222748
7000,7000,7000,0.281200,2439.542613
7000,7000,7000,0.264250,2596.031157
8000,8000,8000,0.372191,2751.273744
8000,8000,8000,0.375664,2725.837007
8000,8000,8000,0.345044,2967.737147
8000,8000,8000,0.374464,2734.575549
8000,8000,8000,0.374038,2737.686555
8000,8000,8000,0.358698,2854.767737
8000,8000,8000,0.362957,2821.272060
8000,8000,8000,0.373343,2742.782899
8000,8000,8000,0.418895,2444.526625
8000,8000,8000,0.372199,2751.216848
9000,9000,9000,0.496922,2934.062440
9000,9000,9000,0.557151,2616.886310
9000,9000,9000,0.508453,2867.519253
9000,9000,9000,0.521008,2798.422123
9000,9000,9000,0.506664,2877.649445
9000,9000,9000,0.497729,2929.304038
9000,9000,9000,0.483811,3013.575712
9000,9000,9000,0.540561,2697.195990
9000,9000,9000,0.512864,2842.857495
9000,9000,9000,0.513453,2839.597909
10000,10000,10000,0.689087,2902.390406
10000,10000,10000,0.694576,2879.454781
10000,10000,10000,0.693752,2882.874705
10000,10000,10000,0.690537,2896.298055
10000,10000,10000,0.688709,2903.982202
10000,10000,10000,0.666646,3000.091747
10000,10000,10000,0.669361,2987.926527
10000,10000,10000,0.671130,2980.048166
10000,10000,10000,0.687624,2908.567481
10000,10000,10000,0.744817,2685.224381
11000,11000,11000,0.810199,3285.611416
11000,11000,11000,0.804979,3306.920480
11000,11000,11000,0.804680,3308.147227
11000,11000,11000,0.814246,3269.282232
11000,11000,11000,0.822298,3237.268635
11000,11000,11000,0.941044,2828.772425
11000,11000,11000,0.833596,3193.392538
11000,11000,11000,0.870285,3058.768277
11000,11000,11000,0.817458,3256.436739
11000,11000,11000,0.812508,3276.274107
12000,12000,12000,0.988880,3494.861154
12000,12000,12000,1.062384,3253.059922
12000,12000,12000,1.006979,3432.049276
12000,12000,12000,0.994094,3476.531516
12000,12000,12000,1.012118,3414.620789
12000,12000,12000,1.018082,3394.617424
12000,12000,12000,1.016909,3398.534633
12000,12000,12000,1.085034,3185.152295
12000,12000,12000,1.037612,3330.725129
12000,12000,12000,1.027336,3364.041490
13000,13000,13000,1.270318,3458.977732
13000,13000,13000,1.316832,3336.797350
13000,13000,13000,1.352198,3249.523750
13000,13000,13000,1.265183,3473.015943
13000,13000,13000,1.259497,3488.695404
13000,13000,13000,1.466427,2996.398203
13000,13000,13000,1.454463,3021.046085
13000,13000,13000,1.333694,3294.607976
13000,13000,13000,1.558192,2819.934895
13000,13000,13000,1.317313,3335.578806
14000,14000,14000,1.683600,3259.681195
14000,14000,14000,1.715476,3199.111526
14000,14000,14000,1.651810,3322.415151
14000,14000,14000,1.648011,3330.074607
14000,14000,14000,1.680590,3265.519200
14000,14000,14000,1.773500,3094.445575
14000,14000,14000,1.640130,3346.075295
14000,14000,14000,1.609279,3410.221921
14000,14000,14000,1.653500,3319.019897
14000,14000,14000,1.837452,2986.745029
15000,15000,15000,2.041125,3306.999186
15000,15000,15000,2.142960,3149.848754
15000,15000,15000,2.106400,3204.520147
15000,15000,15000,2.105952,3205.201130
15000,15000,15000,2.096742,3219.280712
15000,15000,15000,2.108715,3201.002083
15000,15000,15000,2.128772,3170.841823
15000,15000,15000,2.156471,3130.114622
15000,15000,15000,2.108643,3201.111207
15000,15000,15000,2.046713,3297.971482
16000,16000,16000,2.554014,3207.500537
16000,16000,16000,2.349389,3486.863665
16000,16000,16000,2.392802,3423.601660
16000,16000,16000,2.323729,3525.368483
16000,16000,16000,2.356186,3476.805536
16000,16000,16000,2.338242,3503.486259
16000,16000,16000,2.339460,3501.662421
16000,16000,16000,2.451769,3341.261379
16000,16000,16000,2.347565,3489.572586
16000,16000,16000,2.350918,3484.596175
17000,17000,17000,2.732419,3596.081158
17000,17000,17000,2.628958,3737.603169
17000,17000,17000,2.768380,3549.368143
17000,17000,17000,2.757952,3562.789116
17000,17000,17000,2.851260,3446.195125
17000,17000,17000,2.838077,3462.203809
17000,17000,17000,2.819617,3484.870397
17000,17000,17000,2.833478,3467.822348
17000,17000,17000,2.718440,3614.572888
17000,17000,17000,2.741928,3583.610107
18000,18000,18000,3.473684,3357.817935
18000,18000,18000,3.170429,3678.997900
18000,18000,18000,3.349125,3482.700626
18000,18000,18000,3.302987,3531.349450
18000,18000,18000,3.332777,3499.784113
18000,18000,18000,3.296129,3538.695957
18000,18000,18000,3.323329,3509.734065
18000,18000,18000,3.307309,3526.734795
18000,18000,18000,3.334101,3498.393828
18000,18000,18000,3.253619,3584.931292
19000,19000,19000,3.813245,3597.460740
19000,19000,19000,3.867264,3547.210362
19000,19000,19000,3.859453,3554.389561
19000,19000,19000,3.885212,3530.824269
19000,19000,19000,3.859696,3554.165603
19000,19000,19000,3.836627,3575.536683
19000,19000,19000,4.028092,3405.582893
19000,19000,19000,3.938089,3483.415352
19000,19000,19000,3.816648,3594.253340
19000,19000,19000,4.108762,3338.718817
20000,20000,20000,4.533005,3529.667555
20000,20000,20000,4.483823,3568.383136
20000,20000,20000,4.503549,3552.753503
