m,k,n,time,GFLOPS
2000,2000,2000,0.016274,983.167134
2000,2000,2000,0.015858,1008.943337
2000,2000,2000,0.015502,1032.097790
2000,2000,2000,0.015339,1043.086990
2000,2000,2000,0.015050,1063.121158
2000,2000,2000,0.015188,1053.474705
2000,2000,2000,0.015417,1037.830949
2000,2000,2000,0.015270,1047.803617
2000,2000,2000,0.016331,979.725739
2000,2000,2000,0.015262,1048.322903
3000,3000,3000,0.042330,1275.691210
3000,3000,3000,0.041553,1299.548850
3000,3000,3000,0.041477,1301.940180
3000,3000,3000,0.041529,1300.302128
3000,3000,3000,0.041386,1304.788397
3000,3000,3000,0.041387,1304.770900
3000,3000,3000,0.041338,1306.318853
3000,3000,3000,0.041286,1307.937451
3000,3000,3000,0.041449,1302.802998
3000,3000,3000,0.041326,1306.690969
4000,4000,4000,0.088320,1449.272409
4000,4000,4000,0.088840,1440.787052
4000,4000,4000,0.088768,1441.953530
4000,4000,4000,0.088370,1448.457014
4000,4000,4000,0.091450,1399.671845
4000,4000,4000,0.089491,1430.311092
4000,4000,4000,0.088296,1449.672561
4000,4000,4000,0.089787,1425.588242
4000,4000,4000,0.088778,1441.793642
4000,4000,4000,0.088020,1454.215827
5000,5000,5000,0.167909,1488.904937
5000,5000,5000,0.167947,1488.567052
5000,5000,5000,0.168362,1484.891884
5000,5000,5000,0.169108,1478.347254
5000,5000,5000,0.169049,1478.857572
5000,5000,5000,0.167754,1490.277057
5000,5000,5000,0.168647,1482.382515
5000,5000,5000,0.167370,1493.699777
5000,5000,5000,0.167576,1491.862244
5000,5000,5000,0.169145,1478.020688
6000,6000,6000,0.287558,1502.306766
6000,6000,6000,0.287509,1502.561847
6000,6000,6000,0.287071,1504.854410
6000,6000,6000,0.288236,1498.772209
6000,6000,6000,0.286858,1505.969176
6000,6000,6000,0.287670,1501.722831
6000,6000,6000,0.288497,1497.415284
6000,6000,6000,0.287472,1502.754858
6000,6000,6000,0.291352,1482.740128
6000,6000,6000,0.287470,1502.764596
7000,7000,7000,0.441596,1553.454816
7000,7000,7000,0.441299,1554.500018
7000,7000,7000,0.442295,1551.001958
7000,7000,7000,0.441987,1552.080377
7000,7000,7000,0.441561,1553.580606
7000,7000,7000,0.441737,1552.958611
7000,7000,7000,0.440815,1556.208659
7000,7000,7000,0.441274,1554.590532
7000,7000,7000,0.442480,1550.352271
7000,7000,7000,0.441375,1554.233220
8000,8000,8000,0.645715,1585.840110
8000,8000,8000,0.650028,1575.317071
8000,8000,8000,0.646448,1584.040794
8000,8000,8000,0.645176,1587.163151
8000,8000,8000,0.646434,1584.074406
8000,8000,8000,0.647083,1582.485902
8000,8000,8000,0.646941,1582.832974
8000,8000,8000,0.646441,1584.058758
8000,8000,8000,0.644169,1589.643742
8000,8000,8000,0.647036,1582.601999
9000,9000,9000,0.915656,1592.301041
9000,9000,9000,0.914779,1593.827990
9000,9000,9000,0.912554,1597.714235
9000,9000,9000,0.910447,1601.411377
9000,9000,9000,0.911185,1600.113884
9000,9000,9000,0.916509,1590.819690
9000,9000,9000,0.913736,1595.646967
9000,9000,9000,0.914911,1593.597695
9000,9000,9000,0.912543,1597.733717
9000,9000,9000,0.913751,1595.620486
10000,10000,10000,1.298333,1540.436507
10000,10000,10000,1.293439,1546.264857
10000,10000,10000,1.297658,1541.238327
10000,10000,10000,1.293531,1546.155322
10000,10000,10000,1.294530,1544.962768
10000,10000,10000,1.311491,1524.982264
10000,10000,10000,1.293417,1546.291276
10000,10000,10000,1.310712,1525.887868
10000,10000,10000,1.292422,1547.481825
10000,10000,10000,1.301710,1536.440977
11000,11000,11000,1.710774,1556.021099
11000,11000,11000,1.714238,1552.876526
11000,11000,11000,1.709067,1557.574888
11000,11000,11000,1.712522,1554.432327
11000,11000,11000,1.714428,1552.704283
11000,11000,11000,1.713181,1553.834443
11000,11000,11000,1.711956,1554.946342
11000,11000,11000,1.712921,1554.070103
11000,11000,11000,1.713924,1553.161120
11000,11000,11000,1.707661,1558.857675
12000,12000,12000,2.178375,1586.503407
12000,12000,12000,2.180673,1584.832029
12000,12000,12000,2.187257,1580.061073
12000,12000,12000,2.185453,1581.365527
12000,12000,12000,2.174727,1589.164785
12000,12000,12000,2.184749,1581.875054
12000,12000,12000,2.184078,1582.360996
12000,12000,12000,2.179449,1585.722200
12000,12000,12000,2.184017,1582.405448
12000,12000,12000,2.178717,1586.254542
13000,13000,13000,2.756554,1594.019294
13000,13000,13000,2.766473,1588.304154
13000,13000,13000,2.762629,1590.514241
13000,13000,13000,2.762446,1590.619258
13000,13000,13000,2.762776,1590.429269
13000,13000,13000,2.758869,1592.681371
13000,13000,13000,2.758801,1592.721041
13000,13000,13000,2.756893,1593.823100
13000,13000,13000,2.756291,1594.171391
13000,13000,13000,2.761637,1591.085093
14000,14000,14000,3.495795,1569.886230
14000,14000,14000,3.538502,1550.938597
14000,14000,14000,3.488995,1572.945673
14000,14000,14000,3.501062,1567.524307
14000,14000,14000,3.486851,1573.912964
14000,14000,14000,3.504394,1566.033782
14000,14000,14000,3.502618,1566.827968
14000,14000,14000,3.494634,1570.407439
14000,14000,14000,3.500678,1567.696479
14000,14000,14000,3.491097,1571.998894
15000,15000,15000,4.215935,1601.068187
15000,15000,15000,4.218817,1599.974446
15000,15000,15000,4.220587,1599.303641
15000,15000,15000,4.211574,1602.726361
15000,15000,15000,4.234935,1593.885217
15000,15000,15000,4.217037,1600.649905
15000,15000,15000,4.221431,1598.983674
15000,15000,15000,4.230393,1595.596493
15000,15000,15000,4.219710,1599.635870
15000,15000,15000,4.214629,1601.564323
16000,16000,16000,5.116710,1601.028871
16000,16000,16000,5.116395,1601.127504
16000,16000,16000,5.113152,1602.143021
16000,16000,16000,5.105494,1604.546135
16000,16000,16000,5.113943,1601.894912
16000,16000,16000,5.110037,1603.119438
16000,16000,16000,5.111040,1602.804838
16000,16000,16000,5.109059,1603.426416
16000,16000,16000,5.115710,1601.341755
16000,16000,16000,5.118340,1600.518934
17000,17000,17000,6.176291,1590.922551
