cores,m,k,n,time,GFLOPS
1,10000,10000,10000,42.147095,47.452855
1,10000,10000,10000,42.081455,47.526874
1,10000,10000,10000,42.173096,47.423599
1,10000,10000,10000,42.168668,47.428579
1,10000,10000,10000,42.188098,47.406736
2,10000,10000,10000,22.054252,90.685459
2,10000,10000,10000,22.311994,89.637886
2,10000,10000,10000,22.039022,90.748128
2,10000,10000,10000,22.115235,90.435396
2,10000,10000,10000,22.203080,90.077593
3,10000,10000,10000,14.928397,133.972854
3,10000,10000,10000,15.060822,132.794877
3,10000,10000,10000,15.191159,131.655526
3,10000,10000,10000,14.951244,133.768135
3,10000,10000,10000,15.244948,131.191006
4,10000,10000,10000,12.533407,159.573533
4,10000,10000,10000,12.527140,159.653366
4,10000,10000,10000,12.511197,159.856805
4,10000,10000,10000,12.576072,159.032165
4,10000,10000,10000,12.463957,160.462679
5,10000,10000,10000,10.272427,194.695957
5,10000,10000,10000,10.598889,188.699024
5,10000,10000,10000,10.614847,188.415334
5,10000,10000,10000,10.542216,189.713442
5,10000,10000,10000,10.489480,190.667220
6,10000,10000,10000,8.481437,235.809100
6,10000,10000,10000,8.514501,234.893387
6,10000,10000,10000,8.525984,234.577025
6,10000,10000,10000,8.546678,234.009042
6,10000,10000,10000,8.448990,236.714679
7,10000,10000,10000,7.016745,285.032460
7,10000,10000,10000,6.921031,288.974271
7,10000,10000,10000,6.997022,285.835875
7,10000,10000,10000,6.869243,291.152895
7,10000,10000,10000,6.811703,293.612337
8,10000,10000,10000,5.845014,342.171961
8,10000,10000,10000,5.882443,339.994768
8,10000,10000,10000,5.769363,346.658732
8,10000,10000,10000,5.990202,333.878529
8,10000,10000,10000,5.791281,345.346728
9,10000,10000,10000,5.628468,355.336461
9,10000,10000,10000,5.666799,352.932965
9,10000,10000,10000,5.629518,355.270184
9,10000,10000,10000,5.621589,355.771270
9,10000,10000,10000,5.648228,354.093378
10,10000,10000,10000,5.144509,388.763989
10,10000,10000,10000,5.117786,390.794024
10,10000,10000,10000,5.085908,393.243410
10,10000,10000,10000,5.094432,392.585491
10,10000,10000,10000,5.108792,391.481971
11,10000,10000,10000,4.079586,490.245771
11,10000,10000,10000,4.170232,479.589632
11,10000,10000,10000,4.108263,486.823749
11,10000,10000,10000,4.077411,490.507378
11,10000,10000,10000,4.092379,488.713281
12,10000,10000,10000,3.899728,512.856311
12,10000,10000,10000,3.860868,518.018227
12,10000,10000,10000,4.037379,495.370839
12,10000,10000,10000,3.901026,512.685643
12,10000,10000,10000,3.809922,524.945188
13,10000,10000,10000,3.804586,525.681348
13,10000,10000,10000,3.843246,520.393478
13,10000,10000,10000,3.843420,520.369837
13,10000,10000,10000,3.809317,525.028567
13,10000,10000,10000,3.965679,504.327299
14,10000,10000,10000,3.659563,546.513403
14,10000,10000,10000,3.654288,547.302197
14,10000,10000,10000,3.674769,544.251915
14,10000,10000,10000,3.672452,544.595259
14,10000,10000,10000,3.678688,543.672127
15,10000,10000,10000,3.432555,582.656420
15,10000,10000,10000,3.453261,579.162639
15,10000,10000,10000,3.472021,576.033418
15,10000,10000,10000,3.466402,576.967161
15,10000,10000,10000,3.473868,575.727169
16,10000,10000,10000,2.790048,716.833508
16,10000,10000,10000,2.784512,718.258628
16,10000,10000,10000,2.799011,714.538062
16,10000,10000,10000,2.796899,715.077748
16,10000,10000,10000,2.799499,714.413417
17,10000,10000,10000,2.784270,718.321204
17,10000,10000,10000,2.818246,709.661376
17,10000,10000,10000,2.803684,713.347138
17,10000,10000,10000,2.795123,715.532093
17,10000,10000,10000,2.788927,717.121778
18,10000,10000,10000,2.815585,710.332029
18,10000,10000,10000,2.811356,711.400355
18,10000,10000,10000,2.808942,712.011775
18,10000,10000,10000,2.811305,711.413448
18,10000,10000,10000,2.820320,709.139352
19,10000,10000,10000,2.823252,708.402993
19,10000,10000,10000,2.812446,711.124662
19,10000,10000,10000,2.818093,709.699667
19,10000,10000,10000,2.870365,696.775525
19,10000,10000,10000,2.836936,704.985946
20,10000,10000,10000,2.274150,879.449415
20,10000,10000,10000,2.255931,886.551770
20,10000,10000,10000,2.251188,888.419864
20,10000,10000,10000,2.252572,887.873897
20,10000,10000,10000,2.246554,890.252541
21,10000,10000,10000,2.547672,785.030328
21,10000,10000,10000,2.539723,787.487522
21,10000,10000,10000,2.529601,790.638635
21,10000,10000,10000,2.549961,784.325735
21,10000,10000,10000,2.533744,789.345805
22,10000,10000,10000,2.454105,814.961203
22,10000,10000,10000,2.424817,824.804556
22,10000,10000,10000,2.453619,815.122631
22,10000,10000,10000,2.425575,824.546630
22,10000,10000,10000,2.406200,831.186042
23,10000,10000,10000,2.433798,821.760913
23,10000,10000,10000,2.440098,819.639079
23,10000,10000,10000,2.496311,801.182128
23,10000,10000,10000,2.450404,816.191823
23,10000,10000,10000,2.491292,802.796184
24,10000,10000,10000,2.141769,933.807718
24,10000,10000,10000,2.155223,927.978364
24,10000,10000,10000,2.202053,908.243252
24,10000,10000,10000,2.233286,895.541539
24,10000,10000,10000,2.147285,931.408804
25,10000,10000,10000,2.058208,971.719255
25,10000,10000,10000,1.966497,1017.037018
25,10000,10000,10000,1.979136,1010.541941
25,10000,10000,10000,1.955881,1022.557312
25,10000,10000,10000,2.033795,983.383519
26,10000,10000,10000,2.143684,932.973303
26,10000,10000,10000,2.162634,924.798351
26,10000,10000,10000,2.161553,925.260770
26,10000,10000,10000,2.173085,920.350569
26,10000,10000,10000,2.166475,923.158791
27,10000,10000,10000,1.791661,1116.282316
27,10000,10000,10000,1.808317,1106.000518
27,10000,10000,10000,1.817980,1100.122002
