cores,m,k,n,time,GFLOPS
1,10000,10000,10000,20.738776,96.437705
1,10000,10000,10000,20.695473,96.639493
1,10000,10000,10000,20.772586,96.280744
1,10000,10000,10000,20.721436,96.518407
1,10000,10000,10000,20.762406,96.327950
2,10000,10000,10000,10.776430,185.590214
2,10000,10000,10000,10.794520,185.279205
2,10000,10000,10000,10.779607,185.535514
2,10000,10000,10000,10.783012,185.476939
2,10000,10000,10000,10.834123,184.601929
3,10000,10000,10000,7.149382,279.744475
3,10000,10000,10000,7.331393,272.799457
3,10000,10000,10000,7.270306,275.091580
3,10000,10000,10000,7.167537,279.035892
3,10000,10000,10000,7.184481,278.377798
4,10000,10000,10000,5.554668,360.057509
4,10000,10000,10000,5.527929,361.799176
4,10000,10000,10000,5.592394,357.628617
4,10000,10000,10000,5.532478,361.501635
4,10000,10000,10000,5.496685,363.855672
5,10000,10000,10000,4.453753,449.059434
5,10000,10000,10000,4.452126,449.223626
5,10000,10000,10000,4.549912,439.568900
5,10000,10000,10000,4.538343,440.689435
5,10000,10000,10000,4.425995,451.875807
6,10000,10000,10000,3.734949,535.482532
6,10000,10000,10000,3.762166,531.608604
6,10000,10000,10000,3.724692,536.957084
6,10000,10000,10000,3.737753,535.080831
6,10000,10000,10000,3.726179,536.742796
7,10000,10000,10000,3.202431,624.525487
7,10000,10000,10000,3.194326,626.110197
7,10000,10000,10000,3.195140,625.950711
7,10000,10000,10000,3.195604,625.859790
7,10000,10000,10000,3.190974,626.767930
8,10000,10000,10000,2.705386,739.265917
8,10000,10000,10000,2.729660,732.692067
8,10000,10000,10000,2.749600,727.378628
8,10000,10000,10000,2.740214,729.870025
8,10000,10000,10000,2.751631,726.841699
9,10000,10000,10000,2.490062,803.192727
9,10000,10000,10000,2.447239,817.247445
9,10000,10000,10000,2.460023,813.000402
9,10000,10000,10000,2.474115,808.369784
9,10000,10000,10000,2.470828,809.445343
10,10000,10000,10000,2.333150,857.210219
10,10000,10000,10000,2.316621,863.326301
10,10000,10000,10000,2.334191,856.827845
10,10000,10000,10000,2.317329,863.062498
10,10000,10000,10000,2.335045,856.514476
11,10000,10000,10000,2.081573,960.811877
11,10000,10000,10000,2.064687,968.669970
11,10000,10000,10000,2.062626,969.637516
11,10000,10000,10000,2.067322,967.435006
11,10000,10000,10000,2.060643,970.570939
12,10000,10000,10000,1.836829,1088.832849
12,10000,10000,10000,1.834251,1090.363577
12,10000,10000,10000,1.833755,1090.658412
12,10000,10000,10000,1.842298,1085.600902
12,10000,10000,10000,1.833639,1090.727323
13,10000,10000,10000,1.833730,1090.673229
13,10000,10000,10000,1.838406,1087.899215
13,10000,10000,10000,1.836224,1089.191883
13,10000,10000,10000,1.823198,1096.973616
13,10000,10000,10000,1.837153,1088.641217
14,10000,10000,10000,1.653112,1209.839647
14,10000,10000,10000,1.654765,1208.630751
14,10000,10000,10000,1.682782,1188.508255
14,10000,10000,10000,1.648371,1213.318842
14,10000,10000,10000,1.648689,1213.084909
15,10000,10000,10000,1.545003,1294.495829
15,10000,10000,10000,1.527275,1309.522132
15,10000,10000,10000,1.544173,1295.191873
15,10000,10000,10000,1.527837,1309.039762
15,10000,10000,10000,1.513303,1321.612244
16,10000,10000,10000,1.425908,1402.614722
16,10000,10000,10000,1.410875,1417.560269
16,10000,10000,10000,1.419105,1409.339315
16,10000,10000,10000,1.416546,1411.884587
16,10000,10000,10000,1.403953,1424.549595
17,10000,10000,10000,1.406444,1422.025768
17,10000,10000,10000,1.420607,1407.849148
17,10000,10000,10000,1.409008,1419.437880
17,10000,10000,10000,1.425122,1403.388207
17,10000,10000,10000,1.406467,1422.002795
18,10000,10000,10000,1.274387,1569.381697
18,10000,10000,10000,1.283150,1558.664131
18,10000,10000,10000,1.279759,1562.794018
18,10000,10000,10000,1.280179,1562.281016
18,10000,10000,10000,1.277620,1565.410853
19,10000,10000,10000,1.279173,1563.509977
19,10000,10000,10000,1.266945,1578.600520
19,10000,10000,10000,1.279154,1563.533597
19,10000,10000,10000,1.272909,1571.204284
19,10000,10000,10000,1.278852,1563.903073
20,10000,10000,10000,1.129428,1770.807141
20,10000,10000,10000,1.150451,1738.448948
20,10000,10000,10000,1.135453,1761.412052
20,10000,10000,10000,1.128839,1771.732386
20,10000,10000,10000,1.146934,1743.778961
21,10000,10000,10000,1.126602,1775.249415
21,10000,10000,10000,1.109045,1803.353771
21,10000,10000,10000,1.122871,1781.148583
21,10000,10000,10000,1.118387,1788.290243
21,10000,10000,10000,1.121195,1783.810611
22,10000,10000,10000,1.119375,1786.712064
22,10000,10000,10000,1.132832,1765.486447
22,10000,10000,10000,1.132768,1765.586379
22,10000,10000,10000,1.136474,1759.828997
22,10000,10000,10000,1.142727,1750.198818
23,10000,10000,10000,1.128525,1772.224541
23,10000,10000,10000,1.139473,1755.197097
23,10000,10000,10000,1.131643,1767.342003
23,10000,10000,10000,1.141750,1751.697449
23,10000,10000,10000,1.127136,1774.409381
24,10000,10000,10000,1.032667,1936.733434
24,10000,10000,10000,1.045034,1913.813757
24,10000,10000,10000,1.048161,1908.104717
24,10000,10000,10000,1.036067,1930.376704
24,10000,10000,10000,1.042064,1919.268082
25,10000,10000,10000,0.993251,2013.589747
25,10000,10000,10000,0.991877,2016.379996
25,10000,10000,10000,0.986520,2027.327489
25,10000,10000,10000,0.989090,2022.061336
25,10000,10000,10000,1.000922,1998.157210
26,10000,10000,10000,1.034900,1932.553037
26,10000,10000,10000,1.034639,1933.042006
26,10000,10000,10000,1.037417,1927.864972
26,10000,10000,10000,1.039730,1923.576955
26,10000,10000,10000,1.046496,1911.140407
27,10000,10000,10000,0.944538,2117.436698
27,10000,10000,10000,0.925732,2160.451559
27,10000,10000,10000,0.943373,2120.052618
27,10000,10000,10000,0.942444,2122.142453
27,10000,10000,10000,0.943631,2119.472737
28,10000,10000,10000,0.916823,2181.447191
28,10000,10000,10000,0.901940,2217.441507
28,10000,10000,10000,0.909810,2198.261562
28,10000,10000,10000,0.915978,2183.458200
28,10000,10000,10000,0.920922,2171.737409
29,10000,10000,10000,0.915164,2185.401426
29,10000,10000,10000,0.911762,2193.554892
29,10000,10000,10000,0.911729,2193.635277
29,10000,10000,10000,0.902696,2215.584751
29,10000,10000,10000,0.910310,2197.053300
30,10000,10000,10000,0.868080,2303.935076
30,10000,10000,10000,0.868899,2301.764296
30,10000,10000,10000,0.868412,2303.053504
30,10000,10000,10000,0.861332,2321.984107
30,10000,10000,10000,0.866102,2309.197033
