m,k,n,time,GFLOPS
2000,2000,2000,0.028864,554.321171
2000,2000,2000,0.027662,578.401302
2000,2000,2000,0.027925,572.967706
2000,2000,2000,0.028388,563.618966
2000,2000,2000,0.026254,609.440554
2000,2000,2000,0.027971,572.024682
2000,2000,2000,0.030177,530.207530
2000,2000,2000,0.027636,578.951530
2000,2000,2000,0.026789,597.264618
2000,2000,2000,0.029143,549.012621
3000,3000,3000,0.058183,928.107440
3000,3000,3000,0.061479,878.347919
3000,3000,3000,0.063708,847.610974
3000,3000,3000,0.061687,875.390980
3000,3000,3000,0.060097,898.549038
3000,3000,3000,0.058656,920.622920
3000,3000,3000,0.062185,868.380640
3000,3000,3000,0.061539,877.495060
3000,3000,3000,0.063883,845.301736
3000,3000,3000,0.052262,1033.261985
4000,4000,4000,0.096398,1327.829108
4000,4000,4000,0.108490,1179.837593
4000,4000,4000,0.109305,1171.038219
4000,4000,4000,0.111144,1151.660943
4000,4000,4000,0.107516,1190.516107
4000,4000,4000,0.110287,1160.612493
4000,4000,4000,0.111785,1145.050364
4000,4000,4000,0.109521,1168.726572
4000,4000,4000,0.108558,1179.094474
4000,4000,4000,0.106266,1204.519689
5000,5000,5000,0.184318,1356.351361
5000,5000,5000,0.189889,1316.557442
5000,5000,5000,0.181544,1377.076776
5000,5000,5000,0.174184,1435.265284
5000,5000,5000,0.176242,1418.507998
5000,5000,5000,0.187994,1329.826393
5000,5000,5000,0.208185,1200.855199
5000,5000,5000,0.184623,1354.107164
5000,5000,5000,0.185786,1345.631226
5000,5000,5000,0.182225,1371.930080
6000,6000,6000,0.283289,1524.946052
6000,6000,6000,0.285707,1512.040378
6000,6000,6000,0.283415,1524.267654
6000,6000,6000,0.282856,1527.279276
6000,6000,6000,0.287706,1501.532982
6000,6000,6000,0.287073,1504.841231
6000,6000,6000,0.319402,1352.528722
6000,6000,6000,0.284681,1517.490506
6000,6000,6000,0.286617,1507.240375
6000,6000,6000,0.289518,1492.135802
7000,7000,7000,0.435644,1574.681241
7000,7000,7000,0.445601,1539.493116
7000,7000,7000,0.450333,1523.316300
7000,7000,7000,0.439674,1560.246779
7000,7000,7000,0.417959,1641.307387
7000,7000,7000,0.436220,1572.599626
7000,7000,7000,0.428737,1600.048059
7000,7000,7000,0.443268,1547.594980
7000,7000,7000,0.453339,1513.216719
7000,7000,7000,0.446859,1535.158208
8000,8000,8000,0.628958,1628.089310
8000,8000,8000,0.627610,1631.586401
8000,8000,8000,0.596950,1715.386583
8000,8000,8000,0.602142,1700.594544
8000,8000,8000,0.665246,1539.281194
8000,8000,8000,0.655933,1561.135419
8000,8000,8000,0.635461,1611.429002
8000,8000,8000,0.621780,1646.884907
8000,8000,8000,0.616273,1661.600767
8000,8000,8000,0.620703,1649.742765
9000,9000,9000,0.854296,1706.669260
9000,9000,9000,0.822727,1772.156027
9000,9000,9000,0.859317,1696.697084
9000,9000,9000,0.824859,1767.574608
9000,9000,9000,0.834109,1747.973379
9000,9000,9000,0.878787,1659.104701
9000,9000,9000,0.850203,1714.884720
9000,9000,9000,0.882339,1652.426558
9000,9000,9000,0.840451,1734.782177
9000,9000,9000,0.858376,1698.557092
10000,10000,10000,1.195974,1672.277502
10000,10000,10000,1.118369,1788.319203
10000,10000,10000,1.194720,1674.032625
10000,10000,10000,1.234561,1620.009350
10000,10000,10000,1.198386,1668.910950
10000,10000,10000,1.164283,1717.795885
10000,10000,10000,1.167491,1713.075423
10000,10000,10000,1.173709,1704.000385
10000,10000,10000,1.167156,1713.567681
10000,10000,10000,1.161531,1721.865978
11000,11000,11000,1.655824,1607.658993
11000,11000,11000,1.687398,1577.576528
11000,11000,11000,1.648580,1614.723190
11000,11000,11000,1.658194,1605.361157
11000,11000,11000,1.733580,1535.550534
11000,11000,11000,1.662027,1601.658676
11000,11000,11000,1.648907,1614.402418
11000,11000,11000,1.827578,1456.572362
11000,11000,11000,1.658882,1604.695053
11000,11000,11000,1.670578,1593.460761
12000,12000,12000,2.040195,1693.955556
12000,12000,12000,2.024427,1707.149702
12000,12000,12000,1.884432,1833.974230
12000,12000,12000,1.885191,1833.236454
12000,12000,12000,1.927109,1793.359822
12000,12000,12000,1.917524,1802.324000
12000,12000,12000,1.930845,1789.890338
12000,12000,12000,1.917283,1802.550864
12000,12000,12000,1.927138,1793.333369
12000,12000,12000,1.943355,1778.367798
13000,13000,13000,2.444142,1797.767764
13000,13000,13000,2.483103,1769.560123
13000,13000,13000,2.402198,1829.158251
13000,13000,13000,2.434901,1804.590713
13000,13000,13000,2.410816,1822.619560
13000,13000,13000,2.492741,1762.718236
13000,13000,13000,2.416483,1818.344772
13000,13000,13000,2.415737,1818.906927
13000,13000,13000,2.419196,1816.306183
13000,13000,13000,2.567720,1711.245790
14000,14000,14000,2.940432,1866.392266
14000,14000,14000,3.064854,1790.623888
14000,14000,14000,2.866013,1914.855112
14000,14000,14000,2.933729,1870.657023
14000,14000,14000,3.045236,1802.158926
14000,14000,14000,3.105959,1766.926199
14000,14000,14000,2.919726,1879.628705
14000,14000,14000,3.022755,1815.562288
14000,14000,14000,3.293104,1666.512765
14000,14000,14000,2.963964,1851.574153
15000,15000,15000,3.724751,1812.201700
15000,15000,15000,3.674115,1837.177327
15000,15000,15000,3.646024,1851.331861
15000,15000,15000,3.750183,1799.912126
15000,15000,15000,3.734221,1807.606126
15000,15000,15000,3.643470,1852.629397
15000,15000,15000,3.740938,1804.360454
15000,15000,15000,3.805576,1773.712886
15000,15000,15000,3.678822,1834.826673
15000,15000,15000,3.630201,1859.401252
16000,16000,16000,4.280247,1913.908298
16000,16000,16000,4.576371,1790.064633
16000,16000,16000,4.440473,1844.848469
16000,16000,16000,4.541733,1803.716845
16000,16000,16000,4.619087,1773.510838
16000,16000,16000,4.474081,1830.990732
16000,16000,16000,4.385221,1868.093062
16000,16000,16000,4.702691,1741.981468
16000,16000,16000,4.604451,1779.147950
16000,16000,16000,4.483770,1827.033755
17000,17000,17000,5.332860,1842.538603
17000,17000,17000,5.377645,1827.193820
17000,17000,17000,5.224181,1880.869076
17000,17000,17000,5.466391,1797.529572
17000,17000,17000,5.510080,1783.277312
17000,17000,17000,5.251260,1871.170071
17000,17000,17000,5.525562,1778.280511
17000,17000,17000,5.193186,1892.094674
17000,17000,17000,5.393390,1821.859706
17000,17000,17000,5.226682,1879.968845
18000,18000,18000,6.412269,1819.012852
18000,18000,18000,6.210442,1878.127299
18000,18000,18000,6.137070,1900.581113
18000,18000,18000,6.258157,1863.807432
18000,18000,18000,6.090079,1915.246198
18000,18000,18000,6.193068,1883.396138
18000,18000,18000,6.489873,1797.261749
18000,18000,18000,6.324818,1844.163719
18000,18000,18000,6.250969,1865.950576
18000,18000,18000,6.380713,1828.008817
19000,19000,19000,7.460368,1838.783376
19000,19000,19000,7.428777,1846.602732
19000,19000,19000,7.740532,1772.229559
19000,19000,19000,7.517145,1824.894964
19000,19000,19000,7.346850,1867.194845
19000,19000,19000,7.643499,1794.727685
19000,19000,19000,7.384425,1857.693631
19000,19000,19000,7.387447,1856.933919
19000,19000,19000,7.426634,1847.135700
19000,19000,19000,7.229308,1897.553783
20000,20000,20000,8.829789,1812.047931
20000,20000,20000,8.979286,1781.878780
20000,20000,20000,8.747340,1829.127538
20000,20000,20000,8.968956,1783.931199
20000,20000,20000,8.690028,1841.190888
20000,20000,20000,8.746313,1829.342313
20000,20000,20000,9.322366,1716.302425
20000,20000,20000,9.008341,1776.131687
20000,20000,20000,8.647960,1850.147212
20000,20000,20000,8.658322,1847.933094
