m,k,n,time,GFLOPS
2000,2000,2000,0.021271,752.192418
2000,2000,2000,0.019479,821.409083
2000,2000,2000,0.019478,821.444971
2000,2000,2000,0.019812,807.595965
2000,2000,2000,0.022627,707.123469
2000,2000,2000,0.021418,747.043017
2000,2000,2000,0.021825,733.108269
2000,2000,2000,0.021106,758.061570
2000,2000,2000,0.022732,703.855394
2000,2000,2000,0.021702,737.273847
3000,3000,3000,0.038152,1415.403125
3000,3000,3000,0.036239,1490.116060
3000,3000,3000,0.039154,1379.184827
3000,3000,3000,0.034769,1553.116007
3000,3000,3000,0.039029,1383.573128
3000,3000,3000,0.038154,1415.320286
3000,3000,3000,0.039532,1365.985721
3000,3000,3000,0.038503,1402.484002
3000,3000,3000,0.035305,1529.538880
3000,3000,3000,0.038593,1399.233391
4000,4000,4000,0.064047,1998.523060
4000,4000,4000,0.064714,1977.941196
4000,4000,4000,0.065012,1968.869891
4000,4000,4000,0.066645,1920.637834
4000,4000,4000,0.066299,1930.638377
4000,4000,4000,0.067708,1890.458086
4000,4000,4000,0.067287,1902.295205
4000,4000,4000,0.058268,2196.762621
4000,4000,4000,0.067708,1890.479585
4000,4000,4000,0.066753,1917.519487
5000,5000,5000,0.091878,2720.988214
5000,5000,5000,0.092676,2697.561762
5000,5000,5000,0.101864,2454.242995
5000,5000,5000,0.101182,2470.804407
5000,5000,5000,0.104150,2400.390376
5000,5000,5000,0.102170,2446.909431
5000,5000,5000,0.101753,2456.936923
5000,5000,5000,0.102182,2446.609620
5000,5000,5000,0.091211,2740.905202
5000,5000,5000,0.103366,2418.593621
6000,6000,6000,0.150699,2866.636201
6000,6000,6000,0.154106,2803.268759
6000,6000,6000,0.152228,2837.846142
6000,6000,6000,0.149531,2889.030126
6000,6000,6000,0.150776,2865.179496
6000,6000,6000,0.146581,2947.172888
6000,6000,6000,0.149365,2892.237016
6000,6000,6000,0.151022,2860.505124
6000,6000,6000,0.146240,2954.052907
6000,6000,6000,0.151918,2843.646838
7000,7000,7000,0.225506,3042.052990
7000,7000,7000,0.226019,3035.143493
7000,7000,7000,0.233218,2941.458093
7000,7000,7000,0.220637,3109.175540
7000,7000,7000,0.222476,3083.473609
7000,7000,7000,0.226020,3035.128305
7000,7000,7000,0.225496,3042.185467
