cores,m,k,n,time,GFLOPS
1,10000,10000,10000,44.639967,44.802900
1,10000,10000,10000,44.530261,44.913278
1,10000,10000,10000,44.440701,45.003791
1,10000,10000,10000,44.532035,44.911489
1,10000,10000,10000,44.498448,44.945387
2,10000,10000,10000,22.834611,87.586339
2,10000,10000,10000,22.775332,87.814309
2,10000,10000,10000,22.903271,87.323770
2,10000,10000,10000,22.819889,87.642843
2,10000,10000,10000,22.800302,87.718137
3,10000,10000,10000,15.606535,128.151443
3,10000,10000,10000,15.269555,130.979591
3,10000,10000,10000,15.585802,128.321915
3,10000,10000,10000,15.529691,128.785564
3,10000,10000,10000,15.610028,128.122771
4,10000,10000,10000,11.653259,171.625805
4,10000,10000,10000,11.559061,173.024441
4,10000,10000,10000,11.561949,172.981223
4,10000,10000,10000,11.568246,172.887052
4,10000,10000,10000,11.716807,170.694965
5,10000,10000,10000,9.324199,214.495631
5,10000,10000,10000,9.405136,212.649779
5,10000,10000,10000,9.450683,211.624912
5,10000,10000,10000,9.421479,212.280888
5,10000,10000,10000,9.444179,211.770667
6,10000,10000,10000,7.609996,262.812241
6,10000,10000,10000,7.605525,262.966727
6,10000,10000,10000,7.658212,261.157575
6,10000,10000,10000,7.618579,262.516157
6,10000,10000,10000,7.626092,262.257510
7,10000,10000,10000,6.833324,292.683331
7,10000,10000,10000,6.830249,292.815090
7,10000,10000,10000,6.860984,291.503374
7,10000,10000,10000,6.737261,296.856544
7,10000,10000,10000,6.835042,292.609774
8,10000,10000,10000,5.848271,341.981421
8,10000,10000,10000,5.859404,341.331655
8,10000,10000,10000,5.869380,340.751469
8,10000,10000,10000,5.826244,343.274301
8,10000,10000,10000,5.824908,343.353083
9,10000,10000,10000,5.351788,373.706916
9,10000,10000,10000,5.373668,372.185277
9,10000,10000,10000,5.385185,371.389302
9,10000,10000,10000,5.402774,370.180208
9,10000,10000,10000,5.425970,368.597722
10,10000,10000,10000,4.711012,424.537206
10,10000,10000,10000,4.697825,425.728946
10,10000,10000,10000,4.706406,424.952707
10,10000,10000,10000,4.696994,425.804292
10,10000,10000,10000,4.705787,425.008598
11,10000,10000,10000,4.523392,442.146045
11,10000,10000,10000,4.513337,443.131140
11,10000,10000,10000,4.551299,439.435027
11,10000,10000,10000,4.524453,442.042365
11,10000,10000,10000,4.522852,442.198905
12,10000,10000,10000,3.964099,504.528291
12,10000,10000,10000,3.975638,503.063962
12,10000,10000,10000,3.974847,503.163958
12,10000,10000,10000,3.982318,502.220052
12,10000,10000,10000,3.989182,501.355920
13,10000,10000,10000,3.927068,509.285770
13,10000,10000,10000,3.875898,516.009448
13,10000,10000,10000,3.919364,510.286867
13,10000,10000,10000,3.906594,511.954860
13,10000,10000,10000,3.867178,517.172960
14,10000,10000,10000,3.448977,579.882025
14,10000,10000,10000,3.473371,575.809532
14,10000,10000,10000,3.476914,575.222756
14,10000,10000,10000,3.461847,577.726232
14,10000,10000,10000,3.495961,572.088744
15,10000,10000,10000,3.437339,581.845354
15,10000,10000,10000,3.480310,574.661528
15,10000,10000,10000,3.488921,573.243059
15,10000,10000,10000,3.504046,570.768780
15,10000,10000,10000,3.480017,574.709767
16,10000,10000,10000,3.234038,618.421980
16,10000,10000,10000,3.224013,620.344874
16,10000,10000,10000,3.231913,618.828468
16,10000,10000,10000,3.250556,615.279295
16,10000,10000,10000,3.248166,615.731984
17,10000,10000,10000,3.217870,621.529132
17,10000,10000,10000,3.244296,616.466496
17,10000,10000,10000,3.247135,615.927498
17,10000,10000,10000,3.216761,621.743434
17,10000,10000,10000,3.237678,617.726606
18,10000,10000,10000,2.935357,681.348066
18,10000,10000,10000,2.933428,681.796119
18,10000,10000,10000,2.910698,687.120520
18,10000,10000,10000,2.937792,680.783287
18,10000,10000,10000,2.947042,678.646539
19,10000,10000,10000,2.991000,668.672714
19,10000,10000,10000,2.997536,667.214614
19,10000,10000,10000,2.997733,667.170825
19,10000,10000,10000,2.991213,668.625158
19,10000,10000,10000,3.004976,665.562633
20,10000,10000,10000,2.698276,741.214067
20,10000,10000,10000,2.698391,741.182396
