cores,m,k,n,time,GFLOPS
1,10000,10000,10000,29.701253,67.337226
1,10000,10000,10000,29.708604,67.320564
1,10000,10000,10000,29.697517,67.345697
1,10000,10000,10000,29.705587,67.327402
1,10000,10000,10000,29.680966,67.383251
1,10000,10000,10000,29.695233,67.350877
1,10000,10000,10000,29.688311,67.366580
1,10000,10000,10000,29.694379,67.352813
1,10000,10000,10000,29.687473,67.368482
1,10000,10000,10000,29.697526,67.345678
1,10000,10000,10000,29.685084,67.373904
1,10000,10000,10000,29.693728,67.354292
2,10000,10000,10000,16.183328,123.583974
2,10000,10000,10000,16.227037,123.251091
2,10000,10000,10000,15.528991,128.791370
2,10000,10000,10000,16.207698,123.398155
2,10000,10000,10000,16.030387,124.763054
2,10000,10000,10000,16.300489,122.695703
2,10000,10000,10000,15.966541,125.261946
2,10000,10000,10000,16.204391,123.423339
2,10000,10000,10000,16.178622,123.619919
2,10000,10000,10000,16.190152,123.531883
2,10000,10000,10000,16.309580,122.627311
2,10000,10000,10000,16.190063,123.532564
3,10000,10000,10000,10.270946,194.724036
3,10000,10000,10000,10.114580,197.734353
3,10000,10000,10000,10.247217,195.174952
3,10000,10000,10000,10.173576,196.587708
3,10000,10000,10000,10.262871,194.877245
3,10000,10000,10000,10.284628,194.464978
3,10000,10000,10000,10.166938,196.716052
3,10000,10000,10000,10.165910,196.735953
3,10000,10000,10000,10.293844,194.290888
3,10000,10000,10000,10.255109,195.024744
3,10000,10000,10000,10.111264,197.799205
3,10000,10000,10000,10.243116,195.253079
4,10000,10000,10000,7.770610,257.380059
4,10000,10000,10000,7.761078,257.696148
4,10000,10000,10000,7.648561,261.487080
4,10000,10000,10000,7.766214,257.525724
4,10000,10000,10000,7.770195,257.393781
4,10000,10000,10000,7.764628,257.578334
4,10000,10000,10000,7.762994,257.632572
4,10000,10000,10000,7.767631,257.478754
4,10000,10000,10000,7.762126,257.661376
4,10000,10000,10000,7.768786,257.440484
4,10000,10000,10000,7.767791,257.473462
4,10000,10000,10000,7.764332,257.588146
5,10000,10000,10000,6.102145,327.753616
5,10000,10000,10000,6.046055,330.794200
5,10000,10000,10000,6.042624,330.982016
5,10000,10000,10000,6.043388,330.940219
5,10000,10000,10000,6.107531,327.464566
5,10000,10000,10000,6.041363,331.051135
5,10000,10000,10000,6.040835,331.080083
5,10000,10000,10000,6.037984,331.236369
5,10000,10000,10000,6.055886,330.257186
5,10000,10000,10000,6.036185,331.335120
5,10000,10000,10000,5.968962,335.066658
5,10000,10000,10000,6.042171,331.006856
6,10000,10000,10000,5.049602,396.070827
6,10000,10000,10000,5.044515,396.470187
6,10000,10000,10000,5.053913,395.732940
6,10000,10000,10000,5.049722,396.061433
6,10000,10000,10000,5.010313,399.176650
6,10000,10000,10000,5.003183,399.745557
6,10000,10000,10000,4.983302,401.340330
6,10000,10000,10000,5.048238,396.177822
6,10000,10000,10000,5.049729,396.060853
6,10000,10000,10000,5.047550,396.231822
6,10000,10000,10000,5.046628,396.304218
6,10000,10000,10000,5.012526,399.000420
7,10000,10000,10000,4.279225,467.374398
7,10000,10000,10000,4.276756,467.644115
7,10000,10000,10000,4.275468,467.785102
7,10000,10000,10000,4.277770,467.533311
7,10000,10000,10000,4.278601,467.442490
7,10000,10000,10000,4.275909,467.736856
7,10000,10000,10000,4.257579,469.750565
7,10000,10000,10000,4.282098,467.060753
7,10000,10000,10000,4.280218,467.265918
7,10000,10000,10000,4.281379,467.139218
7,10000,10000,10000,4.256441,469.876158
7,10000,10000,10000,4.278472,467.456642
8,10000,10000,10000,3.745316,534.000357
8,10000,10000,10000,3.704211,539.926085
8,10000,10000,10000,3.734315,535.573407
8,10000,10000,10000,3.706252,539.628718
8,10000,10000,10000,3.708775,539.261644
8,10000,10000,10000,3.745999,533.902928
8,10000,10000,10000,3.766354,531.017599
8,10000,10000,10000,3.744805,534.073229
8,10000,10000,10000,3.709688,539.128881
8,10000,10000,10000,3.736028,535.327902
8,10000,10000,10000,3.737992,535.046567
8,10000,10000,10000,3.744491,534.117964
9,10000,10000,10000,3.296304,606.740150
9,10000,10000,10000,3.296710,606.665403
9,10000,10000,10000,3.295436,606.900028
9,10000,10000,10000,3.296192,606.760855
9,10000,10000,10000,3.298724,606.294989
9,10000,10000,10000,3.296839,606.641698
9,10000,10000,10000,3.294220,607.124002
9,10000,10000,10000,3.295981,606.799528
9,10000,10000,10000,3.294419,607.087292
9,10000,10000,10000,3.292684,607.407211
9,10000,10000,10000,3.296078,606.781736
9,10000,10000,10000,3.294602,607.053641
10,10000,10000,10000,2.977542,671.694932
10,10000,10000,10000,2.978833,671.403826
10,10000,10000,10000,2.978387,671.504419
10,10000,10000,10000,2.978811,671.408734
10,10000,10000,10000,2.978440,671.492370
