cores,m,k,n,time,GFLOPS
1,10000,10000,10000,37.855480,52.832509
1,10000,10000,10000,37.436416,53.423918
1,10000,10000,10000,37.634191,53.143165
1,10000,10000,10000,37.718503,53.024374
1,10000,10000,10000,37.479340,53.362732
2,10000,10000,10000,19.413200,103.022685
2,10000,10000,10000,19.482464,102.656420
2,10000,10000,10000,19.468940,102.727728
2,10000,10000,10000,19.508502,102.519403
2,10000,10000,10000,19.614574,101.964997
3,10000,10000,10000,19.374126,103.230462
3,10000,10000,10000,19.381493,103.191227
3,10000,10000,10000,19.431361,102.926400
3,10000,10000,10000,19.432379,102.921006
3,10000,10000,10000,19.309325,103.576898
4,10000,10000,10000,12.904661,154.982759
4,10000,10000,10000,13.049184,153.266289
4,10000,10000,10000,13.030379,153.487475
4,10000,10000,10000,12.939825,154.561593
4,10000,10000,10000,12.880871,155.268999
5,10000,10000,10000,9.769804,204.712399
5,10000,10000,10000,9.725113,205.653135
5,10000,10000,10000,9.714346,205.881076
5,10000,10000,10000,9.813081,203.809579
5,10000,10000,10000,9.746744,205.196721
6,10000,10000,10000,6.612981,302.435455
6,10000,10000,10000,6.549581,305.363024
6,10000,10000,10000,6.609202,302.608412
6,10000,10000,10000,6.596390,303.196133
6,10000,10000,10000,6.625532,301.862531
7,10000,10000,10000,6.618992,302.160807
7,10000,10000,10000,6.606124,302.749390
7,10000,10000,10000,6.591688,303.412426
7,10000,10000,10000,6.564379,304.674690
7,10000,10000,10000,6.617242,302.240728
8,10000,10000,10000,4.848485,412.499980
8,10000,10000,10000,4.817452,415.157184
8,10000,10000,10000,4.869294,410.737173
8,10000,10000,10000,4.840004,413.222791
8,10000,10000,10000,4.866016,411.013878
9,10000,10000,10000,4.818624,415.056234
9,10000,10000,10000,4.873774,410.359643
9,10000,10000,10000,4.838744,413.330431
9,10000,10000,10000,4.823538,414.633402
9,10000,10000,10000,4.850602,412.319940
10,10000,10000,10000,4.299960,465.120558
10,10000,10000,10000,4.288598,466.352923
10,10000,10000,10000,4.290040,466.196134
10,10000,10000,10000,4.299105,465.213068
10,10000,10000,10000,4.277450,467.568279
11,10000,10000,10000,3.823039,523.144047
11,10000,10000,10000,3.858897,518.282758
11,10000,10000,10000,3.853457,519.014502
11,10000,10000,10000,3.873429,516.338367
11,10000,10000,10000,3.836617,521.292549
12,10000,10000,10000,3.260248,613.450316
12,10000,10000,10000,3.228954,619.395628
12,10000,10000,10000,3.249240,615.528545
