cores,m,k,n,time,GFLOPS
1,10000,10000,10000,15.007198,133.269384
1,10000,10000,10000,15.011987,133.226865
1,10000,10000,10000,15.006719,133.273631
1,10000,10000,10000,15.008328,133.259346
1,10000,10000,10000,15.005532,133.284183
1,10000,10000,10000,15.005242,133.286753
1,10000,10000,10000,15.013151,133.216539
1,10000,10000,10000,15.006810,133.272826
1,10000,10000,10000,15.014745,133.202394
1,10000,10000,10000,15.005905,133.280867
1,10000,10000,10000,15.010898,133.236532
1,10000,10000,10000,15.010822,133.237210
2,10000,10000,10000,8.286553,241.354877
2,10000,10000,10000,8.299584,240.975922
2,10000,10000,10000,8.293213,241.161066
2,10000,10000,10000,8.270794,241.814739
2,10000,10000,10000,8.297719,241.030104
2,10000,10000,10000,8.294949,241.110574
2,10000,10000,10000,8.270031,241.837049
2,10000,10000,10000,8.296432,241.067487
2,10000,10000,10000,8.300621,240.945832
2,10000,10000,10000,8.305671,240.799341
2,10000,10000,10000,8.299974,240.964604
2,10000,10000,10000,8.289655,241.264573
3,10000,10000,10000,5.208131,384.014935
3,10000,10000,10000,5.254335,380.638047
3,10000,10000,10000,5.254561,380.621745
3,10000,10000,10000,5.255260,380.571055
3,10000,10000,10000,5.253373,380.707817
3,10000,10000,10000,5.249490,380.989361
3,10000,10000,10000,5.249662,380.976885
3,10000,10000,10000,5.255689,380.540032
3,10000,10000,10000,5.258136,380.362904
3,10000,10000,10000,5.253073,380.729518
3,10000,10000,10000,5.257359,380.419176
3,10000,10000,10000,5.255345,380.564934
4,10000,10000,10000,3.973372,503.350778
4,10000,10000,10000,3.972416,503.472001
4,10000,10000,10000,3.967667,504.074517
4,10000,10000,10000,3.972621,503.445937
4,10000,10000,10000,3.976900,502.904255
4,10000,10000,10000,3.960934,504.931425
4,10000,10000,10000,3.974376,503.223670
4,10000,10000,10000,3.973099,503.385430
4,10000,10000,10000,3.957595,505.357434
4,10000,10000,10000,3.973600,503.321883
4,10000,10000,10000,3.974316,503.231200
4,10000,10000,10000,3.980144,502.494429
5,10000,10000,10000,3.115155,642.022529
5,10000,10000,10000,3.119149,641.200608
5,10000,10000,10000,3.120319,640.960109
5,10000,10000,10000,3.113922,642.276920
5,10000,10000,10000,3.116666,641.711319
5,10000,10000,10000,3.117245,641.592081
5,10000,10000,10000,3.116597,641.725616
5,10000,10000,10000,3.113829,642.296068
5,10000,10000,10000,3.109861,643.115649
5,10000,10000,10000,3.119409,641.147116
5,10000,10000,10000,3.114797,642.096474
5,10000,10000,10000,3.120723,640.877059
6,10000,10000,10000,2.599069,769.506294
6,10000,10000,10000,2.607634,766.978692
6,10000,10000,10000,2.596397,770.298336
6,10000,10000,10000,2.601473,768.795104
6,10000,10000,10000,2.590992,771.905173
6,10000,10000,10000,2.602288,768.554434
6,10000,10000,10000,2.601918,768.663703
6,10000,10000,10000,2.602000,768.639629
6,10000,10000,10000,2.599481,769.384400
6,10000,10000,10000,2.600870,768.973487
6,10000,10000,10000,2.599755,769.303352
6,10000,10000,10000,2.600361,769.123950
7,10000,10000,10000,2.217298,901.998798
7,10000,10000,10000,2.217871,901.765846
7,10000,10000,10000,2.221163,900.429377
7,10000,10000,10000,2.215805,902.606389
7,10000,10000,10000,2.219323,901.175606
7,10000,10000,10000,2.220210,900.815637
7,10000,10000,10000,2.218017,901.706229
7,10000,10000,10000,2.224906,898.914198
7,10000,10000,10000,2.212929,903.779541
7,10000,10000,10000,2.208899,905.428556
7,10000,10000,10000,2.215077,902.903351
7,10000,10000,10000,2.221308,900.370572
8,10000,10000,10000,1.944729,1028.421031
8,10000,10000,10000,1.944219,1028.690880
8,10000,10000,10000,1.948288,1026.542129
8,10000,10000,10000,1.939001,1031.458957
8,10000,10000,10000,1.941233,1030.272967
8,10000,10000,10000,1.954933,1023.052787
8,10000,10000,10000,1.948893,1026.223611
8,10000,10000,10000,1.951735,1024.729251
8,10000,10000,10000,1.950439,1025.410072
8,10000,10000,10000,1.934424,1033.899329
8,10000,10000,10000,1.941809,1029.967232
8,10000,10000,10000,1.938293,1031.835736
9,10000,10000,10000,1.710397,1169.318892
9,10000,10000,10000,1.711700,1168.428932
9,10000,10000,10000,1.711603,1168.495421
9,10000,10000,10000,1.713916,1166.918602
9,10000,10000,10000,1.711689,1168.436843
9,10000,10000,10000,1.713253,1167.369782
9,10000,10000,10000,1.714085,1166.803053
9,10000,10000,10000,1.713725,1167.048492
9,10000,10000,10000,1.710307,1169.380839
