m,k,n,time,GFLOPS
2000,2000,2000,0.057366,278.910717
2000,2000,2000,0.041348,386.956378
2000,2000,2000,0.039963,400.367197
2000,2000,2000,0.041322,387.200403
2000,2000,2000,0.038702,413.417357
2000,2000,2000,0.040143,398.577775
2000,2000,2000,0.039360,406.506926
2000,2000,2000,0.040851,391.668362
2000,2000,2000,0.039628,403.758039
2000,2000,2000,0.040673,393.378612
3000,3000,3000,0.070066,770.698742
3000,3000,3000,0.075479,715.427436
3000,3000,3000,0.070928,761.334870
3000,3000,3000,0.067734,797.240991
3000,3000,3000,0.070106,770.257857
3000,3000,3000,0.074336,726.433196
3000,3000,3000,0.075350,716.660182
3000,3000,3000,0.074175,728.010582
3000,3000,3000,0.076183,708.821414
3000,3000,3000,0.068651,786.589763
4000,4000,4000,0.125129,1022.946480
4000,4000,4000,0.122950,1041.074276
4000,4000,4000,0.121955,1049.565174
4000,4000,4000,0.120466,1062.537337
4000,4000,4000,0.128284,997.788021
4000,4000,4000,0.129162,991.003638
4000,4000,4000,0.122590,1044.132580
4000,4000,4000,0.127608,1003.073370
4000,4000,4000,0.129698,986.909859
4000,4000,4000,0.129824,985.950445
5000,5000,5000,0.209033,1195.984485
5000,5000,5000,0.210826,1185.811125
5000,5000,5000,0.207994,1201.959517
5000,5000,5000,0.212015,1179.163670
5000,5000,5000,0.200439,1247.263504
5000,5000,5000,0.216438,1155.067193
5000,5000,5000,0.201408,1241.259627
5000,5000,5000,0.210597,1187.101064
5000,5000,5000,0.207408,1205.352618
5000,5000,5000,0.204199,1224.298671
6000,6000,6000,0.322471,1339.654850
6000,6000,6000,0.321865,1342.178105
6000,6000,6000,0.309163,1397.320517
6000,6000,6000,0.319452,1352.313805
6000,6000,6000,0.329794,1309.907061
6000,6000,6000,0.324560,1331.032520
6000,6000,6000,0.323241,1336.466051
6000,6000,6000,0.327960,1317.232279
6000,6000,6000,0.310478,1391.404695
6000,6000,6000,0.311593,1386.422724
7000,7000,7000,0.484048,1417.214497
7000,7000,7000,0.487188,1408.080662
7000,7000,7000,0.493549,1389.931943
7000,7000,7000,0.489465,1401.530188
7000,7000,7000,0.505622,1356.744389
7000,7000,7000,0.488503,1404.289586
7000,7000,7000,0.486915,1408.869367
7000,7000,7000,0.485000,1414.432010
7000,7000,7000,0.487834,1406.215853
7000,7000,7000,0.488775,1403.509139
8000,8000,8000,0.694970,1473.445020
8000,8000,8000,0.697517,1468.063828
8000,8000,8000,0.696768,1469.642837
8000,8000,8000,0.702828,1456.970325
8000,8000,8000,0.699424,1464.061413
8000,8000,8000,0.745639,1373.319306
8000,8000,8000,0.695195,1472.968328
8000,8000,8000,0.702779,1457.073465
8000,8000,8000,0.693175,1477.261142
8000,8000,8000,0.702806,1457.017239
9000,9000,9000,0.972110,1499.830277
9000,9000,9000,0.984864,1480.408137
9000,9000,9000,1.000550,1457.198753
9000,9000,9000,0.977234,1491.966454
9000,9000,9000,0.983562,1482.367041
9000,9000,9000,0.985403,1479.597398
9000,9000,9000,0.990758,1471.600704
9000,9000,9000,0.987113,1477.034125
9000,9000,9000,0.977878,1490.984279
9000,9000,9000,0.975187,1495.098110
10000,10000,10000,1.315616,1520.200043
10000,10000,10000,1.429631,1398.962751
10000,10000,10000,1.320511,1514.564939
10000,10000,10000,1.310928,1525.636966
10000,10000,10000,1.325768,1508.559408
