m,k,n,time,GFLOPS
2000,2000,2000,0.031115,514.224312
2000,2000,2000,0.029600,540.531940
2000,2000,2000,0.029191,548.111309
2000,2000,2000,0.029689,538.913713
2000,2000,2000,0.029154,548.806173
2000,2000,2000,0.028636,558.729683
2000,2000,2000,0.029194,548.050555
2000,2000,2000,0.028964,552.406016
2000,2000,2000,0.028466,562.064970
2000,2000,2000,0.028616,559.123501
3000,3000,3000,0.080331,672.219599
3000,3000,3000,0.079740,677.198466
3000,3000,3000,0.079640,678.049647
3000,3000,3000,0.079815,676.566921
3000,3000,3000,0.079821,676.511521
3000,3000,3000,0.080232,673.052145
3000,3000,3000,0.079720,677.374698
3000,3000,3000,0.079681,677.706361
3000,3000,3000,0.080428,671.403818
3000,3000,3000,0.079738,677.219375
4000,4000,4000,0.166571,768.440296
4000,4000,4000,0.168050,761.678580
4000,4000,4000,0.166988,766.523564
4000,4000,4000,0.166597,768.321430
4000,4000,4000,0.166888,766.979780
4000,4000,4000,0.166067,770.774291
4000,4000,4000,0.166617,768.226936
4000,4000,4000,0.166424,769.118383
4000,4000,4000,0.166634,768.151549
4000,4000,4000,0.165994,771.112581
5000,5000,5000,0.320208,780.741852
5000,5000,5000,0.320579,779.837972
5000,5000,5000,0.320304,780.509065
5000,5000,5000,0.320564,779.874397
5000,5000,5000,0.320325,780.456758
5000,5000,5000,0.320966,778.899644
5000,5000,5000,0.320559,779.886726
5000,5000,5000,0.319903,781.487260
5000,5000,5000,0.320196,780.772704
5000,5000,5000,0.320804,779.292626
6000,6000,6000,0.536407,805.359181
6000,6000,6000,0.537115,804.296482
6000,6000,6000,0.536969,804.515780
6000,6000,6000,0.536485,805.241784
6000,6000,6000,0.537217,804.143938
6000,6000,6000,0.536557,805.133830
6000,6000,6000,0.537461,803.779921
6000,6000,6000,0.536462,805.275453
6000,6000,6000,0.536636,805.015095
6000,6000,6000,0.536712,804.901626
7000,7000,7000,0.857874,799.651519
7000,7000,7000,0.857942,799.588077
7000,7000,7000,0.857659,799.851898
7000,7000,7000,0.857721,799.794224
7000,7000,7000,0.857251,800.232228
7000,7000,7000,0.857056,800.414033
7000,7000,7000,0.858296,799.257953
7000,7000,7000,0.858291,799.263161
7000,7000,7000,0.857859,799.665422
7000,7000,7000,0.857705,799.808374
8000,8000,8000,1.275048,803.106780
8000,8000,8000,1.273092,804.340842
8000,8000,8000,1.275560,802.784419
8000,8000,8000,1.273867,803.851514
8000,8000,8000,1.270140,806.210346
8000,8000,8000,1.274882,803.211341
8000,8000,8000,1.270748,805.824642
8000,8000,8000,1.272311,804.834458
8000,8000,8000,1.271938,805.070961
8000,8000,8000,1.273197,804.274589
9000,9000,9000,1.821517,800.431840
9000,9000,9000,1.820503,800.877569
9000,9000,9000,1.820578,800.844429
9000,9000,9000,1.823499,799.561860
9000,9000,9000,1.821567,800.409543
9000,9000,9000,1.819287,801.412900
9000,9000,9000,1.821111,800.610289
9000,9000,9000,1.819062,801.511811
9000,9000,9000,1.818275,801.859119
9000,9000,9000,1.821343,800.508227
10000,10000,10000,2.486933,804.203541
10000,10000,10000,2.488422,803.722072
10000,10000,10000,2.486145,804.458412
10000,10000,10000,2.486338,804.395868
10000,10000,10000,2.486540,804.330513
10000,10000,10000,2.487658,803.969038
10000,10000,10000,2.488331,803.751518
10000,10000,10000,2.489191,803.473933
10000,10000,10000,2.485652,804.617914
10000,10000,10000,2.486755,804.261023
11000,11000,11000,3.306656,805.042875
11000,11000,11000,3.307065,804.943301
11000,11000,11000,3.310066,804.213522
11000,11000,11000,3.303961,805.699607
11000,11000,11000,3.308023,804.710149
11000,11000,11000,3.305819,805.246702
11000,11000,11000,3.304656,805.530188
11000,11000,11000,3.310763,804.044245
11000,11000,11000,3.303218,805.880880
11000,11000,11000,3.304497,805.568950
12000,12000,12000,4.277804,807.891171
12000,12000,12000,4.276024,808.227380
12000,12000,12000,4.274267,808.559609
12000,12000,12000,4.280961,807.295292
12000,12000,12000,4.277437,807.960445
12000,12000,12000,4.278889,807.686302
12000,12000,12000,4.280556,807.371798
12000,12000,12000,4.276004,808.231229
12000,12000,12000,4.279663,807.540311
12000,12000,12000,4.279039,807.658064
13000,13000,13000,5.430536,809.128189
13000,13000,13000,5.422220,810.369211
13000,13000,13000,5.426397,809.745417
13000,13000,13000,5.419207,810.819745
13000,13000,13000,5.427213,809.623578
13000,13000,13000,5.428395,809.447411
13000,13000,13000,5.420558,810.617587
13000,13000,13000,5.425279,809.912320
13000,13000,13000,5.426974,809.659357
13000,13000,13000,5.428675,809.405573
14000,14000,14000,6.753152,812.657503
14000,14000,14000,6.763699,811.390332
14000,14000,14000,6.757025,812.191789
14000,14000,14000,6.756808,812.217864
14000,14000,14000,6.757606,812.121895
14000,14000,14000,6.750567,812.968690
14000,14000,14000,6.762115,811.580375
14000,14000,14000,6.763036,811.469867
14000,14000,14000,6.756790,812.219966
14000,14000,14000,6.784186,808.940052
15000,15000,15000,8.353800,808.015548
15000,15000,15000,8.355589,807.842488
15000,15000,15000,8.351385,808.249186
15000,15000,15000,8.351845,808.204673
15000,15000,15000,8.353047,808.088393
15000,15000,15000,8.354568,807.941189
15000,15000,15000,8.351215,808.265578
15000,15000,15000,8.348210,808.556519
15000,15000,15000,8.345729,808.796913
15000,15000,15000,8.351757,808.213142
16000,16000,16000,10.128167,808.833439
16000,16000,16000,10.127323,808.900849
16000,16000,16000,10.132208,808.510839
16000,16000,16000,10.132132,808.516934
16000,16000,16000,10.128307,808.822218
16000,16000,16000,10.127754,808.866375
16000,16000,16000,10.126933,808.931965
16000,16000,16000,10.129210,808.750148
16000,16000,16000,10.132900,808.455587
16000,16000,16000,10.131455,808.570911
17000,17000,17000,12.181517,806.631890
17000,17000,17000,12.181571,806.628296
17000,17000,17000,12.178176,806.853192
17000,17000,17000,12.185488,806.369032
17000,17000,17000,12.185259,806.384140
17000,17000,17000,12.177606,806.890969
17000,17000,17000,12.180393,806.706339
17000,17000,17000,12.187985,806.203816
17000,17000,17000,12.186052,806.331669
17000,17000,17000,12.181725,806.618082
18000,18000,18000,14.300406,815.641201
18000,18000,18000,14.290077,816.230751
18000,18000,18000,14.310110,815.088103
18000,18000,18000,14.306002,815.322129
18000,18000,18000,14.314015,814.865700
18000,18000,18000,14.311765,814.993793
18000,18000,18000,14.306912,815.270283
18000,18000,18000,14.306586,815.288872
18000,18000,18000,14.307792,815.220099
18000,18000,18000,14.312790,814.935470
19000,19000,19000,16.890451,812.174884
19000,19000,19000,16.878844,812.733400
19000,19000,19000,16.874717,812.932135
19000,19000,19000,16.876912,812.826417
19000,19000,19000,16.871424,813.090820
19000,19000,19000,16.878594,812.745435
19000,19000,19000,16.879971,812.679106
19000,19000,19000,16.873794,812.976634
19000,19000,19000,16.874135,812.960213
19000,19000,19000,16.877731,812.786956
20000,20000,20000,19.767625,809.404265
20000,20000,20000,19.780261,808.887208
20000,20000,20000,19.781294,808.844947
20000,20000,20000,19.773394,809.168117
20000,20000,20000,19.762583,809.610758
20000,20000,20000,19.770230,809.297598
20000,20000,20000,19.769130,809.342627
20000,20000,20000,19.774020,809.142510
20000,20000,20000,19.759066,809.754889
20000,20000,20000,19.751978,810.045435
