m,k,n,time,GFLOPS
2000,2000,2000,0.036576,437.451240
2000,2000,2000,0.031582,506.625345
2000,2000,2000,0.030077,531.962413
2000,2000,2000,0.031278,511.541086
2000,2000,2000,0.029016,551.416372
2000,2000,2000,0.031913,501.365217
2000,2000,2000,0.029019,551.367270
2000,2000,2000,0.029347,545.193955
2000,2000,2000,0.029283,546.383559
2000,2000,2000,0.031454,508.673940
3000,3000,3000,0.047949,1126.202338
3000,3000,3000,0.043069,1253.801282
3000,3000,3000,0.050656,1066.020674
3000,3000,3000,0.049930,1081.516741
3000,3000,3000,0.044395,1216.342398
3000,3000,3000,0.050092,1078.024154
3000,3000,3000,0.049535,1090.129791
3000,3000,3000,0.044633,1209.860091
3000,3000,3000,0.048238,1119.446473
3000,3000,3000,0.052030,1037.852878
4000,4000,4000,0.071268,1796.047396
4000,4000,4000,0.078577,1628.979671
4000,4000,4000,0.066893,1913.494244
4000,4000,4000,0.073872,1732.725917
4000,4000,4000,0.084316,1518.094278
4000,4000,4000,0.071791,1782.951830
4000,4000,4000,0.081344,1573.571512
4000,4000,4000,0.084849,1508.558749
4000,4000,4000,0.082488,1551.733485
4000,4000,4000,0.066453,1926.178545
5000,5000,5000,0.123976,2016.512414
5000,5000,5000,0.121847,2051.754371
5000,5000,5000,0.125171,1997.267498
5000,5000,5000,0.123384,2026.199177
5000,5000,5000,0.124191,2013.032890
5000,5000,5000,0.127254,1964.577968
5000,5000,5000,0.120303,2078.080120
5000,5000,5000,0.119877,2085.478961
5000,5000,5000,0.121766,2053.122458
5000,5000,5000,0.118495,2109.785169
6000,6000,6000,0.186749,2313.264420
6000,6000,6000,0.179883,2401.562750
6000,6000,6000,0.181961,2374.137152
6000,6000,6000,0.185999,2322.598227
6000,6000,6000,0.183752,2350.997340
6000,6000,6000,0.186582,2315.332000
6000,6000,6000,0.177734,2430.591779
6000,6000,6000,0.170007,2541.066383
6000,6000,6000,0.183446,2354.911286
6000,6000,6000,0.185754,2325.656301
7000,7000,7000,0.276652,2479.646906
7000,7000,7000,0.286712,2392.646887
7000,7000,7000,0.284905,2407.818773
7000,7000,7000,0.285736,2400.819487
7000,7000,7000,0.283052,2423.581422
7000,7000,7000,0.286533,2394.141039
