m,k,n,time,GFLOPS
2000,2000,2000,0.017180,931.313911
2000,2000,2000,0.016523,968.325000
2000,2000,2000,0.016515,968.824206
2000,2000,2000,0.016666,960.052169
2000,2000,2000,0.017097,935.831387
2000,2000,2000,0.016788,953.063641
2000,2000,2000,0.016441,973.158406
2000,2000,2000,0.016472,971.341421
2000,2000,2000,0.016442,973.111530
2000,2000,2000,0.016445,972.958089
3000,3000,3000,0.042040,1284.481428
3000,3000,3000,0.041700,1294.969060
3000,3000,3000,0.042129,1281.772865
3000,3000,3000,0.041722,1294.270151
3000,3000,3000,0.041667,1295.988264
3000,3000,3000,0.041612,1297.689145
3000,3000,3000,0.042062,1283.818392
3000,3000,3000,0.041919,1288.188804
3000,3000,3000,0.041603,1297.996984
3000,3000,3000,0.041648,1296.572712
4000,4000,4000,0.089358,1432.445298
4000,4000,4000,0.089292,1433.498006
4000,4000,4000,0.089210,1434.816918
4000,4000,4000,0.089151,1435.763466
4000,4000,4000,0.089310,1433.216169
4000,4000,4000,0.089581,1428.879148
4000,4000,4000,0.089157,1435.674396
4000,4000,4000,0.089227,1434.541250
4000,4000,4000,0.089352,1432.532108
4000,4000,4000,0.089655,1427.691295
5000,5000,5000,0.173447,1441.360588
5000,5000,5000,0.172453,1449.673775
5000,5000,5000,0.173516,1440.791041
5000,5000,5000,0.173048,1444.689441
5000,5000,5000,0.173200,1443.418114
5000,5000,5000,0.173039,1444.761826
5000,5000,5000,0.173002,1445.069832
5000,5000,5000,0.173455,1441.299927
5000,5000,5000,0.172879,1446.102136
5000,5000,5000,0.172982,1445.239851
6000,6000,6000,0.286482,1507.945596
6000,6000,6000,0.285750,1511.813219
6000,6000,6000,0.285465,1513.321946
6000,6000,6000,0.285911,1510.961343
6000,6000,6000,0.286397,1508.397416
6000,6000,6000,0.286022,1510.371665
6000,6000,6000,0.285965,1510.674124
6000,6000,6000,0.285924,1510.891550
6000,6000,6000,0.286358,1508.600152
6000,6000,6000,0.285954,1510.733901
7000,7000,7000,0.442436,1550.507273
7000,7000,7000,0.441688,1553.133013
7000,7000,7000,0.441932,1552.275285
7000,7000,7000,0.441756,1552.894563
7000,7000,7000,0.442656,1549.734874
7000,7000,7000,0.442485,1550.335450
7000,7000,7000,0.441985,1552.088313
7000,7000,7000,0.442261,1551.120441
7000,7000,7000,0.441940,1552.248025
7000,7000,7000,0.442701,1549.577181
8000,8000,8000,0.649049,1577.692131
8000,8000,8000,0.649138,1577.476478
8000,8000,8000,0.648859,1578.153955
8000,8000,8000,0.648363,1579.361891
8000,8000,8000,0.649954,1575.495867
8000,8000,8000,0.648723,1578.484757
8000,8000,8000,0.647731,1580.903943
8000,8000,8000,0.647760,1580.831951
8000,8000,8000,0.650119,1575.095711
8000,8000,8000,0.648548,1578.912737
9000,9000,9000,0.925537,1575.301438
9000,9000,9000,0.926170,1574.225864
9000,9000,9000,0.925836,1574.793245
9000,9000,9000,0.926309,1573.988254
9000,9000,9000,0.926022,1574.477207
9000,9000,9000,0.923236,1579.227065
9000,9000,9000,0.924850,1576.471422
9000,9000,9000,0.924584,1576.925608
9000,9000,9000,0.924659,1576.796917
9000,9000,9000,0.926253,1574.083760
10000,10000,10000,1.289092,1551.479880
10000,10000,10000,1.291674,1548.377883
10000,10000,10000,1.287658,1553.207001
10000,10000,10000,1.287445,1553.464670
10000,10000,10000,1.291160,1548.995283
10000,10000,10000,1.290170,1550.183668
10000,10000,10000,1.288508,1552.183388
10000,10000,10000,1.289229,1551.314604
10000,10000,10000,1.293939,1545.667894
10000,10000,10000,1.290307,1550.018825
