cores,m,k,n,time,GFLOPS
1,10000,10000,10000,44.051483,45.401423
1,10000,10000,10000,43.960395,45.495497
1,10000,10000,10000,44.004888,45.449497
1,10000,10000,10000,44.092926,45.358750
1,10000,10000,10000,44.079016,45.373064
2,10000,10000,10000,23.037128,86.816379
2,10000,10000,10000,23.251657,86.015375
2,10000,10000,10000,23.033245,86.831014
2,10000,10000,10000,23.033159,86.831337
2,10000,10000,10000,22.935786,87.199977
3,10000,10000,10000,15.141424,132.087977
3,10000,10000,10000,15.116445,132.306238
3,10000,10000,10000,15.127130,132.212790
3,10000,10000,10000,15.077412,132.648755
3,10000,10000,10000,15.125317,132.228636
4,10000,10000,10000,11.673349,171.330438
4,10000,10000,10000,11.655480,171.593105
4,10000,10000,10000,11.574523,172.793302
4,10000,10000,10000,11.602171,172.381527
4,10000,10000,10000,11.613788,172.209101
5,10000,10000,10000,8.878613,225.260401
5,10000,10000,10000,8.906456,224.556220
5,10000,10000,10000,8.923646,224.123650
5,10000,10000,10000,8.946969,223.539397
5,10000,10000,10000,8.906974,224.543139
6,10000,10000,10000,7.569059,264.233624
6,10000,10000,10000,7.561822,264.486529
6,10000,10000,10000,7.535408,265.413619
6,10000,10000,10000,7.510018,266.310952
6,10000,10000,10000,7.530394,265.590355
7,10000,10000,10000,6.486380,308.338387
7,10000,10000,10000,6.341185,315.398446
7,10000,10000,10000,6.348389,315.040548
7,10000,10000,10000,6.337249,315.594348
7,10000,10000,10000,6.326509,316.130095
8,10000,10000,10000,5.781802,345.912898
8,10000,10000,10000,5.781802,345.912925
8,10000,10000,10000,5.758417,347.317704
8,10000,10000,10000,5.781026,345.959347
8,10000,10000,10000,5.816653,343.840350
9,10000,10000,10000,4.945106,404.440235
9,10000,10000,10000,4.978491,401.728173
9,10000,10000,10000,4.978329,401.741230
9,10000,10000,10000,4.978282,401.745024
9,10000,10000,10000,5.009263,399.260342
10,10000,10000,10000,4.585311,436.175477
10,10000,10000,10000,4.517663,442.706737
10,10000,10000,10000,4.514627,443.004520
10,10000,10000,10000,4.517468,442.725842
10,10000,10000,10000,4.527740,441.721467
11,10000,10000,10000,4.104574,487.261326
11,10000,10000,10000,4.134013,483.791382
11,10000,10000,10000,4.135470,483.620913
11,10000,10000,10000,4.161121,480.639698
11,10000,10000,10000,4.137537,483.379392
12,10000,10000,10000,3.873314,516.353753
12,10000,10000,10000,3.879363,515.548528
12,10000,10000,10000,3.885310,514.759453
12,10000,10000,10000,3.871044,516.656465
12,10000,10000,10000,3.850660,519.391467
13,10000,10000,10000,3.648850,548.117837
13,10000,10000,10000,3.645386,548.638817
13,10000,10000,10000,3.622810,552.057643
13,10000,10000,10000,3.574499,559.518976
13,10000,10000,10000,3.605596,554.693321
14,10000,10000,10000,3.256382,614.178536
14,10000,10000,10000,3.271926,611.260739
14,10000,10000,10000,3.254360,614.560168
14,10000,10000,10000,3.256942,614.072966
14,10000,10000,10000,3.246830,615.985510
15,10000,10000,10000,3.227640,619.647834
15,10000,10000,10000,3.223662,620.412506
15,10000,10000,10000,3.172150,630.487262
15,10000,10000,10000,3.208162,623.409954
15,10000,10000,10000,3.240704,617.149924
16,10000,10000,10000,3.010377,664.368722
16,10000,10000,10000,2.921643,684.546280
16,10000,10000,10000,2.926064,683.512123
16,10000,10000,10000,2.917484,685.522117
16,10000,10000,10000,2.911667,686.891783
17,10000,10000,10000,3.068530,651.777854
17,10000,10000,10000,2.898066,690.115332
17,10000,10000,10000,2.856891,700.061600
17,10000,10000,10000,2.874794,695.701972
17,10000,10000,10000,2.876504,695.288328
18,10000,10000,10000,2.610492,766.139101
18,10000,10000,10000,2.553750,783.161906
18,10000,10000,10000,2.536728,788.417231
18,10000,10000,10000,2.562255,780.562530
18,10000,10000,10000,2.564116,779.995947
19,10000,10000,10000,2.610973,765.997917
19,10000,10000,10000,2.605964,767.470377
19,10000,10000,10000,2.617257,764.158670
19,10000,10000,10000,2.637569,758.273934
19,10000,10000,10000,2.615155,764.772980
20,10000,10000,10000,2.429386,823.253241
20,10000,10000,10000,2.357063,848.513428
20,10000,10000,10000,2.364895,845.703405
20,10000,10000,10000,2.369458,844.074842
20,10000,10000,10000,2.385117,838.533453
21,10000,10000,10000,2.426552,824.214875
21,10000,10000,10000,2.445172,817.938228
21,10000,10000,10000,2.434572,821.499598
21,10000,10000,10000,2.453035,815.316586
21,10000,10000,10000,2.448730,816.750052
22,10000,10000,10000,2.238620,893.407711
22,10000,10000,10000,2.204183,907.365733
22,10000,10000,10000,2.201536,908.456483
22,10000,10000,10000,2.166313,923.227575
22,10000,10000,10000,2.185512,915.117547
23,10000,10000,10000,2.282725,876.145826
23,10000,10000,10000,2.276476,878.550964
23,10000,10000,10000,2.271217,880.585303
23,10000,10000,10000,2.276489,878.545911
23,10000,10000,10000,2.258186,885.666600
24,10000,10000,10000,2.049265,975.959829
24,10000,10000,10000,2.045872,977.578267
24,10000,10000,10000,2.050420,975.409818
24,10000,10000,10000,2.220709,900.613161
24,10000,10000,10000,2.040596,980.105848
25,10000,10000,10000,2.136611,936.061680
25,10000,10000,10000,2.125991,940.737854
25,10000,10000,10000,2.139646,934.734030
25,10000,10000,10000,2.149037,930.649212
25,10000,10000,10000,2.146748,931.641570
26,10000,10000,10000,1.907856,1048.297371
26,10000,10000,10000,1.947838,1026.779611
26,10000,10000,10000,1.892537,1056.782484
26,10000,10000,10000,1.920070,1041.628656
26,10000,10000,10000,1.915134,1044.313500
27,10000,10000,10000,2.013383,993.353055
27,10000,10000,10000,2.013366,993.361472
27,10000,10000,10000,2.039215,980.769355
27,10000,10000,10000,2.058771,971.453221
27,10000,10000,10000,2.014499,992.802767
28,10000,10000,10000,1.805014,1108.024447
28,10000,10000,10000,1.814863,1102.011755
28,10000,10000,10000,1.811109,1104.295580
28,10000,10000,10000,1.821551,1097.965387
28,10000,10000,10000,1.813482,1102.850607
29,10000,10000,10000,1.928209,1037.232059
29,10000,10000,10000,2.006841,996.591120
29,10000,10000,10000,1.948938,1026.199898
29,10000,10000,10000,1.941631,1030.061688
29,10000,10000,10000,1.961390,1019.685200
30,10000,10000,10000,1.770301,1129.751501
30,10000,10000,10000,1.737318,1151.199953
30,10000,10000,10000,1.754823,1139.715940
30,10000,10000,10000,1.713211,1167.398581
30,10000,10000,10000,1.723125,1160.681657
31,10000,10000,10000,1.840838,1086.461437
31,10000,10000,10000,1.836425,1089.072734
31,10000,10000,10000,1.854961,1078.190039
31,10000,10000,10000,1.858236,1076.289812
31,10000,10000,10000,1.846695,1083.015875
32,10000,10000,10000,1.613660,1239.418301
32,10000,10000,10000,1.616136,1237.519688
32,10000,10000,10000,1.588532,1259.024011
32,10000,10000,10000,1.601859,1248.549448
32,10000,10000,10000,1.606041,1245.298155
33,10000,10000,10000,1.810887,1104.430945
33,10000,10000,10000,1.818179,1100.001565
33,10000,10000,10000,1.828478,1093.805950
33,10000,10000,10000,1.827552,1094.360346
33,10000,10000,10000,1.838353,1087.930416
34,10000,10000,10000,1.620615,1234.099670
34,10000,10000,10000,1.613676,1239.405841
34,10000,10000,10000,1.621575,1233.368547
34,10000,10000,10000,1.633389,1224.448282
34,10000,10000,10000,1.617725,1236.304404
35,10000,10000,10000,1.758130,1137.572085
35,10000,10000,10000,1.858809,1075.957930
35,10000,10000,10000,1.788287,1118.388955
35,10000,10000,10000,1.929055,1036.777141
35,10000,10000,10000,1.804819,1108.144261
36,10000,10000,10000,1.621195,1233.657776
36,10000,10000,10000,1.628105,1228.421749
