cores,m,k,n,time,GFLOPS
1,10000,10000,10000,29.860556,66.977989
1,10000,10000,10000,29.844871,67.013190
1,10000,10000,10000,29.839895,67.024364
1,10000,10000,10000,29.683302,67.377948
1,10000,10000,10000,29.845385,67.012035
1,10000,10000,10000,29.689511,67.363857
1,10000,10000,10000,29.855185,66.990038
1,10000,10000,10000,29.694070,67.353516
1,10000,10000,10000,29.839330,67.025635
1,10000,10000,10000,29.714326,67.307602
2,10000,10000,10000,15.254287,131.110681
2,10000,10000,10000,15.297562,130.739790
2,10000,10000,10000,15.278423,130.903561
2,10000,10000,10000,15.252912,131.122507
2,10000,10000,10000,15.246635,131.176488
2,10000,10000,10000,15.253297,131.119193
2,10000,10000,10000,15.187047,131.691173
2,10000,10000,10000,15.248067,131.164165
2,10000,10000,10000,15.248014,131.164623
2,10000,10000,10000,15.276950,130.916185
3,10000,10000,10000,9.945428,201.097426
3,10000,10000,10000,9.948702,201.031254
3,10000,10000,10000,9.948484,201.035658
3,10000,10000,10000,9.930912,201.391366
3,10000,10000,10000,9.947730,201.050889
3,10000,10000,10000,9.928417,201.441974
3,10000,10000,10000,9.947984,201.045767
3,10000,10000,10000,9.947706,201.051368
3,10000,10000,10000,9.944948,201.107134
3,10000,10000,10000,9.953481,200.934732
4,10000,10000,10000,7.426522,269.305068
4,10000,10000,10000,7.426635,269.300985
4,10000,10000,10000,7.424925,269.363001
4,10000,10000,10000,7.423680,269.408164
4,10000,10000,10000,7.424126,269.391973
4,10000,10000,10000,7.423909,269.399854
4,10000,10000,10000,7.425632,269.337344
4,10000,10000,10000,7.428976,269.216114
4,10000,10000,10000,7.426122,269.319563
4,10000,10000,10000,7.428186,269.244723
5,10000,10000,10000,6.090743,328.367160
5,10000,10000,10000,6.035335,331.381745
5,10000,10000,10000,6.040958,331.073305
5,10000,10000,10000,5.972868,334.847541
5,10000,10000,10000,6.076737,329.124023
5,10000,10000,10000,6.039019,331.179591
5,10000,10000,10000,6.076316,329.146823
5,10000,10000,10000,6.106819,327.502745
5,10000,10000,10000,6.046547,330.767310
5,10000,10000,10000,6.055749,330.264679
6,10000,10000,10000,4.873866,410.351902
6,10000,10000,10000,4.880574,409.787874
6,10000,10000,10000,4.871437,410.556463
6,10000,10000,10000,4.858601,411.641162
6,10000,10000,10000,4.880205,409.818809
6,10000,10000,10000,4.857215,411.758601
6,10000,10000,10000,4.875038,410.253214
6,10000,10000,10000,4.878919,409.926856
6,10000,10000,10000,4.859752,411.543671
6,10000,10000,10000,4.883534,409.539509
7,10000,10000,10000,4.226941,473.155461
7,10000,10000,10000,4.231196,472.679603
7,10000,10000,10000,4.229776,472.838228
7,10000,10000,10000,4.247494,470.865897
7,10000,10000,10000,4.228162,473.018802
7,10000,10000,10000,4.242273,471.445326
7,10000,10000,10000,4.239070,471.801643
7,10000,10000,10000,4.234152,472.349584
7,10000,10000,10000,4.229060,472.918339
7,10000,10000,10000,4.250414,470.542399
8,10000,10000,10000,3.705936,539.674792
8,10000,10000,10000,3.711776,538.825555
8,10000,10000,10000,3.737046,535.182106
8,10000,10000,10000,3.746238,533.868939
8,10000,10000,10000,3.714180,538.476838
8,10000,10000,10000,3.749445,533.412286
8,10000,10000,10000,3.712894,538.663346
8,10000,10000,10000,3.744457,534.122865
8,10000,10000,10000,3.745842,533.925390
8,10000,10000,10000,3.742455,534.408528
9,10000,10000,10000,3.284931,608.840854
9,10000,10000,10000,3.282506,609.290541
9,10000,10000,10000,3.284379,608.943137
9,10000,10000,10000,3.284036,609.006687
9,10000,10000,10000,3.284687,608.885989
9,10000,10000,10000,3.281836,609.414961
9,10000,10000,10000,3.317126,602.931652
9,10000,10000,10000,3.283338,609.136161
9,10000,10000,10000,3.321811,602.081291
9,10000,10000,10000,3.283458,609.113843
10,10000,10000,10000,2.945777,678.937947
10,10000,10000,10000,2.946696,678.726245
10,10000,10000,10000,2.947516,678.537340
10,10000,10000,10000,2.945936,678.901450
10,10000,10000,10000,2.945092,679.095957
10,10000,10000,10000,2.944302,679.278249
10,10000,10000,10000,2.944203,679.300910
10,10000,10000,10000,2.944367,679.263058
10,10000,10000,10000,2.945635,678.970779
10,10000,10000,10000,2.944218,679.297624
11,10000,10000,10000,2.671367,748.680346
11,10000,10000,10000,2.675909,747.409469
11,10000,10000,10000,2.674208,747.884913
11,10000,10000,10000,2.671748,748.573515
11,10000,10000,10000,2.674313,747.855556
11,10000,10000,10000,2.672061,748.486041
11,10000,10000,10000,2.673818,747.994087
11,10000,10000,10000,2.674288,747.862735
11,10000,10000,10000,2.672464,748.373120
11,10000,10000,10000,2.672844,748.266710
12,10000,10000,10000,2.438693,820.111427
12,10000,10000,10000,2.436501,820.849094
12,10000,10000,10000,2.438137,820.298321
12,10000,10000,10000,2.435806,821.083536
12,10000,10000,10000,2.438482,820.182438
12,10000,10000,10000,2.436695,820.783948
12,10000,10000,10000,2.438158,820.291238
12,10000,10000,10000,2.436521,820.842511
12,10000,10000,10000,2.437798,820.412423
12,10000,10000,10000,2.437354,820.562034
