cores,m,k,n,time,GFLOPS
1,10000,10000,10000,41.290958,48.436755
1,10000,10000,10000,42.039850,47.573909
1,10000,10000,10000,42.104264,47.501127
1,10000,10000,10000,41.841659,47.799252
1,10000,10000,10000,42.283473,47.299804
2,10000,10000,10000,20.536649,97.386873
2,10000,10000,10000,20.829868,96.015972
2,10000,10000,10000,20.750245,96.384405
2,10000,10000,10000,20.205269,98.984080
2,10000,10000,10000,20.489916,97.608989
3,10000,10000,10000,20.816971,96.075456
3,10000,10000,10000,20.701813,96.609897
3,10000,10000,10000,20.532300,97.407500
3,10000,10000,10000,20.781120,96.241204
3,10000,10000,10000,20.704008,96.599653
4,10000,10000,10000,13.996115,142.896797
4,10000,10000,10000,14.013764,142.716835
4,10000,10000,10000,13.984518,143.015295
4,10000,10000,10000,13.993208,142.926486
4,10000,10000,10000,13.996148,142.896456
5,10000,10000,10000,10.433309,191.693735
5,10000,10000,10000,10.563606,189.329279
5,10000,10000,10000,10.192226,196.227989
5,10000,10000,10000,10.396375,192.374745
5,10000,10000,10000,10.307599,194.031610
6,10000,10000,10000,6.566136,304.593149
6,10000,10000,10000,6.785207,294.758858
6,10000,10000,10000,6.755002,296.076876
6,10000,10000,10000,6.717593,297.725685
6,10000,10000,10000,6.765875,295.601097
7,10000,10000,10000,6.914696,289.239019
7,10000,10000,10000,6.811922,293.602891
7,10000,10000,10000,6.688170,299.035462
7,10000,10000,10000,6.925441,288.790289
7,10000,10000,10000,6.787409,294.663231
8,10000,10000,10000,5.121928,390.477952
8,10000,10000,10000,5.066409,394.756922
8,10000,10000,10000,5.175478,386.437742
8,10000,10000,10000,5.057311,395.467082
8,10000,10000,10000,5.148519,388.461230
9,10000,10000,10000,5.230640,382.362421
9,10000,10000,10000,5.063799,394.960347
9,10000,10000,10000,5.099633,392.185091
9,10000,10000,10000,5.449115,367.032082
9,10000,10000,10000,5.166414,387.115708
10,10000,10000,10000,4.595640,435.195096
10,10000,10000,10000,4.528032,441.693018
10,10000,10000,10000,4.602917,434.507050
10,10000,10000,10000,4.545274,440.017518
10,10000,10000,10000,4.579300,436.748022
11,10000,10000,10000,4.142272,482.826872
11,10000,10000,10000,4.318228,463.152935
11,10000,10000,10000,4.105829,487.112355
11,10000,10000,10000,4.141021,482.972621
11,10000,10000,10000,4.014861,498.149225
12,10000,10000,10000,3.370623,593.362088
12,10000,10000,10000,3.528090,566.878936
12,10000,10000,10000,3.447337,580.157963
12,10000,10000,10000,3.466085,577.019922
12,10000,10000,10000,3.428336,583.373475
13,10000,10000,10000,3.313765,603.543130
13,10000,10000,10000,3.496962,571.925017
13,10000,10000,10000,3.347196,597.515030
13,10000,10000,10000,3.456838,578.563453
13,10000,10000,10000,3.443416,580.818554
14,10000,10000,10000,2.964258,674.705100
14,10000,10000,10000,2.880386,694.351271
14,10000,10000,10000,2.851835,701.302950
14,10000,10000,10000,2.824081,708.195100
14,10000,10000,10000,2.889658,692.123448
15,10000,10000,10000,2.747614,727.904195
15,10000,10000,10000,2.702548,740.042307
15,10000,10000,10000,2.727685,733.222386
15,10000,10000,10000,2.754174,726.170428
15,10000,10000,10000,2.754654,726.043993
16,10000,10000,10000,2.760941,724.390590
16,10000,10000,10000,2.696175,741.791534
16,10000,10000,10000,2.731298,732.252460
16,10000,10000,10000,2.699594,740.852181
16,10000,10000,10000,2.719366,735.465599
17,10000,10000,10000,2.504162,798.670352
17,10000,10000,10000,2.562434,780.507928
17,10000,10000,10000,2.507167,797.713141
17,10000,10000,10000,2.505959,798.097611
17,10000,10000,10000,2.534916,788.980656
18,10000,10000,10000,2.335023,856.522474
18,10000,10000,10000,2.348725,851.525754
18,10000,10000,10000,2.327930,859.132501
18,10000,10000,10000,2.345442,852.717613
18,10000,10000,10000,2.296286,870.971702
19,10000,10000,10000,2.371250,843.436869
19,10000,10000,10000,2.372400,843.027983
19,10000,10000,10000,2.326834,859.536911
19,10000,10000,10000,2.342442,853.809753
19,10000,10000,10000,2.300907,869.222431
20,10000,10000,10000,2.141375,933.979329
20,10000,10000,10000,2.124698,941.310313
20,10000,10000,10000,2.160978,925.506901
20,10000,10000,10000,2.150006,930.229764
20,10000,10000,10000,2.160766,925.597759
21,10000,10000,10000,2.110679,947.562373
21,10000,10000,10000,2.137471,935.685392
21,10000,10000,10000,2.170382,921.496945
21,10000,10000,10000,2.162408,924.894649
21,10000,10000,10000,2.148645,930.819391
22,10000,10000,10000,2.082006,960.611944
22,10000,10000,10000,2.114359,945.913252
22,10000,10000,10000,2.083988,959.698459
22,10000,10000,10000,2.081137,961.013113
22,10000,10000,10000,2.092820,955.648582
23,10000,10000,10000,2.058476,971.592778
23,10000,10000,10000,2.043691,978.621421
23,10000,10000,10000,2.078801,962.093138
