cores,m,k,n,time,GFLOPS
1,10000,10000,10000,15.000741,133.326745
1,10000,10000,10000,15.000910,133.325242
1,10000,10000,10000,14.994365,133.383437
1,10000,10000,10000,15.000008,133.333264
1,10000,10000,10000,14.998211,133.349242
1,10000,10000,10000,14.997259,133.357706
1,10000,10000,10000,15.001691,133.318300
1,10000,10000,10000,14.994969,133.378072
1,10000,10000,10000,14.994054,133.386207
1,10000,10000,10000,14.999189,133.340543
1,10000,10000,10000,14.992552,133.399570
1,10000,10000,10000,14.995312,133.375016
2,10000,10000,10000,7.747578,258.145175
2,10000,10000,10000,7.745546,258.212900
2,10000,10000,10000,7.748201,258.124450
2,10000,10000,10000,7.747907,258.134225
2,10000,10000,10000,7.746819,258.170494
2,10000,10000,10000,7.745363,258.219024
2,10000,10000,10000,7.748746,258.106291
2,10000,10000,10000,7.748526,258.113605
2,10000,10000,10000,7.746685,258.174947
2,10000,10000,10000,7.748928,258.100207
2,10000,10000,10000,7.747836,258.136580
2,10000,10000,10000,7.748538,258.113197
3,10000,10000,10000,5.053559,395.760694
3,10000,10000,10000,5.053525,395.763327
3,10000,10000,10000,5.050471,396.002650
3,10000,10000,10000,5.050863,395.971920
3,10000,10000,10000,5.054943,395.652313
3,10000,10000,10000,5.053103,395.796435
3,10000,10000,10000,5.051210,395.944731
3,10000,10000,10000,5.049927,396.045312
3,10000,10000,10000,5.050240,396.020766
3,10000,10000,10000,5.052491,395.844342
3,10000,10000,10000,5.049093,396.110771
3,10000,10000,10000,5.050395,396.008655
4,10000,10000,10000,3.779610,529.155111
4,10000,10000,10000,3.780988,528.962255
4,10000,10000,10000,3.779727,529.138689
4,10000,10000,10000,3.779366,529.189266
4,10000,10000,10000,3.779895,529.115286
4,10000,10000,10000,3.779215,529.210380
4,10000,10000,10000,3.779764,529.133522
4,10000,10000,10000,3.778214,529.350700
4,10000,10000,10000,3.779462,529.175905
4,10000,10000,10000,3.779306,529.197679
4,10000,10000,10000,3.779416,529.182335
4,10000,10000,10000,3.779787,529.130294
5,10000,10000,10000,3.111166,642.845813
5,10000,10000,10000,3.115173,642.018969
5,10000,10000,10000,3.104599,644.205619
5,10000,10000,10000,3.111277,642.822812
5,10000,10000,10000,3.114326,642.193582
5,10000,10000,10000,3.115573,641.936577
5,10000,10000,10000,3.114539,642.149622
5,10000,10000,10000,3.120126,640.999830
5,10000,10000,10000,3.102198,644.704273
5,10000,10000,10000,3.114224,642.214615
5,10000,10000,10000,3.111909,642.692289
5,10000,10000,10000,3.111412,642.795013
6,10000,10000,10000,2.496662,801.069524
6,10000,10000,10000,2.497033,800.950504
6,10000,10000,10000,2.495747,801.363303
6,10000,10000,10000,2.493115,802.209316
6,10000,10000,10000,2.495762,801.358361
6,10000,10000,10000,2.497739,800.724108
6,10000,10000,10000,2.495918,801.308331
6,10000,10000,10000,2.496766,801.036267
6,10000,10000,10000,2.497561,800.781259
6,10000,10000,10000,2.495507,801.440501
6,10000,10000,10000,2.497246,800.882342
6,10000,10000,10000,2.494729,801.690257
7,10000,10000,10000,2.192517,912.193775
7,10000,10000,10000,2.194856,911.221553
7,10000,10000,10000,2.194317,911.445375
7,10000,10000,10000,2.191900,912.450212
7,10000,10000,10000,2.190617,912.984620
7,10000,10000,10000,2.200325,908.956588
7,10000,10000,10000,2.192943,912.016230
7,10000,10000,10000,2.194307,911.449655
7,10000,10000,10000,2.193724,911.691843
7,10000,10000,10000,2.192673,912.128699
7,10000,10000,10000,2.192214,912.319698
7,10000,10000,10000,2.192938,912.018506
8,10000,10000,10000,1.953253,1023.932985
8,10000,10000,10000,1.944759,1028.404885
8,10000,10000,10000,1.948508,1026.426409
8,10000,10000,10000,1.949306,1026.006276
8,10000,10000,10000,1.949564,1025.870464
8,10000,10000,10000,1.938780,1031.576484
8,10000,10000,10000,1.949289,1026.015142
8,10000,10000,10000,1.949234,1026.043839
8,10000,10000,10000,1.950846,1025.196196
8,10000,10000,10000,1.942740,1029.473652
8,10000,10000,10000,1.941479,1030.142737
8,10000,10000,10000,1.937099,1032.471931
9,10000,10000,10000,1.700961,1175.805904
9,10000,10000,10000,1.699653,1176.710617
9,10000,10000,10000,1.699673,1176.696803
9,10000,10000,10000,1.698846,1177.269663
9,10000,10000,10000,1.701015,1175.768811
9,10000,10000,10000,1.700131,1176.379983
9,10000,10000,10000,1.700585,1176.066165
9,10000,10000,10000,1.699259,1176.983543
9,10000,10000,10000,1.701028,1175.759662
9,10000,10000,10000,1.700537,1176.098870
9,10000,10000,10000,1.703832,1173.824462
9,10000,10000,10000,1.695399,1179.663314
10,10000,10000,10000,1.514376,1320.675672
