m,k,n,time,GFLOPS
2000,2000,2000,0.052776,303.167360
2000,2000,2000,0.049499,323.242079
2000,2000,2000,0.047037,340.155774
2000,2000,2000,0.045727,349.903479
2000,2000,2000,0.047677,335.592486
2000,2000,2000,0.043593,367.030166
2000,2000,2000,0.044118,362.660888
2000,2000,2000,0.043051,371.654385
2000,2000,2000,0.043539,367.490048
2000,2000,2000,0.046910,341.078043
3000,3000,3000,0.074009,729.637618
3000,3000,3000,0.072787,741.892547
3000,3000,3000,0.074375,726.053671
3000,3000,3000,0.074718,722.717988
3000,3000,3000,0.073236,737.338435
3000,3000,3000,0.074380,726.006045
3000,3000,3000,0.072956,740.168111
3000,3000,3000,0.077927,692.956184
3000,3000,3000,0.077102,700.373308
3000,3000,3000,0.078564,687.337362
4000,4000,4000,0.114244,1120.408331
4000,4000,4000,0.117541,1088.983718
4000,4000,4000,0.114866,1114.339222
4000,4000,4000,0.117333,1090.909912
4000,4000,4000,0.109294,1171.151590
4000,4000,4000,0.117388,1090.397273
4000,4000,4000,0.116822,1095.680309
4000,4000,4000,0.114606,1116.868871
4000,4000,4000,0.116498,1098.731328
4000,4000,4000,0.110461,1158.777273
5000,5000,5000,0.179032,1396.396140
5000,5000,5000,0.184670,1353.764792
5000,5000,5000,0.185145,1350.296390
5000,5000,5000,0.179393,1393.588114
5000,5000,5000,0.183381,1363.282936
5000,5000,5000,0.185844,1345.213122
5000,5000,5000,0.182364,1370.880944
5000,5000,5000,0.180558,1384.599783
5000,5000,5000,0.184129,1357.740909
5000,5000,5000,0.184072,1358.166661
6000,6000,6000,0.292745,1475.684834
6000,6000,6000,0.276210,1564.026283
6000,6000,6000,0.283231,1525.257286
6000,6000,6000,0.270470,1597.218745
6000,6000,6000,0.280742,1538.776862
6000,6000,6000,0.280835,1538.270953
6000,6000,6000,0.266190,1622.898795
6000,6000,6000,0.278907,1548.902682
6000,6000,6000,0.282884,1527.126205
6000,6000,6000,0.278891,1548.992670
7000,7000,7000,0.430208,1594.578048
7000,7000,7000,0.426329,1609.085518
7000,7000,7000,0.448210,1530.532225
7000,7000,7000,0.427590,1604.338967
7000,7000,7000,0.427824,1603.463125
7000,7000,7000,0.426857,1607.094602
7000,7000,7000,0.427117,1606.115605
7000,7000,7000,0.430929,1591.907851
7000,7000,7000,0.422752,1622.702280
7000,7000,7000,0.425387,1612.650795
8000,8000,8000,0.600501,1705.243899
8000,8000,8000,0.613356,1669.502544
8000,8000,8000,0.620537,1650.183934
8000,8000,8000,0.629212,1627.431264
8000,8000,8000,0.611260,1675.228116
8000,8000,8000,0.641718,1595.716792
8000,8000,8000,0.604251,1694.660340
8000,8000,8000,0.630272,1624.696298
8000,8000,8000,0.626891,1633.458013
8000,8000,8000,0.639337,1601.658695
9000,9000,9000,0.847177,1721.009721
9000,9000,9000,0.840326,1735.041084
9000,9000,9000,0.841273,1733.088434
9000,9000,9000,0.829421,1757.853719
9000,9000,9000,0.830242,1756.113801
9000,9000,9000,0.839615,1736.510017
9000,9000,9000,0.831597,1753.253171
9000,9000,9000,0.828253,1760.332617
9000,9000,9000,0.816768,1785.085098
9000,9000,9000,0.851063,1713.151926
10000,10000,10000,1.122017,1782.503583
10000,10000,10000,1.128238,1772.675658
10000,10000,10000,1.128510,1772.248405
10000,10000,10000,1.118302,1788.426046
10000,10000,10000,1.120244,1785.324565
10000,10000,10000,1.146930,1743.786335
10000,10000,10000,1.127369,1774.041550
10000,10000,10000,1.111407,1799.520969
10000,10000,10000,1.143644,1748.796711
10000,10000,10000,1.124065,1779.255881
11000,11000,11000,1.448373,1837.923990
11000,11000,11000,1.471246,1809.350978
11000,11000,11000,1.436207,1853.493901
11000,11000,11000,1.470144,1810.707389
11000,11000,11000,1.448329,1837.980402
11000,11000,11000,1.446375,1840.463614
11000,11000,11000,1.464417,1817.787739
11000,11000,11000,1.438589,1850.424535
11000,11000,11000,1.439598,1849.127515
11000,11000,11000,1.458492,1825.172862
12000,12000,12000,1.759040,1964.708056
12000,12000,12000,1.782774,1938.552199
12000,12000,12000,1.771923,1950.423754
12000,12000,12000,1.775510,1946.482512
12000,12000,12000,1.771512,1950.876354
12000,12000,12000,1.784319,1936.873725
12000,12000,12000,1.769786,1952.778958
12000,12000,12000,1.782760,1938.566888
12000,12000,12000,1.816154,1902.922723
12000,12000,12000,1.796510,1923.729466
13000,13000,13000,2.300618,1909.921920
13000,13000,13000,2.303138,1907.831996
13000,13000,13000,2.289417,1919.265601
13000,13000,13000,2.300712,1909.843671
13000,13000,13000,2.303691,1907.373455
13000,13000,13000,2.299639,1910.734271
13000,13000,13000,2.298293,1911.853605
13000,13000,13000,2.292004,1917.099939
13000,13000,13000,2.315657,1897.517379
13000,13000,13000,2.341179,1876.831804
14000,14000,14000,2.811893,1951.710215
