m,k,n,time,GFLOPS
2000,2000,2000,0.032606,490.711446
2000,2000,2000,0.033101,483.375829
2000,2000,2000,0.032276,495.719570
2000,2000,2000,0.033461,478.170143
2000,2000,2000,0.034330,466.066811
2000,2000,2000,0.029369,544.798361
2000,2000,2000,0.031496,508.001645
2000,2000,2000,0.034311,466.326138
2000,2000,2000,0.031163,513.431694
2000,2000,2000,0.031561,506.955959
3000,3000,3000,0.051907,1040.322135
3000,3000,3000,0.046579,1159.313207
3000,3000,3000,0.051523,1048.074213
3000,3000,3000,0.049953,1081.011892
3000,3000,3000,0.052180,1034.882437
3000,3000,3000,0.054605,988.915937
3000,3000,3000,0.055541,972.250144
3000,3000,3000,0.047819,1129.260724
3000,3000,3000,0.049183,1097.948337
3000,3000,3000,0.056062,963.217592
4000,4000,4000,0.066977,1911.115254
4000,4000,4000,0.082657,1548.562072
4000,4000,4000,0.080188,1596.255265
4000,4000,4000,0.082912,1543.797772
4000,4000,4000,0.077577,1649.964153
4000,4000,4000,0.079386,1612.365554
4000,4000,4000,0.078194,1636.960355
4000,4000,4000,0.080898,1582.236664
4000,4000,4000,0.081248,1575.420971
4000,4000,4000,0.080025,1599.494720
5000,5000,5000,0.108200,2310.537112
5000,5000,5000,0.111349,2245.186710
5000,5000,5000,0.106488,2347.681244
5000,5000,5000,0.109255,2288.216229
5000,5000,5000,0.107616,2323.069951
5000,5000,5000,0.111351,2245.145457
5000,5000,5000,0.108607,2301.870544
5000,5000,5000,0.115660,2161.513755
5000,5000,5000,0.109953,2273.699010
5000,5000,5000,0.101852,2454.542800
6000,6000,6000,0.153379,2816.551415
6000,6000,6000,0.155811,2772.594388
6000,6000,6000,0.149688,2885.997295
6000,6000,6000,0.155847,2771.947206
6000,6000,6000,0.157262,2747.011217
6000,6000,6000,0.151509,2851.322708
6000,6000,6000,0.150334,2873.602193
6000,6000,6000,0.151407,2853.230177
6000,6000,6000,0.136995,3153.402498
6000,6000,6000,0.153583,2812.810563
7000,7000,7000,0.224738,3052.438644
7000,7000,7000,0.218965,3132.921759
7000,7000,7000,0.220759,3107.461992
7000,7000,7000,0.218569,3138.603728
7000,7000,7000,0.222002,3090.058438
7000,7000,7000,0.218407,3140.920699
7000,7000,7000,0.227803,3011.375039
7000,7000,7000,0.224770,3052.011802
7000,7000,7000,0.222117,3088.458758
7000,7000,7000,0.222216,3087.082854
8000,8000,8000,0.331892,3085.338997
8000,8000,8000,0.322952,3170.753603
8000,8000,8000,0.318641,3213.643675
8000,8000,8000,0.331390,3090.012539
8000,8000,8000,0.329427,3108.425918
8000,8000,8000,0.325688,3144.117391
8000,8000,8000,0.333136,3073.815189
8000,8000,8000,0.326293,3138.282930
8000,8000,8000,0.316982,3230.465969
8000,8000,8000,0.332401,3080.619839
9000,9000,9000,0.507790,2871.265522
9000,9000,9000,0.491553,2966.108880
9000,9000,9000,0.485692,3001.899888
9000,9000,9000,0.473170,3081.344007
9000,9000,9000,0.480649,3033.399451
9000,9000,9000,0.500017,2915.901396
9000,9000,9000,0.514328,2834.768534
9000,9000,9000,0.499013,2921.769589
9000,9000,9000,0.486543,2996.654303
9000,9000,9000,0.479901,3038.125651
10000,10000,10000,0.708483,2822.932636
10000,10000,10000,0.689888,2899.023135
10000,10000,10000,0.710910,2813.295006
10000,10000,10000,0.702222,2848.102759
10000,10000,10000,0.727392,2749.548545
10000,10000,10000,0.694442,2880.009379
10000,10000,10000,0.738501,2708.189990
10000,10000,10000,0.712172,2808.311768
10000,10000,10000,0.719824,2778.455675
10000,10000,10000,0.698585,2862.930328
11000,11000,11000,1.021277,2606.540066
11000,11000,11000,0.984386,2704.222890
11000,11000,11000,0.989273,2690.863733
11000,11000,11000,0.990759,2686.829285
11000,11000,11000,1.007578,2641.978692
11000,11000,11000,1.002294,2655.908212
11000,11000,11000,0.995992,2672.710945
11000,11000,11000,0.985014,2702.500077
11000,11000,11000,0.988118,2694.008978
11000,11000,11000,0.994022,2678.009489
12000,12000,12000,1.294775,2669.189782
12000,12000,12000,1.262371,2737.705301
12000,12000,12000,1.278233,2703.731887
12000,12000,12000,1.274894,2710.813052
12000,12000,12000,1.284442,2690.662162
12000,12000,12000,1.329706,2599.071697
12000,12000,12000,1.304447,2649.398671
12000,12000,12000,1.292953,2672.950625
12000,12000,12000,1.326082,2606.172931
12000,12000,12000,1.331872,2594.843785
13000,13000,13000,1.643032,2674.323838
13000,13000,13000,1.691872,2597.122992
13000,13000,13000,1.669632,2631.717107
13000,13000,13000,1.667186,2635.579543
13000,13000,13000,1.681290,2613.469906
13000,13000,13000,1.671929,2628.102754
13000,13000,13000,1.674310,2624.365345
