m,k,n,time,GFLOPS
2000,2000,2000,0.016713,957.315630
2000,2000,2000,0.015472,1034.107449
2000,2000,2000,0.015782,1013.832091
2000,2000,2000,0.016539,967.405625
2000,2000,2000,0.015987,1000.828811
2000,2000,2000,0.015341,1042.938903
2000,2000,2000,0.015826,1010.965564
2000,2000,2000,0.015690,1019.758652
2000,2000,2000,0.016144,991.066158
2000,2000,2000,0.015449,1035.661247
3000,3000,3000,0.040051,1348.274344
3000,3000,3000,0.040045,1348.476121
3000,3000,3000,0.039383,1371.148248
3000,3000,3000,0.039922,1352.644996
3000,3000,3000,0.039667,1361.319714
3000,3000,3000,0.040503,1333.242805
3000,3000,3000,0.039725,1359.329247
3000,3000,3000,0.039716,1359.649980
3000,3000,3000,0.039927,1352.451318
3000,3000,3000,0.039986,1350.487560
4000,4000,4000,0.085833,1491.263618
4000,4000,4000,0.086716,1476.080700
4000,4000,4000,0.085785,1492.098940
4000,4000,4000,0.086003,1488.325557
4000,4000,4000,0.086491,1479.929029
4000,4000,4000,0.086053,1487.453176
4000,4000,4000,0.086161,1485.595170
4000,4000,4000,0.086116,1486.365810
4000,4000,4000,0.085812,1491.630369
4000,4000,4000,0.085615,1495.057800
5000,5000,5000,0.166797,1498.832113
5000,5000,5000,0.166894,1497.954256
5000,5000,5000,0.167199,1495.227911
5000,5000,5000,0.167306,1494.271802
5000,5000,5000,0.166932,1497.612297
5000,5000,5000,0.167100,1496.113095
5000,5000,5000,0.167064,1496.428609
5000,5000,5000,0.167136,1495.784371
5000,5000,5000,0.166832,1498.513376
5000,5000,5000,0.166738,1499.358203
6000,6000,6000,0.278245,1552.585935
6000,6000,6000,0.277411,1557.257677
6000,6000,6000,0.277504,1556.733122
6000,6000,6000,0.277591,1556.248175
6000,6000,6000,0.278656,1550.296935
6000,6000,6000,0.277870,1554.681993
6000,6000,6000,0.277887,1554.587807
6000,6000,6000,0.277781,1555.181266
6000,6000,6000,0.277618,1556.097185
6000,6000,6000,0.277020,1559.454050
7000,7000,7000,0.431492,1589.834308
7000,7000,7000,0.431173,1591.007296
7000,7000,7000,0.431594,1589.455208
7000,7000,7000,0.431227,1590.810731
7000,7000,7000,0.431517,1589.741549
7000,7000,7000,0.431377,1590.254546
7000,7000,7000,0.431815,1588.644370
7000,7000,7000,0.431152,1591.086564
7000,7000,7000,0.431300,1590.540349
7000,7000,7000,0.430558,1593.282875
8000,8000,8000,0.633438,1616.574588
8000,8000,8000,0.633561,1616.261775
8000,8000,8000,0.633549,1616.290810
8000,8000,8000,0.633496,1616.427834
8000,8000,8000,0.633705,1615.894473
8000,8000,8000,0.633017,1617.649864
8000,8000,8000,0.633279,1616.979661
8000,8000,8000,0.633645,1616.045932
8000,8000,8000,0.633589,1616.189226
8000,8000,8000,0.633328,1616.855731
9000,9000,9000,0.902266,1615.931030
9000,9000,9000,0.902111,1616.208991
9000,9000,9000,0.902570,1615.386592
9000,9000,9000,0.903051,1614.527328
9000,9000,9000,0.899701,1620.538350
9000,9000,9000,0.902689,1615.175081
9000,9000,9000,0.902792,1614.990230
9000,9000,9000,0.902772,1615.025223
9000,9000,9000,0.901791,1616.782226
9000,9000,9000,0.902574,1615.380894
10000,10000,10000,1.246221,1604.851950
10000,10000,10000,1.246031,1605.097073
10000,10000,10000,1.245638,1605.603511
10000,10000,10000,1.245754,1605.454041
10000,10000,10000,1.246367,1604.664067
10000,10000,10000,1.245951,1605.199480
10000,10000,10000,1.245525,1605.748024
10000,10000,10000,1.246334,1604.706774
10000,10000,10000,1.245719,1605.498657
10000,10000,10000,1.245485,1605.800542
11000,11000,11000,1.642052,1621.142496
11000,11000,11000,1.639768,1623.400629
11000,11000,11000,1.638477,1624.679509
11000,11000,11000,1.639496,1623.669494
11000,11000,11000,1.639282,1623.881440
11000,11000,11000,1.638542,1624.614852
11000,11000,11000,1.640563,1622.613583
11000,11000,11000,1.640433,1622.742210
11000,11000,11000,1.639471,1623.694151
11000,11000,11000,1.640112,1623.059487
12000,12000,12000,2.139042,1615.676336
12000,12000,12000,2.140630,1614.478061
12000,12000,12000,2.139296,1615.484522
12000,12000,12000,2.139139,1615.603055
12000,12000,12000,2.138884,1615.796102
12000,12000,12000,2.137214,1617.058686
12000,12000,12000,2.138635,1615.983956
12000,12000,12000,2.138453,1616.121320
12000,12000,12000,2.139122,1615.616271
12000,12000,12000,2.138154,1616.347542
13000,13000,13000,2.701308,1626.619491
13000,13000,13000,2.701646,1626.415863
13000,13000,13000,2.702985,1625.610108
